character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Aalto,Half Truths,Normal Attack,Stage 1 DMG,1,16%,0.16
Aalto,Half Truths,Normal Attack,Stage 1 DMG,2,17.32%,0.1732
Aalto,Half Truths,Normal Attack,Stage 1 DMG,3,18.63%,0.1863
Aalto,Half Truths,Normal Attack,Stage 1 DMG,4,20.47%,0.2047
Aalto,Half Truths,Normal Attack,Stage 1 DMG,5,21.78%,0.2178
Aalto,Half Truths,Normal Attack,Stage 1 DMG,6,23.29%,0.2329
Aalto,Half Truths,Normal Attack,Stage 1 DMG,7,25.39%,0.2539
Aalto,Half Truths,Normal Attack,Stage 1 DMG,8,27.48%,0.2748
Aalto,Half Truths,Normal Attack,Stage 1 DMG,9,29.58%,0.2958
Aalto,Half Truths,Normal Attack,Stage 1 DMG,10,31.81%,0.3181
Aalto,Half Truths,Normal Attack,Stage 1 DMG,11,34.44%,0.3444
Aalto,Half Truths,Normal Attack,Stage 1 DMG,12,37.06%,0.3706
Aalto,Half Truths,Normal Attack,Stage 1 DMG,13,39.69%,0.3969
Aalto,Half Truths,Normal Attack,Stage 1 DMG,14,42.31%,0.4231
Aalto,Half Truths,Normal Attack,Stage 1 DMG,15,44.93%,0.4493
Aalto,Half Truths,Normal Attack,Stage 1 DMG,16,47.56%,0.4756
Aalto,Half Truths,Normal Attack,Stage 1 DMG,17,50.18%,0.5018
Aalto,Half Truths,Normal Attack,Stage 1 DMG,18,52.81%,0.5281
Aalto,Half Truths,Normal Attack,Stage 1 DMG,19,55.43%,0.5543
Aalto,Half Truths,Normal Attack,Stage 1 DMG,20,58.05%,0.5805
Aalto,Half Truths,Normal Attack,Stage 2 DMG,1,26.67%,0.2667
Aalto,Half Truths,Normal Attack,Stage 2 DMG,2,28.86%,0.2886
Aalto,Half Truths,Normal Attack,Stage 2 DMG,3,31.04%,0.3104
Aalto,Half Truths,Normal Attack,Stage 2 DMG,4,34.11%,0.3411
