character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,1,14.84%*2,0.2968
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,2,16.05%*2,0.321
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,3,17.27%*2,0.3454
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,4,18.97%*2,0.3794
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,5,20.19%*2,0.4038
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,6,21.59%*2,0.4318
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,7,23.53%*2,0.4706
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,8,25.48%*2,0.5096
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,9,27.43%*2,0.5486
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,10,29.49%*2,0.5898
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,11,31.93%*2,0.6386
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,12,34.36%*2,0.6872
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,13,36.79%*2,0.7358
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,14,39.22%*2,0.7844
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,15,41.66%*2,0.8332
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,16,44.09%*2,0.8818
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,17,46.52%*2,0.9304
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,18,48.95%*2,0.979
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,19,51.39%*2,1.0278
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,1,17.85%*2,0.357
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,2,19.32%*2,0.3864
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,3,20.78%*2,0.4156
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,4,22.83%*2,0.4566
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,5,24.30%*2,0.486
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,6,25.98%*2,0.5196
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,7,28.32%*2,0.5664
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,8,30.66%*2,0.6132
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,9,33.00%*2,0.66
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,10,35.49%*2,0.7098
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,11,38.42%*2,0.7684
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,12,41.35%*2,0.827
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,13,44.27%*2,0.8854
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,14,47.20%*2,0.944
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,15,50.13%*2,1.0026
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,16,53.06%*2,1.0612
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,17,55.98%*2,1.1196
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,18,58.91%*2,1.1782
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,19,61.84%*2,1.2368
Changli,Blazing Enlightment,Normal Attack,Basic Attack 3 DMG,1,18.34%*3,0.5502
