character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,1,28.50%,0.285
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,2,30.84%,0.3084
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,3,33.18%,0.3318
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,4,36.45%,0.3645
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,5,38.79%,0.3879
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,6,41.48%,0.4148
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,7,45.21%,0.4521
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,8,48.95%,0.4895
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,9,52.69%,0.5269
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,10,56.67%,0.5667
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,11,61.34%,0.6134
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,12,66.01%,0.6601
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,13,70.69%,0.7069
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,14,75.36%,0.7536
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,15,80.04%,0.8004
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,16,84.71%,0.8471
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,17,89.38%,0.8938
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,18,94.06%,0.9406
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,19,98.73%,0.9873
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,20,103.41%,1.0341
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,1,28.50%*2,0.57
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,2,30.84%*2,0.6168
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,3,33.18%*2,0.6636
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,4,36.45%*2,0.729
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,5,38.79%*2,0.7758
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,6,41.48%*2,0.8296
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,7,45.21%*2,0.9042
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,8,48.95%*2,0.979
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,9,52.69%*2,1.0538
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,10,56.67%*2,1.1334
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,11,61.34%*2,1.2268
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,12,66.01%*2,1.3202
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,13,70.69%*2,1.4138
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,14,75.36%*2,1.5072
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,15,80.04%*2,1.6008
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,16,84.71%*2,1.6942
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,17,89.38%*2,1.7876
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,18,94.06%*2,1.8812
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,19,98.73%*2,1.9746
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,20,103.41%*2,2.0682
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,1,42.75%,0.4275
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,2,46.26%,0.4626
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,3,49.77%,0.4977
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,4,54.67%,0.5467
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,5,58.18%,0.5818
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,6,62.21%,0.6221
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,7,67.82%,0.6782
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,8,73.43%,0.7343
