character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,1,36.81%,0.3681
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,2,39.83%,0.3983
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,3,42.85%,0.4285
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,4,47.07%,0.4707
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,5,50.09%,0.5009
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,6,53.56%,0.5356
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,7,58.39%,0.5839
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,8,63.22%,0.6322
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,9,68.05%,0.6805
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,10,73.18%,0.7318
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,11,79.21%,0.7921
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,12,85.25%,0.8525
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,13,91.29%,0.9129
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,14,97.32%,0.9732
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,15,103.36%,1.0336
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,16,109.39%,1.0939
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,17,115.43%,1.1543
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,18,121.47%,1.2147
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,19,127.50%,1.275
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,20,133.54%,1.3354
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,1,19.19%*3,0.5757
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,2,20.76%*3,0.6228
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,3,22.33%*3,0.6699
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,4,24.53%*3,0.7359
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,5,26.11%*3,0.7833
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,6,27.92%*3,0.8376
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,7,30.43%*3,0.9129
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,8,32.95%*3,0.9885
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,9,35.47%*3,1.0641
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,10,38.14%*3,1.1442
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,11,41.29%*3,1.2387
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,12,44.43%*3,1.3329
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,13,47.58%*3,1.4274
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,14,50.72%*3,1.5216
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,15,53.87%*3,1.6161
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,16,57.01%*3,1.7103
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,17,60.16%*3,1.8048
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,18,63.31%*3,1.8993
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,19,66.45%*3,1.9935
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,20,69.60%*3,2.088
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,1,17.00%*2+51.00%,0.85
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,2,18.40%*2+55.19%,0.9199
