character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,1,29.75%,0.2975
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,2,32.19%,0.3219
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,3,34.63%,0.3463
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,4,38.05%,0.3805
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,5,40.49%,0.4049
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,6,43.29%,0.4329
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,7,47.20%,0.472
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,8,51.10%,0.511
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,9,55.00%,0.55
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,10,59.15%,0.5915
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,11,64.03%,0.6403
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,12,68.91%,0.6891
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,13,73.79%,0.7379
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,14,78.67%,0.7867
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,15,83.55%,0.8355
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,16,88.42%,0.8842
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,17,93.30%,0.933
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,18,98.18%,0.9818
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,19,103.06%,1.0306
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 1 DMG,20,107.94%,1.0794
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,1,38.25%,0.3825
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,2,41.39%,0.4139
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,3,44.53%,0.4453
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,4,48.92%,0.4892
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,5,52.06%,0.5206
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,6,55.66%,0.5566
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,7,60.68%,0.6068
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,8,65.70%,0.657
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,9,70.72%,0.7072
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,10,76.05%,0.7605
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,11,82.32%,0.8232
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,12,88.60%,0.886
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,13,94.87%,0.9487
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,14,101.14%,1.0114
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,15,107.41%,1.0741
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,16,113.69%,1.1369
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,17,119.96%,1.1996
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,18,126.23%,1.2623
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,19,132.51%,1.3251
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 2 DMG,20,138.78%,1.3878
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,1,7.65%*5,0.3825
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,2,8.28%*5,0.414
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,3,8.91%*5,0.4455
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,4,9.79%*5,0.4895
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,5,10.42%*5,0.521
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,6,11.14%*5,0.557
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,7,12.14%*5,0.607
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,8,13.14%*5,0.657
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,9,14.15%*5,0.7075
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,10,15.21%*5,0.7605
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,11,16.47%*5,0.8235
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,12,17.72%*5,0.886
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,13,18.98%*5,0.949
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,14,20.23%*5,1.0115
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,15,21.49%*5,1.0745
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,16,22.74%*5,1.137
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,17,24.00%*5,1.2
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,18,25.25%*5,1.2625
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,19,26.51%*5,1.3255
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 3 DMG,20,27.76%*5,1.388
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 4 DMG,1,65.45%,0.6545
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 4 DMG,2,70.82%,0.7082
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 4 DMG,3,76.19%,0.7619
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 4 DMG,4,83.70%,0.837
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 4 DMG,5,89.07%,0.8907
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 4 DMG,6,95.24%,0.9524
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 4 DMG,7,103.83%,1.0383
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 4 DMG,8,112.42%,1.1242
Rover: Spectro,Vibration Manifestation,Normal Attack,Stage 4 DMG,9,121.00%,1.21
