character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Verina,Cultivation,Normal Attack,Stage 1 DMG,1,19.04%,0.1904
Verina,Cultivation,Normal Attack,Stage 1 DMG,2,20.61%,0.2061
Verina,Cultivation,Normal Attack,Stage 1 DMG,3,22.17%,0.2217
Verina,Cultivation,Normal Attack,Stage 1 DMG,4,24.35%,0.2435
Verina,Cultivation,Normal Attack,Stage 1 DMG,5,25.91%,0.2591
Verina,Cultivation,Normal Attack,Stage 1 DMG,6,27.71%,0.2771
Verina,Cultivation,Normal Attack,Stage 1 DMG,7,30.21%,0.3021
Verina,Cultivation,Normal Attack,Stage 1 DMG,8,32.70%,0.327
Verina,Cultivation,Normal Attack,Stage 1 DMG,9,35.20%,0.352
Verina,Cultivation,Normal Attack,Stage 1 DMG,10,37.86%,0.3786
Verina,Cultivation,Normal Attack,Stage 1 DMG,11,40.98%,0.4098
Verina,Cultivation,Normal Attack,Stage 1 DMG,12,44.10%,0.441
Verina,Cultivation,Normal Attack,Stage 1 DMG,13,47.22%,0.4722
Verina,Cultivation,Normal Attack,Stage 1 DMG,14,50.35%,0.5035
Verina,Cultivation,Normal Attack,Stage 1 DMG,15,53.47%,0.5347
Verina,Cultivation,Normal Attack,Stage 1 DMG,16,56.59%,0.5659
Verina,Cultivation,Normal Attack,Stage 1 DMG,17,59.71%,0.5971
Verina,Cultivation,Normal Attack,Stage 1 DMG,18,62.84%,0.6284
Verina,Cultivation,Normal Attack,Stage 1 DMG,19,65.96%,0.6596
Verina,Cultivation,Normal Attack,Stage 1 DMG,20,69.08%,0.6908
Verina,Cultivation,Normal Attack,Stage 2 DMG,1,25.73%,0.2573
Verina,Cultivation,Normal Attack,Stage 2 DMG,2,27.84%,0.2784
Verina,Cultivation,Normal Attack,Stage 2 DMG,3,29.95%,0.2995
Verina,Cultivation,Normal Attack,Stage 2 DMG,4,32.91%,0.3291
Verina,Cultivation,Normal Attack,Stage 2 DMG,5,35.02%,0.3502
Verina,Cultivation,Normal Attack,Stage 2 DMG,6,37.44%,0.3744
Verina,Cultivation,Normal Attack,Stage 2 DMG,7,40.82%,0.4082
Verina,Cultivation,Normal Attack,Stage 2 DMG,8,44.19%,0.4419
Verina,Cultivation,Normal Attack,Stage 2 DMG,9,47.57%,0.4757
Verina,Cultivation,Normal Attack,Stage 2 DMG,10,51.16%,0.5116
Verina,Cultivation,Normal Attack,Stage 2 DMG,11,55.38%,0.5538
Verina,Cultivation,Normal Attack,Stage 2 DMG,12,59.60%,0.596
Verina,Cultivation,Normal Attack,Stage 2 DMG,13,63.81%,0.6381
Verina,Cultivation,Normal Attack,Stage 2 DMG,14,68.03%,0.6803
Verina,Cultivation,Normal Attack,Stage 2 DMG,15,72.25%,0.7225
Verina,Cultivation,Normal Attack,Stage 2 DMG,16,76.47%,0.7647
Verina,Cultivation,Normal Attack,Stage 2 DMG,17,80.69%,0.8069
Verina,Cultivation,Normal Attack,Stage 2 DMG,18,84.91%,0.8491
Verina,Cultivation,Normal Attack,Stage 2 DMG,19,89.13%,0.8913
Verina,Cultivation,Normal Attack,Stage 2 DMG,20,93.35%,0.9335
Verina,Cultivation,Normal Attack,Stage 3 DMG,1,12.87%*2,0.2574
Verina,Cultivation,Normal Attack,Stage 3 DMG,2,13.92%*2,0.2784
Verina,Cultivation,Normal Attack,Stage 3 DMG,3,14.98%*2,0.2996
Verina,Cultivation,Normal Attack,Stage 3 DMG,4,16.46%*2,0.3292
Verina,Cultivation,Normal Attack,Stage 3 DMG,5,17.51%*2,0.3502
