character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,1,24.70%,0.247
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,2,26.73%,0.2673
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,3,28.76%,0.2876
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,4,31.59%,0.3159
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,5,33.62%,0.3362
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,6,35.95%,0.3595
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,7,39.19%,0.3919
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,8,42.43%,0.4243
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,9,45.67%,0.4567
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,10,49.11%,0.4911
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,11,53.16%,0.5316
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,12,57.21%,0.5721
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,13,61.26%,0.6126
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,14,65.31%,0.6531
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,15,69.36%,0.6936
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,16,73.41%,0.7341
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,17,77.47%,0.7747
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,18,81.52%,0.8152
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,19,85.57%,0.8557
Yuanwu,Leihuangquan,Normal Attack,Stage 1 DMG,20,89.62%,0.8962
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,1,26.06%*2,0.5212
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,2,28.20%*2,0.564
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,3,30.34%*2,0.6068
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,4,33.33%*2,0.6666
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,5,35.46%*2,0.7092
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,6,37.92%*2,0.7584
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,7,41.34%*2,0.8268
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,8,44.76%*2,0.8952
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,9,48.18%*2,0.9636
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,10,51.81%*2,1.0362
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,11,56.08%*2,1.1216
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,12,60.36%*2,1.2072
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,13,64.63%*2,1.2926
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,14,68.91%*2,1.3782
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,15,73.18%*2,1.4636
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,16,77.45%*2,1.549
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,17,81.73%*2,1.6346
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,18,86.00%*2,1.72
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,19,90.27%*2,1.8054
Yuanwu,Leihuangquan,Normal Attack,Stage 2 DMG,20,94.55%*2,1.891
