name,rarity,element,weaponType,Description,Birth,Sex,Country,Region,CVNameCN,CVNameJP,CVNameKR,CVNameEN
Sanhua,4,1,2,"The bodyguard of Jinzhou's Magistrate, known for having an icy personality. Once regarded as the Asura of Calamity, Sanhua is now a taciturn guardian. She has learned to maintain inner calmness amidst the chaotic frequencies, and the things that once frightened her now fuel her determination.",January 20th,Female,Huanglong,Jinzhou,Song Yuanyuan,Matsuda Risae,Yu Yeong,Jennifer Armour
Baizhi,4,1,5,"Baizhi is a researcher in Remnant Ecoacoustics. Baizhi's once unfulfilled wish has now manifested as her loyal companion. The Remnant Creature You'tan is her source of healing powers, and a lifelong research focus.",September 10th,Female,Huanglong,Jinzhou,Chen TingTing,Seto Asami,Sung Ye Won,Samantha Dakin
Lingyang,5,1,4,"An enthusiastic, brave member of the Liondance Troupe in Jinzhou, Lingyang is a sincere, compassionate visitor of the human community with incredible physical abilities, whose interest in humans easily shows. With his unique style, he embodies the spirit of Liondance.",August 8th,Male,Huanglong,Jinzhou,Lucky Fish,Hanae Natsuki,Lee Sang Ho,Aleksander Varadian
Zhezhi,5,1,5,"An artist for hire trying to make a living. Reserved and timid, she is not good with words but speaks volumes through her art, where her creations come to life with impossible authenticity.",December 31,Female,Huanglong,Jinzhou,Miao Zi,Makino Yui,Kim Ha Ru,Shin-Fei Chen
Youhu,4,1,4,"A voluble and whimsical antique appraiser. Known for creating limericks on the spot, she presents her appraisals with flair and precision. She sets up a stall on the street, ensuring antiques find their way to those who truly cherish them.",October 13,Female,Huanglong,Chongzhou,Liu YiLei,Tomita Miyu,Park Si Yoon,Leonora Haig
Carlotta,5,1,3,"The second daughter of Montelli and an art investor unbound by convention, Carlotta moves seamlessly through social circles and business transactions while quietly handling the family's unspeakable troubles in secret. The blooming of a gem, the taking of a life—In her own name, she reshapes reality, giving it a new dimension.",Unknown,Female,Ragunna,The Montelli Family,Yan Yeqiao,Ueda Kana,Kim Soon Mi,Jennifer English
Chixia,4,2,3,Chixia is a spirited young Jinzhou Patroller who lights up the streets of Jinzhou. She's always ready to be the hero someone needs. She fuses such passion into the bullets that blast out of her fingertips.,April 18th,Female,Huanglong,Jinzhou,Cai Na,Nagase Anna,Kang Eun Ae,Harriet Carmichael
Mortefi,4,2,3,"Mortefi, a skilled expert in Applied Tacetite Study and a member of the Academy's Department of Safety, possesses the unique ability to transform his accumulated frustration into fiery flames. From a burning wrath that consumes all, the red dragon shall descend.",November 6th,Male,New Federation,Jinzhou,Liu YiJia,Miura Katsuyuki,Kim Da Ol,Joseph May
Changli,5,2,2,"Changli is a counselor serving the Jinzhou Magistrate, and former Secretary-General in the capital. Shrouded in flames, she's fated to burn brightly until her final embers. With her fiery determination and strategic mindset, she rises to power, always thinking ahead to reach her ultimate goal.",June 6th,Female,Huanglong,Jinzhou,Mufei,Chiwa Saitô,Shin Na Ri,Ashleigh Haddad
Brant,5,2,2,"Brant, the captain of Rinascita's Troupe of Fools, is a free spirit and romantic. Unpredictable and full of life, he is the beating heart of the troupe. On stage, he slips into countless roles, donning new masks to breathe life into every story. Yet beyond the spotlight, he is unwaveringly genuine, offering nothing but true sincerity to those around him.",Unknown,Male,Rinascita,Troupe of Fools,Ray Mo,Kishio Daisuke,Lee Ju Seung,Hyoie O'Grady
