character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Aalto,Half Truths,Normal Attack,Stage 1 DMG,1,16%,0.16,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,2,17.32%,0.1732,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,3,18.63%,0.1863,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,4,20.47%,0.2047,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,5,21.78%,0.2178,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,6,23.29%,0.2329,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,7,25.39%,0.2539,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,8,27.48%,0.2748,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,9,29.58%,0.2958,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,10,31.81%,0.3181,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,11,34.44%,0.3444,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,12,37.06%,0.3706,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,13,39.69%,0.3969,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,14,42.31%,0.4231,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,15,44.93%,0.4493,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,16,47.56%,0.4756,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,17,50.18%,0.5018,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,18,52.81%,0.5281,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,19,55.43%,0.5543,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 1 DMG,20,58.05%,0.5805,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,1,26.67%,0.2667,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,2,28.86%,0.2886,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,3,31.04%,0.3104,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,4,34.11%,0.3411,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,5,36.29%,0.3629,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,6,38.81%,0.3881,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,7,42.31%,0.4231,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,8,45.8%,0.458,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,9,49.3%,0.493,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,10,53.02%,0.5302,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,11,57.39%,0.5739,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,12,61.77%,0.6177,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,13,66.14%,0.6614,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,14,70.51%,0.7051,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,15,74.89%,0.7489,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,16,79.26%,0.7926,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,17,83.63%,0.8363,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,18,88.01%,0.8801,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,19,92.38%,0.9238,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 2 DMG,20,96.75%,0.9675,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,1,24%*2,0.48,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,2,25.97%*2,0.5194,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,3,27.94%*2,0.5588,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,4,30.7%*2,0.614,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,5,32.66%*2,0.6532,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,6,34.93%*2,0.6986,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,7,38.08%*2,0.7616,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,8,41.22%*2,0.8244,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,9,44.37%*2,0.8874,"[""Basic Attack Damage""]"
Aalto,Half Truths,Normal Attack,Stage 3 DMG,10,47.72%*2,0.9544,"[""Basic Attack Damage""]"
