character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,1,17.76%,0.1776,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,2,19.22%,0.1922,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,3,20.68%,0.2068,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,4,22.72%,0.2272,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,5,24.17%,0.2417,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,6,25.85%,0.2585,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,7,28.18%,0.2818,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,8,30.51%,0.3051,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,9,32.84%,0.3284,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,10,35.31%,0.3531,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,11,38.22%,0.3822,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,12,41.14%,0.4114,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,13,44.05%,0.4405,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,14,46.96%,0.4696,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,15,49.87%,0.4987,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,16,52.79%,0.5279,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,17,55.70%,0.557,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,18,58.61%,0.5861,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,19,61.52%,0.6152,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 1 DMG,20,64.44%,0.6444,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,1,21.66%*2,0.4332,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,2,23.43%*2,0.4686,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,3,25.21%*2,0.5042,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,4,27.69%*2,0.5538,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,5,29.47%*2,0.5894,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,6,31.51%*2,0.6302,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,7,34.35%*2,0.687,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,8,37.19%*2,0.7438,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,9,40.03%*2,0.8006,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,10,43.05%*2,0.861,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,11,46.60%*2,0.932,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,12,50.16%*2,1.0032,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,13,53.71%*2,1.0742,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,14,57.26%*2,1.1452,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,15,60.81%*2,1.2162,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,16,64.36%*2,1.2872,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,17,67.91%*2,1.3582,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,18,71.46%*2,1.4292,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,19,75.01%*2,1.5002,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 2 DMG,20,78.56%*2,1.5712,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 3 DMG,1,27.69%+1.00%*25,0.5269,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 3 DMG,2,29.96%+1.09%*25,0.5721,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 3 DMG,3,32.23%+1.17%*25,0.6148,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 3 DMG,4,35.41%+1.28%*25,0.6741,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 3 DMG,5,37.68%+1.37%*25,0.7193,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 3 DMG,6,40.29%+1.46%*25,0.7679,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 3 DMG,7,43.92%+1.59%*25,0.8367,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 3 DMG,8,47.56%+1.72%*25,0.9056,"[""Basic Attack Damage""]"
Rover: Aero,Wind Cutter,Normal Attack,Stage 3 DMG,9,51.19%+1.85%*25,0.9744,"[""Basic Attack Damage""]"
