character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,1,32.94%,0.3294,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,2,35.64%,0.3564,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,3,38.34%,0.3834,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,4,42.12%,0.4212,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,5,44.82%,0.4482,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,6,47.93%,0.4793,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,7,52.25%,0.5225,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,8,56.57%,0.5657,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,9,60.89%,0.6089,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,10,65.48%,0.6548,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,11,70.88%,0.7088,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,12,76.28%,0.7628,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,13,81.68%,0.8168,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,14,87.08%,0.8708,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,15,92.48%,0.9248,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,16,97.88%,0.9788,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,17,103.29%,1.0329,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,18,108.69%,1.0869,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,19,114.09%,1.1409,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 1 DMG,20,119.49%,1.1949,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,1,39.52%,0.3952,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,2,42.76%,0.4276,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,3,46.01%,0.4601,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,4,50.54%,0.5054,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,5,53.78%,0.5378,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,6,57.51%,0.5751,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,7,62.69%,0.6269,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,8,67.88%,0.6788,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,9,73.06%,0.7306,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,10,78.57%,0.7857,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,11,85.05%,0.8505,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,12,91.54%,0.9154,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,13,98.02%,0.9802,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,14,104.50%,1.045,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,15,110.98%,1.1098,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,16,117.46%,1.1746,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,17,123.94%,1.2394,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,18,130.42%,1.3042,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,19,136.90%,1.369,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 2 DMG,20,143.39%,1.4339,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,1,6.59%*7,0.4613,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,2,7.13%*7,0.4991,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,3,7.67%*7,0.5369,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,4,8.43%*7,0.5901,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,5,8.97%*7,0.6279,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,6,9.59%*7,0.6713,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,7,10.45%*7,0.7315,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,8,11.32%*7,0.7924,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,9,12.18%*7,0.8526,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,10,13.10%*7,0.917,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,11,14.18%*7,0.9926,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,12,15.26%*7,1.0682,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,13,16.34%*7,1.1438,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,14,17.42%*7,1.2194,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,15,18.50%*7,1.295,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,16,19.58%*7,1.3706,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,17,20.66%*7,1.4462,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,18,21.74%*7,1.5218,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,19,22.82%*7,1.5974,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 3 DMG,20,23.90%*7,1.673,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,1,39.52%,0.3952,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,2,42.76%,0.4276,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,3,46.01%,0.4601,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,4,50.54%,0.5054,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,5,53.78%,0.5378,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,6,57.51%,0.5751,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,7,62.69%,0.6269,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,8,67.88%,0.6788,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,9,73.06%,0.7306,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,10,78.57%,0.7857,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,11,85.05%,0.8505,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,12,91.54%,0.9154,"[""Basic Attack Damage""]"
Baizhi,Destined Promise,Normal Attack,Stage 4 DMG,13,98.02%,0.9802,"[""Basic Attack Damage""]"
