character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,1,25.42%,0.2542
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,2,27.50%,0.275
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,3,29.59%,0.2959
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,4,32.51%,0.3251
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,5,34.59%,0.3459
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,6,36.99%,0.3699
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,7,40.32%,0.4032
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,8,43.66%,0.4366
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,9,46.99%,0.4699
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,10,50.53%,0.5053
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,11,54.70%,0.547
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,12,58.87%,0.5887
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,13,63.04%,0.6304
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,14,67.20%,0.672
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,15,71.37%,0.7137
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,16,75.54%,0.7554
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,17,79.71%,0.7971
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,18,83.88%,0.8388
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,19,88.05%,0.8805
Brant,Captain's Rhapsody,Normal Attack,Stage 1 DMG,20,92.21%,0.9221
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,1,25.50%+25.50%,0.51
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,2,27.60%+27.60%,0.552
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,3,29.69%+29.69%,0.5938
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,4,32.61%+32.61%,0.6522
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,5,34.71%+34.71%,0.6942
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,6,37.11%+37.11%,0.7422
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,7,40.46%+40.46%,0.8092
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,8,43.80%+43.80%,0.876
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,9,47.15%+47.15%,0.943
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,10,50.70%+50.70%,1.014
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,11,54.88%+54.88%,1.0976
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,12,59.07%+59.07%,1.1814
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,13,63.25%+63.25%,1.265
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,14,67.43%+67.43%,1.3486
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,15,71.61%+71.61%,1.4322
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,16,75.79%+75.79%,1.5158
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,17,79.98%+79.98%,1.5996
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,18,84.16%+84.16%,1.6832
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,19,88.34%+88.34%,1.7668
Brant,Captain's Rhapsody,Normal Attack,Stage 2 DMG,20,92.52%+92.52%,1.8504
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,1,11.10%*3+16.64%*2,0.6658
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,2,12.01%*3+18.01%*2,0.7205
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,3,12.92%*3+19.37%*2,0.775
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,4,14.19%*3+21.28%*2,0.8513
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,5,15.10%*3+22.65%*2,0.906
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,6,16.15%*3+24.22%*2,0.9689
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,7,17.60%*3+26.40%*2,1.056
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,8,19.06%*3+28.58%*2,1.1434
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,9,20.51%*3+30.77%*2,1.2307
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,10,22.06%*3+33.08%*2,1.3234
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,11,23.88%*3+35.81%*2,1.4326
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,12,25.70%*3+38.54%*2,1.5418
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,13,27.52%*3+41.27%*2,1.651
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,14,29.33%*3+44.00%*2,1.7599
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,15,31.15%*3+46.73%*2,1.8691
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,16,32.97%*3+49.46%*2,1.9783
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,17,34.79%*3+52.19%*2,2.0875
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,18,36.61%*3+54.91%*2,2.1965
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,19,38.43%*3+57.64%*2,2.3057
Brant,Captain's Rhapsody,Normal Attack,Stage 3 DMG,20,40.25%*3+60.37%*2,2.4149
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,1,14.10%+11.28%*5,0.705
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,2,15.25%+12.20%*5,0.7625
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,3,16.41%+13.13%*5,0.8206
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,4,18.03%+14.42%*5,0.9013
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,5,19.18%+15.35%*5,0.9593
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,6,20.51%+16.41%*5,1.0256
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,7,22.36%+17.89%*5,1.1181
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,8,24.21%+19.37%*5,1.2106
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,9,26.06%+20.85%*5,1.3031
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,10,28.02%+22.42%*5,1.4012
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,11,30.33%+24.27%*5,1.5168
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,12,32.65%+26.12%*5,1.6325
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,13,34.96%+27.97%*5,1.7481
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,14,37.27%+29.82%*5,1.8637
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,15,39.58%+31.66%*5,1.9788
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,16,41.89%+33.51%*5,2.0944
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,17,44.20%+35.36%*5,2.21
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,18,46.51%+37.21%*5,2.3256
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,19,48.82%+39.06%*5,2.4412
Brant,Captain's Rhapsody,Normal Attack,Stage 4 DMG,20,51.14%+40.91%*5,2.5569
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,1,99.37%,0.9937
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,2,107.52%,1.0752
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,3,115.67%,1.1567
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,4,127.07%,1.2707
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,5,135.22%,1.3522
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,6,144.59%,1.4459
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,7,157.63%,1.5763
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,8,170.66%,1.7066
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,9,183.70%,1.837
Brant,Captain's Rhapsody,Normal Attack,Heavy Attack DMG,10,197.55%,1.9755
