character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,1,23.00%*2,0.46,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,2,24.89%*2,0.4978,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,3,26.78%*2,0.5356,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,4,29.42%*2,0.5884,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,5,31.30%*2,0.626,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,6,33.47%*2,0.6694,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,7,36.49%*2,0.7298,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,8,39.51%*2,0.7902,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,9,42.53%*2,0.8506,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,10,45.73%*2,0.9146,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,11,49.50%*2,0.99,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,12,53.28%*2,1.0656,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,13,57.05%*2,1.141,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,14,60.82%*2,1.2164,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,15,64.59%*2,1.2918,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,16,68.36%*2,1.3672,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,17,72.14%*2,1.4428,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,18,75.91%*2,1.5182,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,19,79.68%*2,1.5936,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 1 DMG,20,83.45%*2,1.669,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,1,50.00%,0.5,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,2,54.10%,0.541,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,3,58.20%,0.582,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,4,63.94%,0.6394,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,5,68.04%,0.6804,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,6,72.76%,0.7276,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,7,79.32%,0.7932,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,8,85.88%,0.8588,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,9,92.44%,0.9244,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,10,99.41%,0.9941,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,11,107.61%,1.0761,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,12,115.81%,1.1581,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,13,124.01%,1.2401,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,14,132.21%,1.3221,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,15,140.41%,1.4041,"[""Basic Attack Damage""]"
Calcharo,Gnawing Fangs,Normal Attack,Stage 2 DMG,16,148.61%,1.4861,"[""Basic Attack Damage""]"
