character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,1,31.45%,0.3145
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,2,34.03%,0.3403
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,3,36.61%,0.3661
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,4,40.22%,0.4022
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,5,42.80%,0.428
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,6,45.77%,0.4577
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,7,49.89%,0.4989
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,8,54.02%,0.5402
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,9,58.15%,0.5815
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,10,62.53%,0.6253
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,11,67.69%,0.6769
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,12,72.85%,0.7285
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,13,78.00%,0.78
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,14,83.16%,0.8316
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,15,88.32%,0.8832
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,16,93.48%,0.9348
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,17,98.64%,0.9864
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,18,103.79%,1.0379
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,19,108.95%,1.0895
Camellya,Burgeoning,Normal Attack,Basic Attack 1 DMG,20,114.11%,1.1411
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,1,23.38%*2,0.4676
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,2,25.30%*2,0.506
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,3,27.21%*2,0.5442
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,4,29.90%*2,0.598
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,5,31.81%*2,0.6362
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,6,34.02%*2,0.6804
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,7,37.08%*2,0.7416
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,8,40.15%*2,0.803
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,9,43.22%*2,0.8644
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,10,46.48%*2,0.9296
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,11,50.31%*2,1.0062
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,12,54.14%*2,1.0828
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,13,57.98%*2,1.1596
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,14,61.81%*2,1.2362
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,15,65.64%*2,1.3128
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,16,69.48%*2,1.3896
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,17,73.31%*2,1.4662
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,18,77.14%*2,1.5428
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,19,80.98%*2,1.6196
Camellya,Burgeoning,Normal Attack,Basic Attack 2 DMG,20,84.81%*2,1.6962
Camellya,Burgeoning,Normal Attack,Basic Attack 3 DMG,1,25.50%*3,0.765
Camellya,Burgeoning,Normal Attack,Basic Attack 3 DMG,2,27.59%*3,0.8277
Camellya,Burgeoning,Normal Attack,Basic Attack 3 DMG,3,29.68%*3,0.8904
Camellya,Burgeoning,Normal Attack,Basic Attack 3 DMG,4,32.61%*3,0.9783
Camellya,Burgeoning,Normal Attack,Basic Attack 3 DMG,5,34.70%*3,1.041
