character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,1,40.00%,0.4
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,2,43.28%,0.4328
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,3,46.56%,0.4656
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,4,51.16%,0.5116
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,5,54.44%,0.5444
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,6,58.21%,0.5821
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,7,63.46%,0.6346
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,8,68.70%,0.687
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,9,73.95%,0.7395
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,10,79.53%,0.7953
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,11,86.09%,0.8609
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,12,92.65%,0.9265
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,13,99.21%,0.9921
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,14,105.77%,1.0577
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,15,112.33%,1.1233
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,16,118.89%,1.1889
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,17,125.45%,1.2545
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,18,132.01%,1.3201
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,19,138.57%,1.3857
Cantarella,Illusion Collapse,Normal Attack,Stage 1 DMG,20,145.13%,1.4513
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,1,18.33%*4,0.7332
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,2,19.83%*4,0.7932
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,3,21.34%*4,0.8536
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,4,23.44%*4,0.9376
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,5,24.94%*4,0.9976
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,6,26.67%*4,1.0668
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,7,29.07%*4,1.1628
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,8,31.48%*4,1.2592
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,9,33.88%*4,1.3552
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,10,36.44%*4,1.4576
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,11,39.44%*4,1.5776
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,12,42.45%*4,1.698
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,13,45.45%*4,1.818
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,14,48.46%*4,1.9384
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,15,51.46%*4,2.0584
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,16,54.47%*4,2.1788
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,17,57.47%*4,2.2988
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,18,60.48%*4,2.4192
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,19,63.48%*4,2.5392
Cantarella,Illusion Collapse,Normal Attack,Stage 2 DMG,20,66.49%*4,2.6596
Cantarella,Illusion Collapse,Normal Attack,Stage 3 DMG,1,36.50%*2,0.73
Cantarella,Illusion Collapse,Normal Attack,Stage 3 DMG,2,39.50%*2,0.79
Cantarella,Illusion Collapse,Normal Attack,Stage 3 DMG,3,42.49%*2,0.8498
Cantarella,Illusion Collapse,Normal Attack,Stage 3 DMG,4,46.68%*2,0.9336
