character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,1,27.20%,0.272,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,2,29.44%,0.2944,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,3,31.67%,0.3167,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,4,34.79%,0.3479,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,5,37.02%,0.3702,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,6,39.58%,0.3958,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,7,43.15%,0.4315,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,8,46.72%,0.4672,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,9,50.29%,0.5029,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,10,54.08%,0.5408,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,11,58.54%,0.5854,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,12,63.00%,0.63,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,13,67.46%,0.6746,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,14,71.92%,0.7192,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,15,76.39%,0.7639,"[""Basic Attack Damage""]"
Carlotta,Silent Execution,Normal Attack,Basic Attack Stage 1,16,80.85%,0.8085,"[""Basic Attack Damage""]"
