character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,1,2.41%,0.0241
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,2,2.60%,0.026
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,3,2.80%,0.028
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,4,3.08%,0.0308
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,5,3.27%,0.0327
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,6,3.50%,0.035
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,7,3.82%,0.0382
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,8,4.13%,0.0413
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,9,4.45%,0.0445
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,10,4.78%,0.0478
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,11,5.18%,0.0518
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,12,5.57%,0.0557
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,13,5.96%,0.0596
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,14,6.36%,0.0636
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,15,6.75%,0.0675
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,16,7.15%,0.0715
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,17,7.54%,0.0754
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,18,7.93%,0.0793
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,19,8.33%,0.0833
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 1 DMG,20,8.72%,0.0872
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,1,1.98%+1.98%+2.64%,0.066
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,2,2.14%+2.14%+2.86%,0.0714
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,3,2.31%+2.31%+3.07%,0.0769
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,4,2.53%+2.53%+3.38%,0.0844
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,5,2.70%+2.70%+3.59%,0.0899
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,6,2.88%+2.88%+3.84%,0.096
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,7,3.14%+3.14%+4.19%,0.1047
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,8,3.40%+3.40%+4.53%,0.1133
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,9,3.66%+3.66%+4.88%,0.122
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,10,3.94%+3.94%+5.25%,0.1313
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,11,4.26%+4.26%+5.68%,0.142
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,12,4.58%+4.58%+6.11%,0.1527
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,13,4.91%+4.91%+6.54%,0.1636
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,14,5.23%+5.23%+6.97%,0.1743
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,15,5.56%+5.56%+7.41%,0.1853
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,16,5.88%+5.88%+7.84%,0.196
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,17,6.20%+6.20%+8.27%,0.2067
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,18,6.53%+6.53%+8.70%,0.2176
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,19,6.85%+6.85%+9.14%,0.2284
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 2 DMG,20,7.18%+7.18%+9.57%,0.2393
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,1,2.15%+2.15%+2.15%+2.15%,0.086
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,2,2.33%+2.33%+2.33%+2.33%,0.0932
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,3,2.51%+2.51%+2.51%+2.51%,0.1004
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,4,2.75%+2.75%+2.75%+2.75%,0.11
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,5,2.93%+2.93%+2.93%+2.93%,0.1172
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,6,3.13%+3.13%+3.13%+3.13%,0.1252
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,7,3.41%+3.41%+3.41%+3.41%,0.1364
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,8,3.70%+3.70%+3.70%+3.70%,0.148
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,9,3.98%+3.98%+3.98%+3.98%,0.1592
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,10,4.28%+4.28%+4.28%+4.28%,0.1712
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,11,4.63%+4.63%+4.63%+4.63%,0.1852
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,12,4.98%+4.98%+4.98%+4.98%,0.1992
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,13,5.34%+5.34%+5.34%+5.34%,0.2136
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,14,5.69%+5.69%+5.69%+5.69%,0.2276
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,15,6.04%+6.04%+6.04%+6.04%,0.2416
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,16,6.39%+6.39%+6.39%+6.39%,0.2556
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,17,6.75%+6.75%+6.75%+6.75%,0.27
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,18,7.10%+7.10%+7.10%+7.10%,0.284
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,19,7.45%+7.45%+7.45%+7.45%,0.298
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 3 DMG,20,7.80%+7.80%+7.80%+7.80%,0.312
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,1,1.27%*3+3.80%,0.0761
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,2,1.37%*3+4.11%,0.0822
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,3,1.48%*3+4.42%,0.0886
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,4,1.62%*3+4.85%,0.0971
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,5,1.73%*3+5.17%,0.1036
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,6,1.84%*3+5.52%,0.1104
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,7,2.01%*3+6.02%,0.1205
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,8,2.18%*3+6.52%,0.1306
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,9,2.34%*3+7.02%,0.1404
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,10,2.52%*3+7.54%,0.151
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,11,2.73%*3+8.17%,0.1636
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,12,2.93%*3+8.79%,0.1758
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,13,3.14%*3+9.41%,0.1883
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,14,3.35%*3+10.03%,0.2008
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,15,3.55%*3+10.65%,0.213
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,16,3.76%*3+11.28%,0.2256
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,17,3.97%*3+11.90%,0.2381
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,18,4.18%*3+12.52%,0.2506
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,19,4.38%*3+13.14%,0.2628
Cartethyia,Sword to Carve My Forms,Normal Attack,Stage 4 DMG,20,4.59%*3+13.76%,0.2753
Cartethyia,Sword to Carve My Forms,Normal Attack,Dodge Counter DMG,1,3.45%+3.45%+3.45%+3.45%,0.138
Cartethyia,Sword to Carve My Forms,Normal Attack,Dodge Counter DMG,2,3.73%+3.73%+3.73%+3.73%,0.1492
Cartethyia,Sword to Carve My Forms,Normal Attack,Dodge Counter DMG,3,4.01%+4.01%+4.01%+4.01%,0.1604
Cartethyia,Sword to Carve My Forms,Normal Attack,Dodge Counter DMG,4,4.41%+4.41%+4.41%+4.41%,0.1764
Cartethyia,Sword to Carve My Forms,Normal Attack,Dodge Counter DMG,5,4.69%+4.69%+4.69%+4.69%,0.1876
Cartethyia,Sword to Carve My Forms,Normal Attack,Dodge Counter DMG,6,5.02%+5.02%+5.02%+5.02%,0.2008
Cartethyia,Sword to Carve My Forms,Normal Attack,Dodge Counter DMG,7,5.47%+5.47%+5.47%+5.47%,0.2188
Cartethyia,Sword to Carve My Forms,Normal Attack,Dodge Counter DMG,8,5.92%+5.92%+5.92%+5.92%,0.2368
Cartethyia,Sword to Carve My Forms,Normal Attack,Dodge Counter DMG,9,6.37%+6.37%+6.37%+6.37%,0.2548
