character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,1,14.84%*2,0.2968,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,2,16.05%*2,0.321,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,3,17.27%*2,0.3454,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,4,18.97%*2,0.3794,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,5,20.19%*2,0.4038,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,6,21.59%*2,0.4318,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,7,23.53%*2,0.4706,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,8,25.48%*2,0.5096,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,9,27.43%*2,0.5486,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,10,29.49%*2,0.5898,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,11,31.93%*2,0.6386,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,12,34.36%*2,0.6872,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,13,36.79%*2,0.7358,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,14,39.22%*2,0.7844,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,15,41.66%*2,0.8332,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,16,44.09%*2,0.8818,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,17,46.52%*2,0.9304,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,18,48.95%*2,0.979,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 1 DMG,19,51.39%*2,1.0278,"[""Basic Attack Damage""]"
Changli,Blazing Enlightment,Normal Attack,Basic Attack 2 DMG,1,17.85%*2,0.357,"[""Basic Attack Damage""]"
