character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Chixia,POW POW,Normal Attack,Stage 1 DMG,1,33.30%,0.333
Chixia,POW POW,Normal Attack,Stage 1 DMG,2,36.04%,0.3604
Chixia,POW POW,Normal Attack,Stage 1 DMG,3,38.77%,0.3877
Chixia,POW POW,Normal Attack,Stage 1 DMG,4,42.59%,0.4259
Chixia,POW POW,Normal Attack,Stage 1 DMG,5,45.32%,0.4532
Chixia,POW POW,Normal Attack,Stage 1 DMG,6,48.46%,0.4846
Chixia,POW POW,Normal Attack,Stage 1 DMG,7,52.83%,0.5283
Chixia,POW POW,Normal Attack,Stage 1 DMG,8,57.20%,0.572
Chixia,POW POW,Normal Attack,Stage 1 DMG,9,61.57%,0.6157
Chixia,POW POW,Normal Attack,Stage 1 DMG,10,66.21%,0.6621
Chixia,POW POW,Normal Attack,Stage 1 DMG,11,71.67%,0.7167
Chixia,POW POW,Normal Attack,Stage 1 DMG,12,77.13%,0.7713
Chixia,POW POW,Normal Attack,Stage 1 DMG,13,82.59%,0.8259
Chixia,POW POW,Normal Attack,Stage 1 DMG,14,88.05%,0.8805
Chixia,POW POW,Normal Attack,Stage 1 DMG,15,93.51%,0.9351
Chixia,POW POW,Normal Attack,Stage 1 DMG,16,98.98%,0.9898
Chixia,POW POW,Normal Attack,Stage 1 DMG,17,104.44%,1.0444
Chixia,POW POW,Normal Attack,Stage 1 DMG,18,109.90%,1.099
Chixia,POW POW,Normal Attack,Stage 1 DMG,19,115.36%,1.1536
Chixia,POW POW,Normal Attack,Stage 1 DMG,20,120.82%,1.2082
Chixia,POW POW,Normal Attack,Stage 2 DMG,1,24.30%*2,0.486
Chixia,POW POW,Normal Attack,Stage 2 DMG,2,26.30%*2,0.526
Chixia,POW POW,Normal Attack,Stage 2 DMG,3,28.29%*2,0.5658
Chixia,POW POW,Normal Attack,Stage 2 DMG,4,31.08%*2,0.6216
Chixia,POW POW,Normal Attack,Stage 2 DMG,5,33.07%*2,0.6614
Chixia,POW POW,Normal Attack,Stage 2 DMG,6,35.36%*2,0.7072
Chixia,POW POW,Normal Attack,Stage 2 DMG,7,38.55%*2,0.771
Chixia,POW POW,Normal Attack,Stage 2 DMG,8,41.74%*2,0.8348
Chixia,POW POW,Normal Attack,Stage 2 DMG,9,44.93%*2,0.8986
Chixia,POW POW,Normal Attack,Stage 2 DMG,10,48.32%*2,0.9664
Chixia,POW POW,Normal Attack,Stage 2 DMG,11,52.30%*2,1.046
Chixia,POW POW,Normal Attack,Stage 2 DMG,12,56.29%*2,1.1258
Chixia,POW POW,Normal Attack,Stage 2 DMG,13,60.27%*2,1.2054
Chixia,POW POW,Normal Attack,Stage 2 DMG,14,64.26%*2,1.2852
Chixia,POW POW,Normal Attack,Stage 2 DMG,15,68.24%*2,1.3648
Chixia,POW POW,Normal Attack,Stage 2 DMG,16,72.23%*2,1.4446
Chixia,POW POW,Normal Attack,Stage 2 DMG,17,76.21%*2,1.5242
Chixia,POW POW,Normal Attack,Stage 2 DMG,18,80.20%*2,1.604
Chixia,POW POW,Normal Attack,Stage 2 DMG,19,84.18%*2,1.6836
Chixia,POW POW,Normal Attack,Stage 2 DMG,20,88.17%*2,1.7634
Chixia,POW POW,Normal Attack,Stage 3 DMG,1,16.88%*4,0.6752
Chixia,POW POW,Normal Attack,Stage 3 DMG,2,18.26%*4,0.7304
Chixia,POW POW,Normal Attack,Stage 3 DMG,3,19.65%*4,0.786
Chixia,POW POW,Normal Attack,Stage 3 DMG,4,21.58%*4,0.8632
Chixia,POW POW,Normal Attack,Stage 3 DMG,5,22.97%*4,0.9188
Chixia,POW POW,Normal Attack,Stage 3 DMG,6,24.56%*4,0.9824
Chixia,POW POW,Normal Attack,Stage 3 DMG,7,26.77%*4,1.0708
Chixia,POW POW,Normal Attack,Stage 3 DMG,8,28.99%*4,1.1596
