character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,1,28.70%,0.287
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,2,31.06%,0.3106
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,3,33.41%,0.3341
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,4,36.71%,0.3671
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,5,39.06%,0.3906
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,6,41.77%,0.4177
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,7,45.53%,0.4553
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,8,49.30%,0.493
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,9,53.06%,0.5306
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,10,57.06%,0.5706
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,11,61.77%,0.6177
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,12,66.48%,0.6648
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,13,71.18%,0.7118
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,14,75.89%,0.7589
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,15,80.60%,0.806
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,16,85.30%,0.853
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,17,90.01%,0.9001
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,18,94.72%,0.9472
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,19,99.42%,0.9942
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 1 DMG,20,104.13%,1.0413
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,1,24.60%+12.30%*2+32.80%,0.82
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,2,26.62%+13.31%*2+35.49%,0.8873
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,3,28.64%+14.32%*2+38.18%,0.9546
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,4,31.46%+15.73%*2+41.95%,1.0487
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,5,33.48%+16.74%*2+44.64%,1.116
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,6,35.80%+17.90%*2+47.73%,1.1933
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,7,39.03%+19.52%*2+52.04%,1.3011
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,8,42.26%+21.13%*2+56.34%,1.4086
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,9,45.48%+22.74%*2+60.64%,1.516
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,10,48.91%+24.46%*2+65.21%,1.6304
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,11,52.95%+26.48%*2+70.59%,1.765
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,12,56.98%+28.49%*2+75.97%,1.8993
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,13,61.02%+30.51%*2+81.35%,2.0339
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,14,65.05%+32.53%*2+86.73%,2.1684
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,15,69.08%+34.54%*2+92.11%,2.3027
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,16,73.12%+36.56%*2+97.49%,2.4373
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,17,77.15%+38.58%*2+102.87%,2.5718
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,18,81.19%+40.60%*2+108.25%,2.7064
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,19,85.22%+42.61%*2+113.63%,2.8407
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 2 DMG,20,89.26%+44.63%*2+119.01%,2.9753
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,1,16.61%*4,0.6644
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,2,17.97%*4,0.7188
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,3,19.33%*4,0.7732
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,4,21.24%*4,0.8496
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,5,22.60%*4,0.904
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,6,24.17%*4,0.9668
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,7,26.35%*4,1.054
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,8,28.52%*4,1.1408
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,9,30.70%*4,1.228
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,10,33.02%*4,1.3208
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,11,35.74%*4,1.4296
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,12,38.46%*4,1.5384
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,13,41.19%*4,1.6476
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,14,43.91%*4,1.7564
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,15,46.63%*4,1.8652
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,16,49.36%*4,1.9744
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,17,52.08%*4,2.0832
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,18,54.80%*4,2.192
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,19,57.53%*4,2.3012
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 3 DMG,20,60.25%*4,2.41
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,1,30.75%*4,1.23
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,2,33.28%*4,1.3312
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,3,35.80%*4,1.432
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,4,39.33%*4,1.5732
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,5,41.85%*4,1.674
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,6,44.75%*4,1.79
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,7,48.78%*4,1.9512
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,8,52.82%*4,2.1128
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,9,56.85%*4,2.274
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,10,61.14%*4,2.4456
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,11,66.18%*4,2.6472
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,12,71.23%*4,2.8492
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,13,76.27%*4,3.0508
Ciaccona,Quadruple Time Steps,Normal Attack,Stage 4 DMG,14,81.31%*4,3.2524
