character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Danjin,Execution,Normal Attack,Stage 1 DMG,1,28.80%,0.288,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,2,31.17%,0.3117,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,3,33.53%,0.3353,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,4,36.83%,0.3683,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,5,39.20%,0.392,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,6,41.91%,0.4191,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,7,45.69%,0.4569,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,8,49.47%,0.4947,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,9,53.25%,0.5325,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,10,57.26%,0.5726,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,11,61.99%,0.6199,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,12,66.71%,0.6671,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,13,71.43%,0.7143,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,14,76.16%,0.7616,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,15,80.88%,0.8088,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,16,85.60%,0.856,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,17,90.32%,0.9032,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,18,95.05%,0.9505,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,19,99.77%,0.9977,"[""Basic Attack Damage""]"
Danjin,Execution,Normal Attack,Stage 1 DMG,20,104.49%,1.0449,"[""Basic Attack Damage""]"
