character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,1,28.50%,0.285,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,2,30.84%,0.3084,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,3,33.18%,0.3318,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,4,36.45%,0.3645,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,5,38.79%,0.3879,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,6,41.48%,0.4148,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,7,45.21%,0.4521,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,8,48.95%,0.4895,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,9,52.69%,0.5269,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,10,56.67%,0.5667,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,11,61.34%,0.6134,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,12,66.01%,0.6601,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,13,70.69%,0.7069,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,14,75.36%,0.7536,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,15,80.04%,0.8004,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,16,84.71%,0.8471,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,17,89.38%,0.8938,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,18,94.06%,0.9406,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,19,98.73%,0.9873,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 1 DMG,20,103.41%,1.0341,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,1,28.50%*2,0.57,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,2,30.84%*2,0.6168,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,3,33.18%*2,0.6636,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,4,36.45%*2,0.729,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,5,38.79%*2,0.7758,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,6,41.48%*2,0.8296,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,7,45.21%*2,0.9042,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,8,48.95%*2,0.979,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,9,52.69%*2,1.0538,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,10,56.67%*2,1.1334,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,11,61.34%*2,1.2268,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,12,66.01%*2,1.3202,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,13,70.69%*2,1.4138,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,14,75.36%*2,1.5072,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,15,80.04%*2,1.6008,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,16,84.71%*2,1.6942,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,17,89.38%*2,1.7876,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,18,94.06%*2,1.8812,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,19,98.73%*2,1.9746,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 2 DMG,20,103.41%*2,2.0682,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,1,42.75%,0.4275,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,2,46.26%,0.4626,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,3,49.77%,0.4977,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,4,54.67%,0.5467,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,5,58.18%,0.5818,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,6,62.21%,0.6221,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,7,67.82%,0.6782,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,8,73.43%,0.7343,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,9,79.04%,0.7904,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,10,85.00%,0.85,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,11,92.01%,0.9201,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,12,99.02%,0.9902,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,13,106.03%,1.0603,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,14,113.04%,1.1304,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,15,120.05%,1.2005,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,16,127.06%,1.2706,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,17,134.07%,1.3407,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,18,141.08%,1.4108,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,19,148.10%,1.481,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 3 DMG,20,155.11%,1.5511,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,1,20.27%*3,0.6081,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,2,21.93%*3,0.6579,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,3,23.60%*3,0.708,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,4,25.92%*3,0.7776,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,5,27.58%*3,0.8274,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,6,29.50%*3,0.885,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,7,32.15%*3,0.9645,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,8,34.81%*3,1.0443,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,9,37.47%*3,1.1241,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,10,40.30%*3,1.209,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,11,43.62%*3,1.3086,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,12,46.94%*3,1.4082,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,13,50.27%*3,1.5081,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,14,53.59%*3,1.6077,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,15,56.92%*3,1.7076,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,16,60.24%*3,1.8072,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,17,63.56%*3,1.9068,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,18,66.89%*3,2.0067,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,19,70.21%*3,2.1063,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 4 DMG,20,73.53%*3,2.2059,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,1,47.50%*2,0.95,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,2,51.40%*2,1.028,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,3,55.29%*2,1.1058,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,4,60.75%*2,1.215,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,5,64.64%*2,1.2928,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,6,69.12%*2,1.3824,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,7,75.35%*2,1.507,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,8,81.59%*2,1.6318,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,9,87.82%*2,1.7564,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,10,94.44%*2,1.8888,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,11,102.23%*2,2.0446,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,12,110.02%*2,2.2004,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,13,117.81%*2,2.3562,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,14,125.60%*2,2.512,"[""Basic Attack Damage""]"
Rover: Havoc,Tuneslayer,Normal Attack,Stage 5 DMG,15,133.39%*2,2.6678,"[""Basic Attack Damage""]"
