character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,1,34.94%,0.3494
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,2,37.80%,0.378
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,3,40.67%,0.4067
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,4,44.68%,0.4468
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,5,47.54%,0.4754
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,6,50.84%,0.5084
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,7,55.42%,0.5542
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,8,60.01%,0.6001
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,9,64.59%,0.6459
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,10,69.46%,0.6946
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,11,75.19%,0.7519
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,12,80.92%,0.8092
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,13,86.65%,0.8665
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,14,92.38%,0.9238
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,15,98.11%,0.9811
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,16,103.84%,1.0384
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,17,109.56%,1.0956
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,18,115.29%,1.1529
Jianxin,Fengyiquan,Normal Attack,Stage 1 DMG,19,121.02%,1.2102
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,1,13.40%*2+40.19%,0.6699
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,2,14.50%*2+43.49%,0.7249
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,3,15.60%*2+46.78%,0.7798
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,4,17.14%*2+51.40%,0.8568
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,5,18.23%*2+54.69%,0.9115
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,6,19.50%*2+58.48%,0.9748
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,7,21.26%*2+63.76%,1.0628
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,8,23.01%*2+69.03%,1.1505
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,9,24.77%*2+74.30%,1.2384
Jianxin,Fengyiquan,Normal Attack,Stage 2 DMG,10,26.64%*2+79.90%,1.3318
