character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,1,33.43%,0.3343,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,2,36.18%,0.3618,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,3,38.92%,0.3892,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,4,42.75%,0.4275,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,5,45.50%,0.455,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,6,48.65%,0.4865,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,7,53.03%,0.5303,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,8,57.42%,0.5742,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,9,61.81%,0.6181,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,10,66.47%,0.6647,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,11,71.95%,0.7195,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,12,77.43%,0.7743,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,13,82.91%,0.8291,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,14,88.40%,0.884,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,15,93.88%,0.9388,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,16,99.36%,0.9936,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,17,104.84%,1.0484,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,18,110.33%,1.1033,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 1 DMG,19,115.81%,1.1581,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 2 DMG,1,19.61%+9.81%*3,0.4904,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 2 DMG,2,21.22%+10.61%*3,0.5305,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 2 DMG,3,22.83%+11.42%*3,0.5709,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 2 DMG,4,25.08%+12.54%*3,0.627,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 2 DMG,5,26.69%+13.35%*3,0.6674,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 2 DMG,6,28.54%+14.27%*3,0.7135,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 2 DMG,7,31.11%+15.56%*3,0.7779,"[""Basic Attack Damage""]"
Jinhsi,Slash of Breaking Dawn,Normal Attack,Stage 2 DMG,8,33.68%+16.84%*3,0.842,"[""Basic Attack Damage""]"
