character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,1,36.80%,0.368,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,2,39.81%,0.3981,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,3,42.83%,0.4283,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,4,47.05%,0.4705,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,5,50.07%,0.5007,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,6,53.54%,0.5354,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,7,58.37%,0.5837,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,8,63.20%,0.632,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,9,68.03%,0.6803,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,10,73.16%,0.7316,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,11,79.19%,0.7919,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,12,85.23%,0.8523,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,13,91.26%,0.9126,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,14,97.30%,0.973,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,15,103.33%,1.0333,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,16,109.37%,1.0937,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,17,115.40%,1.154,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,18,121.44%,1.2144,"[""Basic Attack Damage""]"
Jiyan,Lone Lance,Normal Attack,Stage 1 DMG,19,127.47%,1.2747,"[""Basic Attack Damage""]"
