character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,1,30.00%,0.3,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,2,32.46%,0.3246,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,3,34.92%,0.3492,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,4,38.37%,0.3837,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,5,40.83%,0.4083,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,6,43.66%,0.4366,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,7,47.59%,0.4759,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,8,51.53%,0.5153,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,9,55.47%,0.5547,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,10,59.65%,0.5965,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,11,64.57%,0.6457,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,12,69.49%,0.6949,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,13,74.41%,0.7441,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,14,79.33%,0.7933,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,15,84.25%,0.8425,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,16,89.17%,0.8917,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,17,94.09%,0.9409,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,18,99.01%,0.9901,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,19,103.93%,1.0393,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 1 DMG,20,108.85%,1.0885,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,1,40.00%,0.4,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,2,43.28%,0.4328,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,3,46.56%,0.4656,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,4,51.16%,0.5116,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,5,54.44%,0.5444,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,6,58.21%,0.5821,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,7,63.46%,0.6346,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,8,68.70%,0.687,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,9,73.95%,0.7395,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,10,79.53%,0.7953,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,11,86.09%,0.8609,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,12,92.65%,0.9265,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,13,99.21%,0.9921,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,14,105.77%,1.0577,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,15,112.33%,1.1233,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,16,118.89%,1.1889,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,17,125.45%,1.2545,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,18,132.01%,1.3201,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,19,138.57%,1.3857,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 2 DMG,20,145.13%,1.4513,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 3 DMG,1,36.65%*2,0.733,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 3 DMG,2,39.66%*2,0.7932,"[""Basic Attack Damage""]"
Lingyang,Majestic Fists,Normal Attack,Stage 3 DMG,3,42.67%*2,0.8534,"[""Basic Attack Damage""]"
