character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,1,16.00%*3,0.48
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,2,17.32%*3,0.5196
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,3,18.63%*3,0.5589
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,4,20.47%*3,0.6141
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,5,21.78%*3,0.6534
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,6,23.29%*3,0.6987
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,7,25.39%*3,0.7617
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,8,27.48%*3,0.8244
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,9,29.58%*3,0.8874
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,10,31.81%*3,0.9543
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,11,34.44%*3,1.0332
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,12,37.06%*3,1.1118
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,13,39.69%*3,1.1907
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,14,42.31%*3,1.2693
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,15,44.93%*3,1.3479
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,16,47.56%*3,1.4268
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,17,50.18%*3,1.5054
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,18,52.81%*3,1.5843
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,19,55.43%*3,1.6629
Lumi,Navigation Support,Normal Attack,Yellow Light: Basic Attack,20,58.05%*3,1.7415
Lumi,Navigation Support,Normal Attack,Glitter,1,32.00%,0.32
Lumi,Navigation Support,Normal Attack,Glitter,2,34.63%,0.3463
Lumi,Navigation Support,Normal Attack,Glitter,3,37.25%,0.3725
Lumi,Navigation Support,Normal Attack,Glitter,4,40.93%,0.4093
Lumi,Navigation Support,Normal Attack,Glitter,5,43.55%,0.4355
Lumi,Navigation Support,Normal Attack,Glitter,6,46.57%,0.4657
Lumi,Navigation Support,Normal Attack,Glitter,7,50.77%,0.5077
Lumi,Navigation Support,Normal Attack,Glitter,8,54.96%,0.5496
Lumi,Navigation Support,Normal Attack,Glitter,9,59.16%,0.5916
Lumi,Navigation Support,Normal Attack,Glitter,10,63.62%,0.6362
Lumi,Navigation Support,Normal Attack,Glitter,11,68.87%,0.6887
Lumi,Navigation Support,Normal Attack,Glitter,12,74.12%,0.7412
Lumi,Navigation Support,Normal Attack,Glitter,13,79.37%,0.7937
Lumi,Navigation Support,Normal Attack,Glitter,14,84.62%,0.8462
Lumi,Navigation Support,Normal Attack,Glitter,15,89.86%,0.8986
Lumi,Navigation Support,Normal Attack,Glitter,16,95.11%,0.9511
Lumi,Navigation Support,Normal Attack,Glitter,17,100.36%,1.0036
Lumi,Navigation Support,Normal Attack,Glitter,18,105.61%,1.0561
Lumi,Navigation Support,Normal Attack,Glitter,19,110.86%,1.1086
Lumi,Navigation Support,Normal Attack,Glitter,20,116.10%,1.161
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,1,48.00%,0.48
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,2,51.94%,0.5194
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,3,55.88%,0.5588
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,4,61.39%,0.6139
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,5,65.32%,0.6532
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,6,69.85%,0.6985
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,7,76.15%,0.7615
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,8,82.44%,0.8244
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,9,88.74%,0.8874
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,10,95.43%,0.9543
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,11,103.31%,1.0331
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,12,111.18%,1.1118
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,13,119.05%,1.1905
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,14,126.92%,1.2692
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,15,134.79%,1.3479
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,16,142.67%,1.4267
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,17,150.54%,1.5054
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,18,158.41%,1.5841
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,19,166.28%,1.6628
Lumi,Navigation Support,Normal Attack,Yellow Light: Plunging Attack,20,174.15%,1.7415
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,1,45.60%,0.456
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,2,49.34%,0.4934
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,3,53.08%,0.5308
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,4,58.32%,0.5832
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,5,62.06%,0.6206
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,6,66.36%,0.6636
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,7,72.34%,0.7234
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,8,78.32%,0.7832
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,9,84.31%,0.8431
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,10,90.66%,0.9066
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,11,98.14%,0.9814
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,12,105.62%,1.0562
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,13,113.10%,1.131
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,14,120.58%,1.2058
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,15,128.05%,1.2805
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,16,135.53%,1.3553
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,17,143.01%,1.4301
Lumi,Navigation Support,Normal Attack,Red Light: Basic Attack 1 DMG,18,150.49%,1.5049
