character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,1,11.33%+11.33%+22.66%,0.4532,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,2,12.26%+12.26%+24.52%,0.4904,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,3,13.19%+13.19%+26.37%,0.5275,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,4,14.49%+14.49%+28.97%,0.5795,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,5,15.42%+15.42%+30.83%,0.6167,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,6,16.49%+16.49%+32.97%,0.6595,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,7,17.97%+17.97%+35.94%,0.7188,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,8,19.46%+19.46%+38.91%,0.7783,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,9,20.94%+20.94%+41.88%,0.8376,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,10,22.52%+22.52%+45.04%,0.9008,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,11,24.38%+24.38%+48.76%,0.9752,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,12,26.24%+26.24%+52.47%,1.0495,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,13,28.10%+28.10%+56.19%,1.1239,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,14,29.95%+29.95%+59.90%,1.198,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,15,31.81%+31.81%+63.62%,1.2724,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,16,33.67%+33.67%+67.33%,1.3467,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,17,35.53%+35.53%+71.05%,1.4211,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,18,37.38%+37.38%+74.76%,1.4952,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,19,39.24%+39.24%+78.48%,1.5696,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 1 DMG,20,41.10%+41.10%+82.19%,1.6439,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,1,45.31%,0.4531,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,2,49.03%,0.4903,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,3,52.74%,0.5274,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,4,57.94%,0.5794,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,5,61.66%,0.6166,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,6,65.93%,0.6593,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,7,71.87%,0.7187,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,8,77.82%,0.7782,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,9,83.76%,0.8376,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,10,90.08%,0.9008,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,11,97.51%,0.9751,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,12,104.94%,1.0494,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,13,112.37%,1.1237,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,14,119.80%,1.198,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,15,127.23%,1.2723,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,16,134.66%,1.3466,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,17,142.09%,1.4209,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,18,149.52%,1.4952,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,19,156.95%,1.5695,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 2 DMG,20,164.38%,1.6438,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,1,39.66%+6.61%*6,0.7932,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,2,42.91%+7.16%*6,0.8587,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,3,46.16%+7.70%*6,0.9236,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,4,50.71%+8.46%*6,1.0147,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,5,53.96%+9.00%*6,1.0796,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,6,57.70%+9.62%*6,1.1542,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,7,62.91%+10.49%*6,1.2585,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,8,68.11%+11.36%*6,1.3627,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,9,73.31%+12.22%*6,1.4663,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,10,78.84%+13.14%*6,1.5768,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,11,85.34%+14.23%*6,1.7072,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,12,91.84%+15.31%*6,1.837,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,13,98.35%+16.40%*6,1.9675,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,14,104.85%+17.48%*6,2.0973,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,15,111.35%+18.56%*6,2.2271,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,16,117.86%+19.65%*6,2.3576,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,17,124.36%+20.73%*6,2.4874,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,18,130.86%+21.81%*6,2.6172,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,19,137.37%+22.90%*6,2.7477,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 3 DMG,20,143.87%+23.98%*6,2.8775,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,1,37.16%+37.16%+24.77%*2,1.2386,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,2,40.21%+40.21%+26.81%*2,1.3404,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,3,43.25%+43.25%+28.84%*2,1.4418,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,4,47.52%+47.52%+31.68%*2,1.584,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,5,50.56%+50.56%+33.71%*2,1.6854,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,6,54.07%+54.07%+36.05%*2,1.8024,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,7,58.94%+58.94%+39.30%*2,1.9648,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,8,63.82%+63.82%+42.55%*2,2.1274,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,9,68.69%+68.69%+45.80%*2,2.2898,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,10,73.87%+73.87%+49.25%*2,2.4624,"[""Basic Attack Damage""]"
Lupa,Flaming Star,Normal Attack,Stage 4 DMG,11,79.96%+79.96%+53.31%*2,2.6654,"[""Basic Attack Damage""]"
