name,character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,1,16%,0.16,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,2,17.32%,0.1732,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,3,18.63%,0.1863,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,4,20.47%,0.2047,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,5,21.78%,0.2178,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,6,23.29%,0.2329,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,7,25.39%,0.2539,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,8,27.48%,0.2748,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,9,29.58%,0.2958,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 1 DMG,10,31.81%,0.3181,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,1,26.67%,0.2667,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,2,28.86%,0.2886,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,3,31.04%,0.3104,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,4,34.11%,0.3411,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,5,36.29%,0.3629,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,6,38.81%,0.3881,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,7,42.31%,0.4231,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,8,45.8%,0.458,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,9,49.3%,0.493,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 2 DMG,10,53.02%,0.5302,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,1,24%*2,0.48,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,2,25.97%*2,0.5194,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,3,27.94%*2,0.5588,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,4,30.7%*2,0.614,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,5,32.66%*2,0.6532,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,6,34.93%*2,0.6986,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,7,38.08%*2,0.7616,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,8,41.22%*2,0.8244,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,9,44.37%*2,0.8874,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 3 DMG,10,47.72%*2,0.9544,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 4 DMG,1,25.34%*2,0.5068,"[""Basic Attack Damage""]"
Aalto,4002,Half Truths,Normal Attack,Stage 4 DMG,2,27.42%*2,0.5484,"[""Basic Attack Damage""]"
