character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,1,24.29%,0.2429
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,2,26.29%,0.2629
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,3,28.28%,0.2828
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,4,31.07%,0.3107
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,5,33.06%,0.3306
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,6,35.35%,0.3535
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,7,38.54%,0.3854
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,8,41.72%,0.4172
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,9,44.91%,0.4491
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,10,48.30%,0.483
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,11,52.28%,0.5228
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,12,56.26%,0.5626
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,13,60.25%,0.6025
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,14,64.23%,0.6423
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,15,68.21%,0.6821
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,16,72.20%,0.722
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,17,76.18%,0.7618
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,18,80.16%,0.8016
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,19,84.15%,0.8415
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,20,88.13%,0.8813
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,1,20.51%*2,0.4102
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,2,22.20%*2,0.444
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,3,23.88%*2,0.4776
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,4,26.23%*2,0.5246
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,5,27.92%*2,0.5584
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,6,29.85%*2,0.597
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,7,32.54%*2,0.6508
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,8,35.23%*2,0.7046
