character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,1,24.29%,0.2429,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,2,26.29%,0.2629,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,3,28.28%,0.2828,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,4,31.07%,0.3107,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,5,33.06%,0.3306,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,6,35.35%,0.3535,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,7,38.54%,0.3854,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,8,41.72%,0.4172,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,9,44.91%,0.4491,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,10,48.30%,0.483,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,11,52.28%,0.5228,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,12,56.26%,0.5626,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,13,60.25%,0.6025,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,14,64.23%,0.6423,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,15,68.21%,0.6821,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,16,72.20%,0.722,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,17,76.18%,0.7618,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,18,80.16%,0.8016,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,19,84.15%,0.8415,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 1 DMG,20,88.13%,0.8813,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,1,20.51%*2,0.4102,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,2,22.20%*2,0.444,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,3,23.88%*2,0.4776,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,4,26.23%*2,0.5246,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,5,27.92%*2,0.5584,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,6,29.85%*2,0.597,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,7,32.54%*2,0.6508,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,8,35.23%*2,0.7046,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,9,37.92%*2,0.7584,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,10,40.78%*2,0.8156,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,11,44.14%*2,0.8828,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,12,47.51%*2,0.9502,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,13,50.87%*2,1.0174,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,14,54.24%*2,1.0848,"[""Basic Attack Damage""]"
Mortefi,Impromptu Show,Normal Attack,Stage 2 DMG,15,57.60%*2,1.152,"[""Basic Attack Damage""]"
