character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,1,14.85%,0.1485
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,2,16.07%,0.1607
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,3,17.29%,0.1729
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,4,19.00%,0.19
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,5,20.21%,0.2021
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,6,21.61%,0.2161
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,7,23.56%,0.2356
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,8,25.51%,0.2551
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,9,27.46%,0.2746
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,10,29.53%,0.2953
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,11,31.96%,0.3196
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,12,34.40%,0.344
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,13,36.83%,0.3683
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,14,39.27%,0.3927
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,15,41.71%,0.4171
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,16,44.14%,0.4414
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,17,46.58%,0.4658
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,18,49.01%,0.4901
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,19,51.45%,0.5145
Phoebe,O Come Divine Light,Normal Attack,Stage 1 DMG,20,53.88%,0.5388
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,1,11.25%+13.75%,0.25
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,2,12.18%+14.88%,0.2706
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,3,13.10%+16.01%,0.2911
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,4,14.39%+17.59%,0.3198
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,5,15.31%+18.72%,0.3403
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,6,16.37%+20.01%,0.3638
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,7,17.85%+21.82%,0.3967
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,8,19.33%+23.62%,0.4295
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,9,20.80%+25.42%,0.4622
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,10,22.37%+27.34%,0.4971
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,11,24.22%+29.60%,0.5382
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,12,26.06%+31.85%,0.5791
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,13,27.91%+34.11%,0.6202
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,14,29.75%+36.36%,0.6611
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,15,31.60%+38.62%,0.7022
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,16,33.44%+40.87%,0.7431
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,17,35.29%+43.13%,0.7842
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,18,37.13%+45.38%,0.8251
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,19,38.98%+47.64%,0.8662
Phoebe,O Come Divine Light,Normal Attack,Stage 2 DMG,20,40.82%+49.89%,0.9071
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,1,7.17%*8,0.5736
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,2,7.75%*8,0.62
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,3,8.34%*8,0.6672
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,4,9.16%*8,0.7328
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,5,9.75%*8,0.78
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,6,10.43%*8,0.8344
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,7,11.37%*8,0.9096
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,8,12.31%*8,0.9848
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,9,13.25%*8,1.06
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,10,14.24%*8,1.1392
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,11,15.42%*8,1.2336
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,12,16.59%*8,1.3272
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,13,17.77%*8,1.4216
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,14,18.94%*8,1.5152
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,15,20.12%*8,1.6096
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,16,21.29%*8,1.7032
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,17,22.47%*8,1.7976
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,18,23.64%*8,1.8912
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,19,24.82%*8,1.9856
Phoebe,O Come Divine Light,Normal Attack,Stage 3 DMG,20,25.99%*8,2.0792
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,1,20.80%*4,0.832
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,2,22.50%*4,0.9
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,3,24.21%*4,0.9684
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,4,26.60%*4,1.064
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,5,28.30%*4,1.132
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,6,30.26%*4,1.2104
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,7,32.99%*4,1.3196
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,8,35.72%*4,1.4288
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,9,38.45%*4,1.538
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,10,41.35%*4,1.654
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,11,44.76%*4,1.7904
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,12,48.17%*4,1.9268
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,13,51.58%*4,2.0632
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,14,54.99%*4,2.1996
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,15,58.40%*4,2.336
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,16,61.81%*4,2.4724
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,17,65.22%*4,2.6088
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,18,68.63%*4,2.7452
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,19,72.04%*4,2.8816
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack DMG,20,75.45%*4,3.018
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,1,23.25%*2,0.465
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,2,25.16%*2,0.5032
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,3,27.07%*2,0.5414
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,4,29.74%*2,0.5948
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,5,31.64%*2,0.6328
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,6,33.84%*2,0.6768
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,7,36.89%*2,0.7378
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,8,39.94%*2,0.7988
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,9,42.99%*2,0.8598
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,10,46.23%*2,0.9246
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,11,50.04%*2,1.0008
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,12,53.85%*2,1.077
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,13,57.67%*2,1.1534
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,14,61.48%*2,1.2296
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,15,65.29%*2,1.3058
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,16,69.11%*2,1.3822
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,17,72.92%*2,1.4584
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,18,76.73%*2,1.5346
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,19,80.55%*2,1.611
Phoebe,O Come Divine Light,Normal Attack,Mid-air Attack DMG,20,84.36%*2,1.6872
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,1,10.86%*8,0.8688
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,2,11.75%*8,0.94
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,3,12.64%*8,1.0112
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,4,13.89%*8,1.1112
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,5,14.78%*8,1.1824
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,6,15.80%*8,1.264
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,7,17.22%*8,1.3776
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,8,18.65%*8,1.492
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,9,20.07%*8,1.6056
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,10,21.58%*8,1.7264
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,11,23.36%*8,1.8688
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,12,25.15%*8,2.012
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,13,26.93%*8,2.1544
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,14,28.71%*8,2.2968
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,15,30.49%*8,2.4392
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,16,32.27%*8,2.5816
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,17,34.05%*8,2.724
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,18,35.83%*8,2.8664
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,19,37.61%*8,3.0088
Phoebe,O Come Divine Light,Normal Attack,Dodge Counter DMG,20,39.39%*8,3.1512
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,1,22.05%*6,1.323
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,2,23.86%*6,1.4316
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,3,25.67%*6,1.5402
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,4,28.20%*6,1.692
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,5,30.01%*6,1.8006
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,6,32.09%*6,1.9254
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,7,34.98%*6,2.0988
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,8,37.88%*6,2.2728
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,9,40.77%*6,2.4462
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,10,43.84%*6,2.6304
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,11,47.46%*6,2.8476
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,12,51.08%*6,3.0648
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,13,54.69%*6,3.2814
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,14,58.31%*6,3.4986
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,15,61.92%*6,3.7152
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,16,65.54%*6,3.9324
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,17,69.16%*6,4.1496
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,18,72.77%*6,4.3662
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,19,76.39%*6,4.5834
Phoebe,O Come Divine Light,Normal Attack,Chamuel's Star: Dodge Counter DMG,20,80.00%*6,4.8
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack STA Cost,1,25,0.0
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack STA Cost,2,25,0.0
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack STA Cost,3,25,0.0
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack STA Cost,4,25,0.0
Phoebe,O Come Divine Light,Normal Attack,Heavy Attack STA Cost,5,25,0.0
