character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,1,36.81%,0.3681,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,2,39.83%,0.3983,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,3,42.85%,0.4285,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,4,47.07%,0.4707,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,5,50.09%,0.5009,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,6,53.56%,0.5356,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,7,58.39%,0.5839,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,8,63.22%,0.6322,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,9,68.05%,0.6805,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,10,73.18%,0.7318,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,11,79.21%,0.7921,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,12,85.25%,0.8525,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,13,91.29%,0.9129,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,14,97.32%,0.9732,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,15,103.36%,1.0336,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,16,109.39%,1.0939,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,17,115.43%,1.1543,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,18,121.47%,1.2147,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,19,127.50%,1.275,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 1 DMG,20,133.54%,1.3354,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,1,19.19%*3,0.5757,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,2,20.76%*3,0.6228,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,3,22.33%*3,0.6699,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,4,24.53%*3,0.7359,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,5,26.11%*3,0.7833,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,6,27.92%*3,0.8376,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,7,30.43%*3,0.9129,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,8,32.95%*3,0.9885,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,9,35.47%*3,1.0641,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,10,38.14%*3,1.1442,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,11,41.29%*3,1.2387,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,12,44.43%*3,1.3329,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,13,47.58%*3,1.4274,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,14,50.72%*3,1.5216,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,15,53.87%*3,1.6161,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,16,57.01%*3,1.7103,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,17,60.16%*3,1.8048,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,18,63.31%*3,1.8993,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,19,66.45%*3,1.9935,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 2 DMG,20,69.60%*3,2.088,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,1,17.00%*2+51.00%,0.85,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,2,18.40%*2+55.19%,0.9199,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,3,19.79%*2+59.37%,0.9895,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,4,21.74%*2+65.22%,1.087,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,5,23.14%*2+69.41%,1.1569,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,6,24.74%*2+74.22%,1.237,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,7,26.97%*2+80.91%,1.3485,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,8,29.20%*2+87.60%,1.46,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,9,31.43%*2+94.29%,1.5715,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,10,33.80%*2+101.40%,1.69,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,11,36.59%*2+109.76%,1.8294,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,12,39.38%*2+118.13%,1.9689,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,13,42.17%*2+126.49%,2.1083,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,14,44.95%*2+134.85%,2.2475,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,15,47.74%*2+143.22%,2.387,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,16,50.53%*2+151.58%,2.5264,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,17,53.32%*2+159.95%,2.6659,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,18,56.11%*2+168.31%,2.8053,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,19,58.89%*2+176.67%,2.9445,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 3 DMG,20,61.68%*2+185.04%,3.084,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,1,52.41%*2,1.0482,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,2,56.70%*2,1.134,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,3,61.00%*2,1.22,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,4,67.02%*2,1.3404,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,5,71.31%*2,1.4262,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,6,76.26%*2,1.5252,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,7,83.13%*2,1.6626,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,8,90.01%*2,1.8002,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,9,96.88%*2,1.9376,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,10,104.19%*2,2.0838,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,11,112.78%*2,2.2556,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,12,121.37%*2,2.4274,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,13,129.97%*2,2.5994,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,14,138.56%*2,2.7712,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,15,147.16%*2,2.9432,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,16,155.75%*2,3.115,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,17,164.34%*2,3.2868,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,18,172.94%*2,3.4588,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,19,181.53%*2,3.6306,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Stage 4 DMG,20,190.13%*2,3.8026,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,1,85.00%,0.85,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,2,91.97%,0.9197,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,3,98.94%,0.9894,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,4,108.70%,1.087,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,5,115.67%,1.1567,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,6,123.69%,1.2369,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,7,134.84%,1.3484,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,8,145.99%,1.4599,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,9,157.14%,1.5714,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,10,168.99%,1.6899,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,11,182.93%,1.8293,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,12,196.87%,1.9687,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,13,210.81%,2.1081,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,14,224.75%,2.2475,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,15,238.69%,2.3869,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,16,252.63%,2.5263,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,17,266.57%,2.6657,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,18,280.51%,2.8051,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,19,294.45%,2.9445,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack DMG,20,308.39%,3.0839,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,1,52.70%,0.527,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,2,57.03%,0.5703,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,3,61.35%,0.6135,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,4,67.40%,0.674,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,5,71.72%,0.7172,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,6,76.69%,0.7669,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,7,83.60%,0.836,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,8,90.52%,0.9052,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,9,97.43%,0.9743,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,10,104.78%,1.0478,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,11,113.42%,1.1342,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,12,122.06%,1.2206,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,13,130.71%,1.3071,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,14,139.35%,1.3935,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,15,147.99%,1.4799,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,16,156.63%,1.5663,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,17,165.28%,1.6528,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,18,173.92%,1.7392,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,19,182.56%,1.8256,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack DMG,20,191.21%,1.9121,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,1,34.66%*3,1.0398,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,2,37.50%*3,1.125,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,3,40.34%*3,1.2102,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,4,44.32%*3,1.3296,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,5,47.16%*3,1.4148,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,6,50.43%*3,1.5129,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,7,54.97%*3,1.6491,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,8,59.52%*3,1.7856,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,9,64.07%*3,1.9221,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,10,68.90%*3,2.067,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,11,74.58%*3,2.2374,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,12,80.26%*3,2.4078,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,13,85.94%*3,2.5782,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,14,91.63%*3,2.7489,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,15,97.31%*3,2.9193,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,16,102.99%*3,3.0897,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,17,108.68%*3,3.2604,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,18,114.36%*3,3.4308,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,19,120.04%*3,3.6012,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Dodge Counter DMG,20,125.72%*3,3.7716,"[""Basic Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,1,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,2,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,3,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,4,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,5,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,6,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,7,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,8,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,9,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,10,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,11,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,12,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,13,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,14,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,15,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,16,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,17,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,18,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,19,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,Heavy Attack STA Cost,20,10,0.0,"[""Heavy Attack Damage""]"
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,1,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,2,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,3,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,4,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,5,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,6,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,7,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,8,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,9,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,10,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,11,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,12,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,13,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,14,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,15,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,16,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,17,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,18,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,19,15,0.0,
Roccia,"Pero, Easy",Normal Attack,STA Cost per Second while Charging,20,15,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,1,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,2,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,3,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,4,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,5,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,6,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,7,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,8,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,9,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,10,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,11,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,12,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,13,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,14,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,15,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,16,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,17,30,0.0,
Roccia,"Pero, Easy",Normal Attack,Mid-air Attack STA Cost,18,30,0.0,
