character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,1,24.50%,0.245
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,2,26.51%,0.2651
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,3,28.52%,0.2852
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,4,31.34%,0.3134
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,5,33.34%,0.3334
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,6,35.65%,0.3565
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,7,38.87%,0.3887
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,8,42.08%,0.4208
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,9,45.30%,0.453
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,10,48.71%,0.4871
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,11,52.73%,0.5273
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,12,56.75%,0.5675
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,13,60.77%,0.6077
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,14,64.79%,0.6479
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,15,68.80%,0.688
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,16,72.82%,0.7282
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,17,76.84%,0.7684
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,18,80.86%,0.8086
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,19,84.88%,0.8488
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,20,88.89%,0.8889
Sanhua,Frigid Light,Normal Attack,Stage 2 DMG,1,37.10%,0.371
Sanhua,Frigid Light,Normal Attack,Stage 2 DMG,2,40.15%,0.4015
Sanhua,Frigid Light,Normal Attack,Stage 2 DMG,3,43.19%,0.4319
Sanhua,Frigid Light,Normal Attack,Stage 2 DMG,4,47.45%,0.4745
Sanhua,Frigid Light,Normal Attack,Stage 2 DMG,5,50.49%,0.5049
Sanhua,Frigid Light,Normal Attack,Stage 2 DMG,6,53.99%,0.5399
Sanhua,Frigid Light,Normal Attack,Stage 2 DMG,7,58.86%,0.5886
