character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,1,24.50%,0.245,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,2,26.51%,0.2651,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,3,28.52%,0.2852,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,4,31.34%,0.3134,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,5,33.34%,0.3334,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,6,35.65%,0.3565,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,7,38.87%,0.3887,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,8,42.08%,0.4208,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,9,45.30%,0.453,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,10,48.71%,0.4871,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,11,52.73%,0.5273,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,12,56.75%,0.5675,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,13,60.77%,0.6077,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,14,64.79%,0.6479,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,15,68.80%,0.688,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,16,72.82%,0.7282,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,17,76.84%,0.7684,"[""Basic Attack Damage""]"
Sanhua,Frigid Light,Normal Attack,Stage 1 DMG,18,80.86%,0.8086,"[""Basic Attack Damage""]"
