character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,1,15.99%,0.1599,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,2,17.30%,0.173,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,3,18.61%,0.1861,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,4,20.45%,0.2045,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,5,21.76%,0.2176,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,6,23.26%,0.2326,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,7,25.36%,0.2536,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,8,27.46%,0.2746,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,9,29.55%,0.2955,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,10,31.78%,0.3178,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,11,34.40%,0.344,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,12,37.03%,0.3703,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,13,39.65%,0.3965,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,14,42.27%,0.4227,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,15,44.89%,0.4489,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,16,47.51%,0.4751,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,17,50.13%,0.5013,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,18,52.75%,0.5275,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,19,55.38%,0.5538,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 1 DMG,20,58.00%,0.58,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 2 DMG,1,12.00%*2,0.24,"[""Basic Attack Damage""]"
Shorekeeper,Origin Calculus,Normal Attack,Stage 2 DMG,2,12.99%*2,0.2598,"[""Basic Attack Damage""]"
