character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,1,45.34%,0.4534
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,2,49.06%,0.4906
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,3,52.78%,0.5278
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,4,57.99%,0.5799
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,5,61.7%,0.617
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,6,65.98%,0.6598
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,7,71.93%,0.7193
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,8,77.88%,0.7788
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,9,83.83%,0.8383
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,10,90.15%,0.9015
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,11,97.58%,0.9758
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,12,105.02%,1.0502
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,13,112.45%,1.1245
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,14,119.89%,1.1989
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,15,127.32%,1.2732
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,16,134.76%,1.3476
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,17,142.2%,1.422
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,18,149.63%,1.4963
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,19,157.07%,1.5707
Taoqi,Concealed Edge,Normal Attack,Stage 1 DMG,20,164.5%,1.645
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,1,42.67%,0.4267
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,2,46.17%,0.4617
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,3,49.67%,0.4967
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,4,54.57%,0.5457
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,5,58.07%,0.5807
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,6,62.09%,0.6209
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,7,67.69%,0.6769
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,8,73.29%,0.7329
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,9,78.89%,0.7889
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,10,84.84%,0.8484
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,11,91.84%,0.9184
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,12,98.83%,0.9883
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,13,105.83%,1.0583
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,14,112.83%,1.1283
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,15,119.83%,1.1983
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,16,126.82%,1.2682
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,17,133.82%,1.3382
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,18,140.82%,1.4082
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,19,147.82%,1.4782
Taoqi,Concealed Edge,Normal Attack,Stage 2 DMG,20,154.82%,1.5482
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,1,56%,0.56
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,2,60.6%,0.606
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,3,65.19%,0.6519
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,4,71.62%,0.7162
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,5,76.21%,0.7621
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,6,81.49%,0.8149
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,7,88.84%,0.8884
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,8,96.18%,0.9618
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,9,103.53%,1.0353
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,10,111.34%,1.1134
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,11,120.52%,1.2052
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,12,129.71%,1.2971
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,13,138.89%,1.3889
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,14,148.07%,1.4807
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,15,157.26%,1.5726
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,16,166.44%,1.6644
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,17,175.63%,1.7563
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,18,184.81%,1.8481
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,19,193.99%,1.9399
Taoqi,Concealed Edge,Normal Attack,Stage 3 DMG,20,203.18%,2.0318
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,1,136%,1.36
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,2,147.16%,1.4716
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,3,158.31%,1.5831
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,4,173.92%,1.7392
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,5,185.07%,1.8507
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,6,197.9%,1.979
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,7,215.74%,2.1574
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,8,233.58%,2.3358
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,9,251.43%,2.5143
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,10,270.39%,2.7039
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,11,292.69%,2.9269
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,12,314.99%,3.1499
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,13,337.3%,3.373
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,14,359.6%,3.596
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,15,381.91%,3.8191
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,16,404.21%,4.0421
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,17,426.51%,4.2651
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,18,448.82%,4.4882
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,19,471.12%,4.7112
Taoqi,Concealed Edge,Normal Attack,Stage 4 DMG,20,493.43%,4.9343
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,1,110.84%,1.1084
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,2,119.93%,1.1993
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,3,129.02%,1.2902
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,4,141.75%,1.4175
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,5,150.84%,1.5084
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,6,161.29%,1.6129
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,7,175.83%,1.7583
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,8,190.37%,1.9037
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,9,204.91%,2.0491
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,10,220.37%,2.2037
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,11,238.54%,2.3854
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,12,256.72%,2.5672
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,13,274.9%,2.749
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,14,293.08%,2.9308
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,15,311.25%,3.1125
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,16,329.43%,3.2943
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,17,347.61%,3.4761
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,18,365.79%,3.6579
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,19,383.97%,3.8397
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG,20,402.14%,4.0214
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG Reduction,1,35%,0.35
Taoqi,Concealed Edge,Normal Attack,Heavy Attack DMG Reduction,2,35%,0.35
