character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,1,16.65%*2,0.333
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,2,18.02%*2,0.3604
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,3,19.39%*2,0.3878
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,4,21.30%*2,0.426
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,5,22.66%*2,0.4532
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,6,24.23%*2,0.4846
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,7,26.42%*2,0.5284
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,8,28.60%*2,0.572
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,9,30.79%*2,0.6158
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,10,33.11%*2,0.6622
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,11,35.84%*2,0.7168
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,12,38.57%*2,0.7714
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,13,41.30%*2,0.826
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,14,44.03%*2,0.8806
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,15,46.76%*2,0.9352
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,16,49.49%*2,0.9898
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,17,52.22%*2,1.0444
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,18,54.95%*2,1.099
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,19,57.68%*2,1.1536
Xiangli Yao,Probe,Normal Attack,Stage 1 DMG,20,60.41%*2,1.2082
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,1,50.10%,0.501
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,2,54.21%,0.5421
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,3,58.32%,0.5832
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,4,64.07%,0.6407
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,5,68.18%,0.6818
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,6,72.91%,0.7291
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,7,79.48%,0.7948
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,8,86.05%,0.8605
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,9,92.62%,0.9262
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,10,99.61%,0.9961
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,11,107.83%,1.0783
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,12,116.04%,1.1604
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,13,124.26%,1.2426
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,14,132.47%,1.3247
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,15,140.69%,1.4069
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,16,148.91%,1.4891
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,17,157.12%,1.5712
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,18,165.34%,1.6534
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,19,173.56%,1.7356
Xiangli Yao,Probe,Normal Attack,Stage 2 DMG,20,181.77%,1.8177
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,1,20.00%*3,0.6
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,2,21.64%*3,0.6492
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,3,23.28%*3,0.6984
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,4,25.58%*3,0.7674
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,5,27.22%*3,0.8166
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,6,29.10%*3,0.873
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,7,31.73%*3,0.9519
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,8,34.35%*3,1.0305
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,9,36.98%*3,1.1094
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,10,39.76%*3,1.1928
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,11,43.04%*3,1.2912
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,12,46.32%*3,1.3896
Xiangli Yao,Probe,Normal Attack,Stage 3 DMG,13,49.60%*3,1.488
