character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,1,22.50%,0.225,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,2,24.34%,0.2434,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,3,26.18%,0.2618,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,4,28.77%,0.2877,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,5,30.61%,0.3061,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,6,32.73%,0.3273,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,7,35.69%,0.3569,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,8,38.64%,0.3864,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,9,41.59%,0.4159,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,10,44.73%,0.4473,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,11,48.42%,0.4842,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,12,52.11%,0.5211,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,13,55.80%,0.558,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,14,59.49%,0.5949,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,15,63.18%,0.6318,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,16,66.87%,0.6687,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,17,70.56%,0.7056,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,18,74.25%,0.7425,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,19,77.94%,0.7794,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 1 DMG,20,81.63%,0.8163,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,1,30.00%,0.3,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,2,32.46%,0.3246,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,3,34.92%,0.3492,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,4,38.36%,0.3836,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,5,40.82%,0.4082,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,6,43.65%,0.4365,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,7,47.58%,0.4758,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,8,51.52%,0.5152,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,9,55.46%,0.5546,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,10,59.64%,0.5964,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,11,64.56%,0.6456,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,12,69.48%,0.6948,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,13,74.40%,0.744,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,14,79.32%,0.7932,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,15,84.24%,0.8424,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,16,89.16%,0.8916,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,17,94.08%,0.9408,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,18,99.00%,0.99,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,19,103.92%,1.0392,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 2 DMG,20,108.84%,1.0884,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,1,23.55%*2,0.471,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,2,25.48%*2,0.5096,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,3,27.41%*2,0.5482,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,4,30.11%*2,0.6022,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,5,32.04%*2,0.6408,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,6,34.26%*2,0.6852,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,7,37.35%*2,0.747,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,8,40.44%*2,0.8088,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,9,43.53%*2,0.8706,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,10,46.81%*2,0.9362,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,11,50.68%*2,1.0136,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,12,54.54%*2,1.0908,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,13,58.40%*2,1.168,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,14,62.26%*2,1.2452,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,15,66.13%*2,1.3226,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,16,69.99%*2,1.3998,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,17,73.85%*2,1.477,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,18,77.71%*2,1.5542,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,19,81.57%*2,1.6314,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 3 DMG,20,85.44%*2,1.7088,"[""Basic Attack Damage""]"
Yangyang,Feather as Blade,Normal Attack,Stage 4 DMG,1,29.86%*2+39.81%,0.9953,"[""Basic Attack Damage""]"
