character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,1,14.49%,0.1449
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,2,15.68%,0.1568
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,3,16.87%,0.1687
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,4,18.53%,0.1853
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,5,19.72%,0.1972
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,6,21.09%,0.2109
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,7,22.99%,0.2299
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,8,24.89%,0.2489
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,9,26.79%,0.2679
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,10,28.81%,0.2881
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,11,31.19%,0.3119
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,12,33.57%,0.3357
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,13,35.94%,0.3594
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,14,38.32%,0.3832
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,15,40.69%,0.4069
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,16,43.07%,0.4307
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,17,45.45%,0.4545
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,18,47.82%,0.4782
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,19,50.2%,0.502
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,20,52.58%,0.5258
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,1,17.01%*2,0.3402
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,2,18.41%*2,0.3682
