character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,1,14.49%,0.1449,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,2,15.68%,0.1568,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,3,16.87%,0.1687,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,4,18.53%,0.1853,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,5,19.72%,0.1972,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,6,21.09%,0.2109,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,7,22.99%,0.2299,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,8,24.89%,0.2489,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,9,26.79%,0.2679,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,10,28.81%,0.2881,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,11,31.19%,0.3119,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,12,33.57%,0.3357,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,13,35.94%,0.3594,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,14,38.32%,0.3832,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,15,40.69%,0.4069,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,16,43.07%,0.4307,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,17,45.45%,0.4545,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,18,47.82%,0.4782,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,19,50.2%,0.502,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 1 DMG,20,52.58%,0.5258,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,1,17.01%*2,0.3402,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,2,18.41%*2,0.3682,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,3,19.8%*2,0.396,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,4,21.76%*2,0.4352,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,5,23.15%*2,0.463,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,6,24.76%*2,0.4952,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,7,26.99%*2,0.5398,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,8,29.22%*2,0.5844,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,9,31.45%*2,0.629,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,10,33.82%*2,0.6764,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,11,36.61%*2,0.7322,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,12,39.4%*2,0.788,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,13,42.19%*2,0.8438,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,14,44.98%*2,0.8996,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,15,47.77%*2,0.9554,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,16,50.56%*2,1.0112,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,17,53.35%*2,1.067,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,18,56.14%*2,1.1228,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,19,58.93%*2,1.1786,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 2 DMG,20,61.72%*2,1.2344,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,1,7.04%*7,0.4928,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,2,7.62%*7,0.5334,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,3,8.19%*7,0.5733,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,4,9%*7,0.63,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,5,9.58%*7,0.6706,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,6,10.24%*7,0.7168,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,7,11.16%*7,0.7812,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,8,12.09%*7,0.8463,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,9,13.01%*7,0.9107,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,10,13.99%*7,0.9793,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,11,15.15%*7,1.0605,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,12,16.3%*7,1.141,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,13,17.45%*7,1.2215,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,14,18.61%*7,1.3027,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,15,19.76%*7,1.3832,"[""Basic Attack Damage""]"
Yinlin,Zapstring's Dance,Normal Attack,Stage 3 DMG,16,20.91%*7,1.4637,"[""Basic Attack Damage""]"
