character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,1,23.83%,0.2383,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,2,25.79%,0.2579,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,3,27.74%,0.2774,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,4,30.48%,0.3048,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,5,32.43%,0.3243,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,6,34.68%,0.3468,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,7,37.80%,0.378,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,8,40.93%,0.4093,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,9,44.05%,0.4405,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,10,47.38%,0.4738,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,11,51.28%,0.5128,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,12,55.19%,0.5519,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,13,59.10%,0.591,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,14,63.01%,0.6301,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,15,66.91%,0.6691,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,16,70.82%,0.7082,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,17,74.73%,0.7473,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,18,78.64%,0.7864,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,19,82.55%,0.8255,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 1 DMG,20,86.45%,0.8645,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,1,16.05%+29.81%,0.4586,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,2,17.37%+32.25%,0.4962,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,3,18.69%+34.70%,0.5339,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,4,20.53%+38.12%,0.5865,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,5,21.84%+40.56%,0.624,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,6,23.36%+43.37%,0.6673,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,7,25.46%+47.28%,0.7274,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,8,27.57%+51.19%,0.7876,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,9,29.67%+55.10%,0.8477,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,10,31.91%+59.26%,0.9117,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,11,34.54%+64.15%,0.9869,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,12,37.18%+69.04%,1.0622,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,13,39.81%+73.92%,1.1373,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,14,42.44%+78.81%,1.2125,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,15,45.07%+83.70%,1.2877,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,16,47.70%+88.59%,1.3629,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,17,50.34%+93.48%,1.4382,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,18,52.97%+98.36%,1.5133,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,19,55.60%+103.25%,1.5885,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 2 DMG,20,58.23%+108.14%,1.6637,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 3 DMG,1,19.15%+23.40%,0.4255,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 3 DMG,2,20.72%+25.32%,0.4604,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 3 DMG,3,22.29%+27.24%,0.4953,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 3 DMG,4,24.49%+29.93%,0.5442,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 3 DMG,5,26.06%+31.84%,0.579,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 3 DMG,6,27.86%+34.05%,0.6191,"[""Basic Attack Damage""]"
Youhu,Frosty Punches,Normal Attack,Stage 3 DMG,7,30.37%+37.12%,0.6749,"[""Basic Attack Damage""]"
