character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,1,29.60%,0.296,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,2,32.03%,0.3203,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,3,34.46%,0.3446,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,4,37.86%,0.3786,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,5,40.28%,0.4028,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,6,43.08%,0.4308,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,7,46.96%,0.4696,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,8,50.84%,0.5084,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,9,54.73%,0.5473,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,10,58.85%,0.5885,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,11,63.71%,0.6371,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,12,68.56%,0.6856,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,13,73.42%,0.7342,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,14,78.27%,0.7827,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,15,83.12%,0.8312,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,16,87.98%,0.8798,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,17,92.83%,0.9283,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,18,97.69%,0.9769,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,19,102.54%,1.0254,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 1 DMG,20,107.40%,1.074,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,1,40.00%,0.4,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,2,43.28%,0.4328,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,3,46.56%,0.4656,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,4,51.16%,0.5116,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,5,54.44%,0.5444,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,6,58.21%,0.5821,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,7,63.46%,0.6346,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,8,68.70%,0.687,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,9,73.95%,0.7395,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,10,79.53%,0.7953,"[""Basic Attack Damage""]"
Zani,Routine Negotiation,Normal Attack,Stage 2 DMG,11,86.09%,0.8609,"[""Basic Attack Damage""]"
