character_id,skill_name,skill_type,attack_name,level,raw_value,total_motion_value,damage_type
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,1,21.00%*2,0.42,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,2,22.73%*2,0.4546,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,3,24.45%*2,0.489,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,4,26.86%*2,0.5372,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,5,28.58%*2,0.5716,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,6,30.56%*2,0.6112,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,7,33.32%*2,0.6664,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,8,36.07%*2,0.7214,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,9,38.83%*2,0.7766,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,10,41.76%*2,0.8352,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,11,45.20%*2,0.904,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,12,48.64%*2,0.9728,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,13,52.09%*2,1.0418,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,14,55.53%*2,1.1106,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,15,58.98%*2,1.1796,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,16,62.42%*2,1.2484,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,17,65.86%*2,1.3172,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,18,69.31%*2,1.3862,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 1 DMG,19,72.75%*2,1.455,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,1,10.34%*5,0.517,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,2,11.18%*5,0.559,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,3,12.03%*5,0.6015,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,4,13.22%*5,0.661,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,5,14.06%*5,0.703,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,6,15.04%*5,0.752,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,7,16.39%*5,0.8195,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,8,17.75%*5,0.8875,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,9,19.11%*5,0.9555,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,10,20.55%*5,1.0275,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,11,22.24%*5,1.112,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,12,23.93%*5,1.1965,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,13,25.63%*5,1.2815,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,14,27.32%*5,1.366,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,15,29.02%*5,1.451,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,16,30.71%*5,1.5355,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,17,32.41%*5,1.6205,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,18,34.10%*5,1.705,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 2 DMG,19,35.80%*5,1.79,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,1,67.20%,0.672,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,2,72.72%,0.7272,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,3,78.23%,0.7823,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,4,85.94%,0.8594,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,5,91.45%,0.9145,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,6,97.79%,0.9779,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,7,106.60%,1.066,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,8,115.42%,1.1542,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,9,124.24%,1.2424,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,10,133.61%,1.3361,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,11,144.63%,1.4463,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,12,155.65%,1.5565,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,13,166.67%,1.6667,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,14,177.69%,1.7769,"[""Basic Attack Damage""]"
Zhezhi,Dimming Brush,Normal Attack,Stage 3 DMG,15,188.71%,1.8871,"[""Basic Attack Damage""]"
