Name,Ascension,Level,Hp,Atk,Def
Aalto,0,1,788.0,21.0,88.0
Aalto,0,2,854.3496,22.7682,95.2424
Aalto,0,3,920.778,24.5385,102.4936
Aalto,0,4,987.2064,26.3088,109.7448
Aalto,0,5,1053.556,28.077,116.996
Aalto,0,6,1119.9844,29.8473,124.2472
Aalto,0,7,1186.4128,31.6176,131.4984
Aalto,0,8,1252.7624,33.3858,138.7496
Aalto,0,9,1319.1908,35.1561,146.0008
Aalto,0,10,1385.6192,36.9264,153.252
Aalto,0,11,1451.9688,38.6946,160.5032
Aalto,0,12,1518.3972,40.4649,167.7544
Aalto,0,13,1584.8256,42.2352,175.0056
Aalto,0,14,1651.254,44.0055,182.2568
Aalto,0,15,1717.6036,45.7737,189.508
Aalto,0,16,1784.032,47.544,196.7592
Aalto,0,17,1850.4604,49.3143,204.0104
Aalto,0,18,1916.81,51.0825,211.2616
Aalto,0,19,1983.2384,52.8528,218.5128
Aalto,0,20,2049.6668,54.6231,225.764
Aalto,1,20,2574.9476,70.3731,282.7968
Aalto,1,21,2641.376,72.1413,290.048
Aalto,1,22,2707.8044,73.9116,297.2992
Aalto,1,23,2774.154,75.6819,304.5504
Aalto,1,24,2840.5824,77.4522,311.8016
Aalto,1,25,2907.0108,79.2204,319.0528
Aalto,1,26,2973.4392,80.9907,326.304
Aalto,1,27,3039.7888,82.761,333.5552
Aalto,1,28,3106.2172,84.5292,340.8064
Aalto,1,29,3172.6456,86.2995,348.0576
Aalto,1,30,3238.9952,88.0698,355.3088
Aalto,1,31,3305.4236,89.838,362.56
Aalto,1,32,3371.852,91.6083,369.8112
Aalto,1,33,3438.2016,93.3786,377.0624
Aalto,1,34,3504.63,95.1468,384.3136
Aalto,1,35,3571.0584,96.9171,391.5648
Aalto,1,36,3637.4868,98.6874,398.816
Aalto,1,37,3703.8364,100.4577,406.0672
Aalto,1,38,3770.2648,102.2259,413.3184
Aalto,1,39,3836.6932,103.9962,420.5696
Aalto,1,40,3903.0428,105.7665,427.8208
Aalto,2,40,4428.4024,121.5165,484.8536
Aalto,2,41,4494.8308,123.2847,492.1048
Aalto,2,42,4561.1804,125.055,499.356
Aalto,2,43,4627.6088,126.8253,506.6072
Aalto,2,44,4694.0372,128.5935,513.8584
Aalto,2,45,4760.3868,130.3638,521.1096
Aalto,2,46,4826.8152,132.1341,528.3608
Aalto,2,47,4893.2436,133.9044,535.612
Aalto,2,48,4959.672,135.6726,542.8632
Aalto,2,49,5026.0216,137.4429,550.1144
Aalto,2,50,5092.45,139.2132,557.3656
Aalto,3,50,5617.8096,154.9632,614.3984
Aalto,3,51,5684.1592,156.7314,621.6496
Aalto,3,52,5750.5876,158.5017,628.9008
Aalto,3,53,5817.016,160.272,636.152
Aalto,3,54,5883.3656,162.0402,643.4032
Aalto,3,55,5949.794,163.8105,650.6544
Aalto,3,56,6016.2224,165.5808,657.9056
Aalto,3,57,6082.6508,167.3511,665.1568
Aalto,3,58,6149.0004,169.1193,672.408
Aalto,3,59,6215.4288,170.8896,679.6592
Aalto,3,60,6281.8572,172.6599,686.9104
Aalto,4,60,6807.138,188.4099,743.952
Aalto,4,61,6873.5664,190.1781,751.2032
Aalto,4,62,6939.9948,191.9484,758.4544
Aalto,4,63,7006.3444,193.7187,765.7056
Aalto,4,64,7072.7728,195.4869,772.9568
Aalto,4,65,7139.2012,197.2572,780.208
Aalto,4,66,7205.5508,199.0275,787.4504
Aalto,4,67,7271.9792,200.7957,794.7016
Aalto,4,68,7338.4076,202.566,801.9528
Aalto,4,69,7404.836,204.3363,809.204
Aalto,4,70,7471.1856,206.1066,816.4552
Aalto,5,70,7996.5452,216.6066,873.4968
Aalto,5,71,8062.9736,218.3748,880.748
Aalto,5,72,8129.3232,220.1451,887.9992
Aalto,5,73,8195.7516,221.9154,895.2504
Aalto,5,74,8262.18,223.6836,902.5016
Aalto,5,75,8328.5296,225.4539,909.7528
Aalto,5,76,8394.958,227.2242,917.004
Aalto,5,77,8461.3864,228.9924,924.2552
Aalto,5,78,8527.736,230.7627,931.5064
Aalto,5,79,8594.1644,232.533,938.7576
Aalto,5,80,8660.5928,234.3033,946.0088
Aalto,6,80,9185.9524,244.8033,1003.0416
Aalto,6,81,9252.302,246.5715,1010.2928
Aalto,6,82,9318.7304,248.3418,1017.544
Aalto,6,83,9385.1588,250.1121,1024.7952
Aalto,6,84,9451.5084,251.8803,1032.0464
Aalto,6,85,9517.9368,253.6506,1039.2976
Aalto,6,86,9584.3652,255.4209,1046.5488
Aalto,6,87,9650.7148,257.1891,1053.8
Aalto,6,88,9717.1432,258.9594,1061.0512
Aalto,6,89,9783.5716,260.7297,1068.3024
Aalto,6,90,9850.0,262.5,1075.5536
