name,ascension,level,hp,atk,def
Baizhi,0,1,1025.0,17.0,82.0
Baizhi,0,2,1111.305,18.4314,88.7486
Baizhi,0,3,1197.7125,19.8645,95.5054
Baizhi,0,4,1284.12,21.2976,102.2622
Baizhi,0,5,1370.425,22.729,109.019
Baizhi,0,6,1456.8325,24.1621,115.7758
Baizhi,0,7,1543.24,25.5952,122.5326
Baizhi,0,8,1629.545,27.0266,129.2894
Baizhi,0,9,1715.9525,28.4597,136.0462
Baizhi,0,10,1802.36,29.8928,142.803
Baizhi,0,11,1888.665,31.3242,149.5598
Baizhi,0,12,1975.0725,32.7573,156.3166
Baizhi,0,13,2061.48,34.1904,163.0734
Baizhi,0,14,2147.8875,35.6235,169.8302
Baizhi,0,15,2234.1925,37.0549,176.587
Baizhi,0,16,2320.6,38.488,183.3438
Baizhi,0,17,2407.0075,39.9211,190.1006
Baizhi,0,18,2493.3125,41.3525,196.8574
Baizhi,0,19,2579.72,42.7856,203.6142
Baizhi,0,20,2666.1275,44.2187,210.371
Baizhi,1,20,3349.3925,56.9687,263.5152
Baizhi,1,21,3435.8,58.4001,270.272
Baizhi,1,22,3522.2075,59.8332,277.0288
Baizhi,1,23,3608.5125,61.2663,283.7856
Baizhi,1,24,3694.92,62.6994,290.5424
Baizhi,1,25,3781.3275,64.1308,297.2992
Baizhi,1,26,3867.735,65.5639,304.056
Baizhi,1,27,3954.04,66.997,310.8128
Baizhi,1,28,4040.4475,68.4284,317.5696
Baizhi,1,29,4126.855,69.8615,324.3264
Baizhi,1,30,4213.16,71.2946,331.0832
Baizhi,1,31,4299.5675,72.726,337.84
Baizhi,1,32,4385.975,74.1591,344.5968
Baizhi,1,33,4472.28,75.5922,351.3536
Baizhi,1,34,4558.6875,77.0236,358.1104
Baizhi,1,35,4645.095,78.4567,364.8672
Baizhi,1,36,4731.5025,79.8898,371.624
Baizhi,1,37,4817.8075,81.3229,378.3808
Baizhi,1,38,4904.215,82.7543,385.1376
Baizhi,1,39,4990.6225,84.1874,391.8944
Baizhi,1,40,5076.9275,85.6205,398.6512
Baizhi,2,40,5760.295,98.3705,451.7954
Baizhi,2,41,5846.7025,99.8019,458.5522
Baizhi,2,42,5933.0075,101.235,465.309
Baizhi,2,43,6019.415,102.6681,472.0658
Baizhi,2,44,6105.8225,104.0995,478.8226
Baizhi,2,45,6192.1275,105.5326,485.5794
Baizhi,2,46,6278.535,106.9657,492.3362
Baizhi,2,47,6364.9425,108.3988,499.093
Baizhi,2,48,6451.35,109.8302,505.8498
Baizhi,2,49,6537.655,111.2633,512.6066
Baizhi,2,50,6624.0625,112.6964,519.3634
Baizhi,3,50,7307.43,125.4464,572.5076
Baizhi,3,51,7393.735,126.8778,579.2644
Baizhi,3,52,7480.1425,128.3109,586.0212
Baizhi,3,53,7566.55,129.744,592.778
Baizhi,3,54,7652.855,131.1754,599.5348
Baizhi,3,55,7739.2625,132.6085,606.2916
Baizhi,3,56,7825.67,134.0416,613.0484
Baizhi,3,57,7912.0775,135.4747,619.8052
Baizhi,3,58,7998.3825,136.9061,626.562
Baizhi,3,59,8084.79,138.3392,633.3188
Baizhi,3,60,8171.1975,139.7723,640.0756
Baizhi,4,60,8854.4625,152.5223,693.228
Baizhi,4,61,8940.87,153.9537,699.9848
Baizhi,4,62,9027.2775,155.3868,706.7416
Baizhi,4,63,9113.5825,156.8199,713.4984
Baizhi,4,64,9199.99,158.2513,720.2552
Baizhi,4,65,9286.3975,159.6844,727.012
Baizhi,4,66,9372.7025,161.1175,733.7606
Baizhi,4,67,9459.11,162.5489,740.5174
Baizhi,4,68,9545.5175,163.982,747.2742
Baizhi,4,69,9631.925,165.4151,754.031
Baizhi,4,70,9718.23,166.8482,760.7878
Baizhi,5,70,10401.5975,175.3482,813.9402
Baizhi,5,71,10488.005,176.7796,820.697
Baizhi,5,72,10574.31,178.2127,827.4538
Baizhi,5,73,10660.7175,179.6458,834.2106
Baizhi,5,74,10747.125,181.0772,840.9674
Baizhi,5,75,10833.43,182.5103,847.7242
Baizhi,5,76,10919.8375,183.9434,854.481
Baizhi,5,77,11006.245,185.3748,861.2378
Baizhi,5,78,11092.55,186.8079,867.9946
Baizhi,5,79,11178.9575,188.241,874.7514
Baizhi,5,80,11265.365,189.6741,881.5082
Baizhi,6,80,11948.7325,198.1741,934.6524
Baizhi,6,81,12035.0375,199.6055,941.4092
Baizhi,6,82,12121.445,201.0386,948.166
Baizhi,6,83,12207.8525,202.4717,954.9228
Baizhi,6,84,12294.1575,203.9031,961.6796
Baizhi,6,85,12380.565,205.3362,968.4364
Baizhi,6,86,12466.9725,206.7693,975.1932
Baizhi,6,87,12553.2775,208.2007,981.95
Baizhi,6,88,12639.685,209.6338,988.7068
Baizhi,6,89,12726.0925,211.0669,995.4636
Baizhi,6,90,12812.5,212.5,1002.2204
