name,ascension,level,hp,atk,def
Brant,0,1,934.0,30.0,107.0
Brant,0,2,1012.6428,32.526,115.8061
Brant,0,3,1091.379,35.055,124.6229
Brant,0,4,1170.1152,37.584,133.4397
Brant,0,5,1248.758,40.11,142.2565
Brant,0,6,1327.4942,42.639,151.0733
Brant,0,7,1406.2304,45.168,159.8901
Brant,0,8,1484.8732,47.694,168.7069
Brant,0,9,1563.6094,50.223,177.5237
Brant,0,10,1642.3456,52.752,186.3405
Brant,0,11,1720.9884,55.278,195.1573
Brant,0,12,1799.7246,57.807,203.9741
Brant,0,13,1878.4608,60.336,212.7909
Brant,0,14,1957.197,62.865,221.6077
Brant,0,15,2035.8398,65.391,230.4245
Brant,0,16,2114.576,67.92,239.2413
Brant,0,17,2193.3122,70.449,248.0581
Brant,0,18,2271.955,72.975,256.8749
Brant,0,19,2350.6912,75.504,265.6917
Brant,0,20,2429.4274,78.033,274.5085
Brant,1,20,3052.0318,100.533,343.8552
Brant,1,21,3130.768,103.059,352.672
Brant,1,22,3209.5042,105.588,361.4888
Brant,1,23,3288.147,108.117,370.3056
Brant,1,24,3366.8832,110.646,379.1224
Brant,1,25,3445.6194,113.172,387.9392
Brant,1,26,3524.3556,115.701,396.756
Brant,1,27,3602.9984,118.23,405.5728
Brant,1,28,3681.7346,120.756,414.3896
Brant,1,29,3760.4708,123.285,423.2064
Brant,1,30,3839.1136,125.814,432.0232
Brant,1,31,3917.8498,128.34,440.84
Brant,1,32,3996.586,130.869,449.6568
Brant,1,33,4075.2288,133.398,458.4736
Brant,1,34,4153.965,135.924,467.2904
Brant,1,35,4232.7012,138.453,476.1072
Brant,1,36,4311.4374,140.982,484.924
Brant,1,37,4390.0802,143.511,493.7408
Brant,1,38,4468.8164,146.037,502.5576
Brant,1,39,4547.5526,148.566,511.3744
Brant,1,40,4626.1954,151.095,520.1912
Brant,2,40,5248.8932,173.595,589.5379
Brant,2,41,5327.6294,176.121,598.3547
Brant,2,42,5406.2722,178.65,607.1715
Brant,2,43,5485.0084,181.179,615.9883
Brant,2,44,5563.7446,183.705,624.8051
Brant,2,45,5642.3874,186.234,633.6219
Brant,2,46,5721.1236,188.763,642.4387
Brant,2,47,5799.8598,191.292,651.2555
Brant,2,48,5878.596,193.818,660.0723
Brant,2,49,5957.2388,196.347,668.8891
Brant,2,50,6035.975,198.876,677.7059
Brant,3,50,6658.6728,221.376,747.0526
Brant,3,51,6737.3156,223.902,755.8694
Brant,3,52,6816.0518,226.431,764.6862
Brant,3,53,6894.788,228.96,773.503
Brant,3,54,6973.4308,231.486,782.3198
Brant,3,55,7052.167,234.015,791.1366
Brant,3,56,7130.9032,236.544,799.9534
Brant,3,57,7209.6394,239.073,808.7702
Brant,3,58,7288.2822,241.599,817.587
Brant,3,59,7367.0184,244.128,826.4038
Brant,3,60,7445.7546,246.657,835.2206
Brant,4,60,8068.359,269.157,904.578
Brant,4,61,8147.0952,271.683,913.3948
Brant,4,62,8225.8314,274.212,922.2116
Brant,4,63,8304.4742,276.741,931.0284
Brant,4,64,8383.2104,279.267,939.8452
Brant,4,65,8461.9466,281.796,948.662
Brant,4,66,8540.5894,284.325,957.4681
Brant,4,67,8619.3256,286.851,966.2849
Brant,4,68,8698.0618,289.38,975.1017
Brant,4,69,8776.798,291.909,983.9185
Brant,4,70,8855.4408,294.438,992.7353
Brant,5,70,9478.1386,309.438,1062.0927
Brant,5,71,9556.8748,311.964,1070.9095
Brant,5,72,9635.5176,314.493,1079.7263
Brant,5,73,9714.2538,317.022,1088.5431
Brant,5,74,9792.99,319.548,1097.3599
Brant,5,75,9871.6328,322.077,1106.1767
Brant,5,76,9950.369,324.606,1114.9935
Brant,5,77,10029.1052,327.132,1123.8103
Brant,5,78,10107.748,329.661,1132.6271
Brant,5,79,10186.4842,332.19,1141.4439
Brant,5,80,10265.2204,334.719,1150.2607
Brant,6,80,10887.9182,349.719,1219.6074
Brant,6,81,10966.561,352.245,1228.4242
Brant,6,82,11045.2972,354.774,1237.241
Brant,6,83,11124.0334,357.303,1246.0578
Brant,6,84,11202.6762,359.829,1254.8746
Brant,6,85,11281.4124,362.358,1263.6914
Brant,6,86,11360.1486,364.887,1272.5082
Brant,6,87,11438.7914,367.413,1281.325
Brant,6,88,11517.5276,369.942,1290.1418
Brant,6,89,11596.2638,372.471,1298.9586
Brant,6,90,11675.0,375.0,1307.7754
