name,ascension,level,hp,atk,def
Camellya,0,1,826.0,36.0,95.0
Camellya,0,2,895.5492,39.0312,102.8185
Camellya,0,3,965.181,42.066,110.6465
Camellya,0,4,1034.8128,45.1008,118.4745
Camellya,0,5,1104.362,48.132,126.3025
Camellya,0,6,1173.9938,51.1668,134.1305
Camellya,0,7,1243.6256,54.2016,141.9585
Camellya,0,8,1313.1748,57.2328,149.7865
Camellya,0,9,1382.8066,60.2676,157.6145
Camellya,0,10,1452.4384,63.3024,165.4425
Camellya,0,11,1521.9876,66.3336,173.2705
Camellya,0,12,1591.6194,69.3684,181.0985
Camellya,0,13,1661.2512,72.4032,188.9265
Camellya,0,14,1730.883,75.438,196.7545
Camellya,0,15,1800.4322,78.4692,204.5825
Camellya,0,16,1870.064,81.504,212.4105
Camellya,0,17,1939.6958,84.5388,220.2385
Camellya,0,18,2009.245,87.57,228.0665
Camellya,0,19,2078.8768,90.6048,235.8945
Camellya,0,20,2148.5086,93.6396,243.7225
Camellya,1,20,2699.1202,120.6396,305.292
Camellya,1,21,2768.752,123.6708,313.12
Camellya,1,22,2838.3838,126.7056,320.948
Camellya,1,23,2907.933,129.7404,328.776
Camellya,1,24,2977.5648,132.7752,336.604
Camellya,1,25,3047.1966,135.8064,344.432
Camellya,1,26,3116.8284,138.8412,352.26
Camellya,1,27,3186.3776,141.876,360.088
Camellya,1,28,3256.0094,144.9072,367.916
Camellya,1,29,3325.6412,147.942,375.744
Camellya,1,30,3395.1904,150.9768,383.572
Camellya,1,31,3464.8222,154.008,391.4
Camellya,1,32,3534.454,157.0428,399.228
Camellya,1,33,3604.0032,160.0776,407.056
Camellya,1,34,3673.635,163.1088,414.884
Camellya,1,35,3743.2668,166.1436,422.712
Camellya,1,36,3812.8986,169.1784,430.54
Camellya,1,37,3882.4478,172.2132,438.368
Camellya,1,38,3952.0796,175.2444,446.196
Camellya,1,39,4021.7114,178.2792,454.024
Camellya,1,40,4091.2606,181.314,461.852
Camellya,2,40,4641.9548,208.314,523.4215
Camellya,2,41,4711.5866,211.3452,531.2495
Camellya,2,42,4781.1358,214.38,539.0775
Camellya,2,43,4850.7676,217.4148,546.9055
Camellya,2,44,4920.3994,220.446,554.7335
Camellya,2,45,4989.9486,223.4808,562.5615
Camellya,2,46,5059.5804,226.5156,570.3895
Camellya,2,47,5129.2122,229.5504,578.2175
Camellya,2,48,5198.844,232.5816,586.0455
Camellya,2,49,5268.3932,235.6164,593.8735
Camellya,2,50,5338.025,238.6512,601.7015
Camellya,3,50,5888.7192,265.6512,663.271
Camellya,3,51,5958.2684,268.6824,671.099
Camellya,3,52,6027.9002,271.7172,678.927
Camellya,3,53,6097.532,274.752,686.755
Camellya,3,54,6167.0812,277.7832,694.583
Camellya,3,55,6236.713,280.818,702.411
Camellya,3,56,6306.3448,283.8528,710.239
Camellya,3,57,6375.9766,286.8876,718.067
Camellya,3,58,6445.5258,289.9188,725.895
Camellya,3,59,6515.1576,292.9536,733.723
Camellya,3,60,6584.7894,295.9884,741.551
Camellya,4,60,7135.401,322.9884,803.13
Camellya,4,61,7205.0328,326.0196,810.958
Camellya,4,62,7274.6646,329.0544,818.786
Camellya,4,63,7344.2138,332.0892,826.614
Camellya,4,64,7413.8456,335.1204,834.442
Camellya,4,65,7483.4774,338.1552,842.27
Camellya,4,66,7553.0266,341.19,850.0885
Camellya,4,67,7622.6584,344.2212,857.9165
Camellya,4,68,7692.2902,347.256,865.7445
Camellya,4,69,7761.922,350.2908,873.5725
Camellya,4,70,7831.4712,353.3256,881.4005
Camellya,5,70,8382.1654,371.3256,942.9795
Camellya,5,71,8451.7972,374.3568,950.8075
Camellya,5,72,8521.3464,377.3916,958.6355
Camellya,5,73,8590.9782,380.4264,966.4635
Camellya,5,74,8660.61,383.4576,974.2915
Camellya,5,75,8730.1592,386.4924,982.1195
Camellya,5,76,8799.791,389.5272,989.9475
Camellya,5,77,8869.4228,392.5584,997.7755
Camellya,5,78,8938.972,395.5932,1005.6035
Camellya,5,79,9008.6038,398.628,1013.4315
Camellya,5,80,9078.2356,401.6628,1021.2595
Camellya,6,80,9628.9298,419.6628,1082.829
Camellya,6,81,9698.479,422.694,1090.657
Camellya,6,82,9768.1108,425.7288,1098.485
Camellya,6,83,9837.7426,428.7636,1106.313
Camellya,6,84,9907.2918,431.7948,1114.141
Camellya,6,85,9976.9236,434.8296,1121.969
Camellya,6,86,10046.5554,437.8644,1129.797
Camellya,6,87,10116.1046,440.8956,1137.625
Camellya,6,88,10185.7364,443.9304,1145.453
Camellya,6,89,10255.3682,446.9652,1153.281
Camellya,6,90,10325.0,450.0,1161.109
