name,ascension,level,hp,atk,def
Cantarella,0,1,928.0,32.0,90.0
Cantarella,0,2,1006.1376,34.6944,97.407
Cantarella,0,3,1084.368,37.392,104.823
Cantarella,0,4,1162.5984,40.0896,112.239
Cantarella,0,5,1240.736,42.784,119.655
Cantarella,0,6,1318.9664,45.4816,127.071
Cantarella,0,7,1397.1968,48.1792,134.487
Cantarella,0,8,1475.3344,50.8736,141.903
Cantarella,0,9,1553.5648,53.5712,149.319
Cantarella,0,10,1631.7952,56.2688,156.735
Cantarella,0,11,1709.9328,58.9632,164.151
Cantarella,0,12,1788.1632,61.6608,171.567
Cantarella,0,13,1866.3936,64.3584,178.983
Cantarella,0,14,1944.624,67.056,186.399
Cantarella,0,15,2022.7616,69.7504,193.815
Cantarella,0,16,2100.992,72.448,201.231
Cantarella,0,17,2179.2224,75.1456,208.647
Cantarella,0,18,2257.36,77.84,216.063
Cantarella,0,19,2335.5904,80.5376,223.479
Cantarella,0,20,2413.8208,83.2352,230.895
Cantarella,1,20,3032.4256,107.2352,289.224
Cantarella,1,21,3110.656,109.9296,296.64
Cantarella,1,22,3188.8864,112.6272,304.056
Cantarella,1,23,3267.024,115.3248,311.472
Cantarella,1,24,3345.2544,118.0224,318.888
Cantarella,1,25,3423.4848,120.7168,326.304
Cantarella,1,26,3501.7152,123.4144,333.72
Cantarella,1,27,3579.8528,126.112,341.136
Cantarella,1,28,3658.0832,128.8064,348.552
Cantarella,1,29,3736.3136,131.504,355.968
Cantarella,1,30,3814.4512,134.2016,363.384
Cantarella,1,31,3892.6816,136.896,370.8
Cantarella,1,32,3970.912,139.5936,378.216
Cantarella,1,33,4049.0496,142.2912,385.632
Cantarella,1,34,4127.28,144.9856,393.048
Cantarella,1,35,4205.5104,147.6832,400.464
Cantarella,1,36,4283.7408,150.3808,407.88
Cantarella,1,37,4361.8784,153.0784,415.296
Cantarella,1,38,4440.1088,155.7728,422.712
Cantarella,1,39,4518.3392,158.4704,430.128
Cantarella,1,40,4596.4768,161.168,437.544
Cantarella,2,40,5215.1744,185.168,495.873
Cantarella,2,41,5293.4048,187.8624,503.289
Cantarella,2,42,5371.5424,190.56,510.705
Cantarella,2,43,5449.7728,193.2576,518.121
Cantarella,2,44,5528.0032,195.952,525.537
Cantarella,2,45,5606.1408,198.6496,532.953
Cantarella,2,46,5684.3712,201.3472,540.369
Cantarella,2,47,5762.6016,204.0448,547.785
Cantarella,2,48,5840.832,206.7392,555.201
Cantarella,2,49,5918.9696,209.4368,562.617
Cantarella,2,50,5997.2,212.1344,570.033
Cantarella,3,50,6615.8976,236.1344,628.362
Cantarella,3,51,6694.0352,238.8288,635.778
Cantarella,3,52,6772.2656,241.5264,643.194
Cantarella,3,53,6850.496,244.224,650.61
Cantarella,3,54,6928.6336,246.9184,658.026
Cantarella,3,55,7006.864,249.616,665.442
Cantarella,3,56,7085.0944,252.3136,672.858
Cantarella,3,57,7163.3248,255.0112,680.274
Cantarella,3,58,7241.4624,257.7056,687.69
Cantarella,3,59,7319.6928,260.4032,695.106
Cantarella,3,60,7397.9232,263.1008,702.522
Cantarella,4,60,8016.528,287.1008,760.86
Cantarella,4,61,8094.7584,289.7952,768.276
Cantarella,4,62,8172.9888,292.4928,775.692
Cantarella,4,63,8251.1264,295.1904,783.108
Cantarella,4,64,8329.3568,297.8848,790.524
Cantarella,4,65,8407.5872,300.5824,797.94
Cantarella,4,66,8485.7248,303.28,805.347
Cantarella,4,67,8563.9552,305.9744,812.763
Cantarella,4,68,8642.1856,308.672,820.179
Cantarella,4,69,8720.416,311.3696,827.595
Cantarella,4,70,8798.5536,314.0672,835.011
Cantarella,5,70,9417.2512,330.0672,893.349
Cantarella,5,71,9495.4816,332.7616,900.765
Cantarella,5,72,9573.6192,335.4592,908.181
Cantarella,5,73,9651.8496,338.1568,915.597
Cantarella,5,74,9730.08,340.8512,923.013
Cantarella,5,75,9808.2176,343.5488,930.429
Cantarella,5,76,9886.448,346.2464,937.845
Cantarella,5,77,9964.6784,348.9408,945.261
Cantarella,5,78,10042.816,351.6384,952.677
Cantarella,5,79,10121.0464,354.336,960.093
Cantarella,5,80,10199.2768,357.0336,967.509
Cantarella,6,80,10817.9744,373.0336,1025.838
Cantarella,6,81,10896.112,375.728,1033.254
Cantarella,6,82,10974.3424,378.4256,1040.67
Cantarella,6,83,11052.5728,381.1232,1048.086
Cantarella,6,84,11130.7104,383.8176,1055.502
Cantarella,6,85,11208.9408,386.5152,1062.918
Cantarella,6,86,11287.1712,389.2128,1070.334
Cantarella,6,87,11365.3088,391.9072,1077.75
Cantarella,6,88,11443.5392,394.6048,1085.166
Cantarella,6,89,11521.7696,397.3024,1092.582
Cantarella,6,90,11600.0,400.0,1099.998
