name,ascension,level,hp,atk,def
Carlotta,0,1,996.0,37.0,98.0
Carlotta,0,2,1079.8632,40.1154,106.0654
Carlotta,0,3,1163.826,43.2345,114.1406
Carlotta,0,4,1247.7888,46.3536,122.2158
Carlotta,0,5,1331.652,49.469,130.291
Carlotta,0,6,1415.6148,52.5881,138.3662
Carlotta,0,7,1499.5776,55.7072,146.4414
Carlotta,0,8,1583.4408,58.8226,154.5166
Carlotta,0,9,1667.4036,61.9417,162.5918
Carlotta,0,10,1751.3664,65.0608,170.667
Carlotta,0,11,1835.2296,68.1762,178.7422
Carlotta,0,12,1919.1924,71.2953,186.8174
Carlotta,0,13,2003.1552,74.4144,194.8926
Carlotta,0,14,2087.118,77.5335,202.9678
Carlotta,0,15,2170.9812,80.6489,211.043
Carlotta,0,16,2254.944,83.768,219.1182
Carlotta,0,17,2338.9068,86.8871,227.1934
Carlotta,0,18,2422.77,90.0025,235.2686
Carlotta,0,19,2506.7328,93.1216,243.3438
Carlotta,0,20,2590.6956,96.2407,251.419
Carlotta,1,20,3254.6292,123.9907,314.9328
Carlotta,1,21,3338.592,127.1061,323.008
Carlotta,1,22,3422.5548,130.2252,331.0832
Carlotta,1,23,3506.418,133.3443,339.1584
Carlotta,1,24,3590.3808,136.4634,347.2336
Carlotta,1,25,3674.3436,139.5788,355.3088
Carlotta,1,26,3758.3064,142.6979,363.384
Carlotta,1,27,3842.1696,145.817,371.4592
Carlotta,1,28,3926.1324,148.9324,379.5344
Carlotta,1,29,4010.0952,152.0515,387.6096
Carlotta,1,30,4093.9584,155.1706,395.6848
Carlotta,1,31,4177.9212,158.286,403.76
Carlotta,1,32,4261.884,161.4051,411.8352
Carlotta,1,33,4345.7472,164.5242,419.9104
Carlotta,1,34,4429.71,167.6396,427.9856
Carlotta,1,35,4513.6728,170.7587,436.0608
Carlotta,1,36,4597.6356,173.8778,444.136
Carlotta,1,37,4681.4988,176.9969,452.2112
Carlotta,1,38,4765.4616,180.1123,460.2864
Carlotta,1,39,4849.4244,183.2314,468.3616
Carlotta,1,40,4933.2876,186.3505,476.4368
Carlotta,2,40,5597.3208,214.1005,539.9506
Carlotta,2,41,5681.2836,217.2159,548.0258
Carlotta,2,42,5765.1468,220.335,556.101
Carlotta,2,43,5849.1096,223.4541,564.1762
Carlotta,2,44,5933.0724,226.5695,572.2514
Carlotta,2,45,6016.9356,229.6886,580.3266
Carlotta,2,46,6100.8984,232.8077,588.4018
Carlotta,2,47,6184.8612,235.9268,596.477
Carlotta,2,48,6268.824,239.0422,604.5522
Carlotta,2,49,6352.6872,242.1613,612.6274
Carlotta,2,50,6436.65,245.2804,620.7026
Carlotta,3,50,7100.6832,273.0304,684.2164
Carlotta,3,51,7184.5464,276.1458,692.2916
Carlotta,3,52,7268.5092,279.2649,700.3668
Carlotta,3,53,7352.472,282.384,708.442
Carlotta,3,54,7436.3352,285.4994,716.5172
Carlotta,3,55,7520.298,288.6185,724.5924
Carlotta,3,56,7604.2608,291.7376,732.6676
Carlotta,3,57,7688.2236,294.8567,740.7428
Carlotta,3,58,7772.0868,297.9721,748.818
Carlotta,3,59,7856.0496,301.0912,756.8932
Carlotta,3,60,7940.0124,304.2103,764.9684
Carlotta,4,60,8603.946,331.9603,828.492
Carlotta,4,61,8687.9088,335.0757,836.5672
Carlotta,4,62,8771.8716,338.1948,844.6424
Carlotta,4,63,8855.7348,341.3139,852.7176
Carlotta,4,64,8939.6976,344.4293,860.7928
Carlotta,4,65,9023.6604,347.5484,868.868
Carlotta,4,66,9107.5236,350.6675,876.9334
Carlotta,4,67,9191.4864,353.7829,885.0086
Carlotta,4,68,9275.4492,356.902,893.0838
Carlotta,4,69,9359.412,360.0211,901.159
Carlotta,4,70,9443.2752,363.1402,909.2342
Carlotta,5,70,10107.3084,381.6402,972.7578
Carlotta,5,71,10191.2712,384.7556,980.833
Carlotta,5,72,10275.1344,387.8747,988.9082
Carlotta,5,73,10359.0972,390.9938,996.9834
Carlotta,5,74,10443.06,394.1092,1005.0586
Carlotta,5,75,10526.9232,397.2283,1013.1338
Carlotta,5,76,10610.886,400.3474,1021.209
Carlotta,5,77,10694.8488,403.4628,1029.2842
Carlotta,5,78,10778.712,406.5819,1037.3594
Carlotta,5,79,10862.6748,409.701,1045.4346
Carlotta,5,80,10946.6376,412.8201,1053.5098
Carlotta,6,80,11610.6708,431.3201,1117.0236
Carlotta,6,81,11694.534,434.4355,1125.0988
Carlotta,6,82,11778.4968,437.5546,1133.174
Carlotta,6,83,11862.4596,440.6737,1141.2492
Carlotta,6,84,11946.3228,443.7891,1149.3244
Carlotta,6,85,12030.2856,446.9082,1157.3996
Carlotta,6,86,12114.2484,450.0273,1165.4748
Carlotta,6,87,12198.1116,453.1427,1173.55
Carlotta,6,88,12282.0744,456.2618,1181.6252
Carlotta,6,89,12366.0372,459.3809,1189.7004
Carlotta,6,90,12450.0,462.5,1197.7756
