name,ascension,level,hp,atk,def
Cartethyia,0,1,1184.0,25.0,50.0
Cartethyia,0,2,1283.6928,27.105,54.115
Cartethyia,0,3,1383.504,29.2125,58.235
Cartethyia,0,4,1483.3152,31.32,62.355
Cartethyia,0,5,1583.008,33.425,66.475
Cartethyia,0,6,1682.8192,35.5325,70.595
Cartethyia,0,7,1782.6304,37.64,74.715
Cartethyia,0,8,1882.3232,39.745,78.835
Cartethyia,0,9,1982.1344,41.8525,82.955
Cartethyia,0,10,2081.9456,43.96,87.075
Cartethyia,0,11,2181.6384,46.065,91.195
Cartethyia,0,12,2281.4496,48.1725,95.315
Cartethyia,0,13,2381.2608,50.28,99.435
Cartethyia,0,14,2481.072,52.3875,103.555
Cartethyia,0,15,2580.7648,54.4925,107.675
Cartethyia,0,16,2680.576,56.6,111.795
Cartethyia,0,17,2780.3872,58.7075,115.915
Cartethyia,0,18,2880.08,60.8125,120.035
Cartethyia,0,19,2979.8912,62.92,124.155
Cartethyia,0,20,3079.7024,65.0275,128.275
Cartethyia,1,20,3868.9568,83.7775,160.68
Cartethyia,1,21,3968.768,85.8825,164.8
Cartethyia,1,22,4068.5792,87.99,168.92
Cartethyia,1,23,4168.272,90.0975,173.04
Cartethyia,1,24,4268.0832,92.205,177.16
Cartethyia,1,25,4367.8944,94.31,181.28
Cartethyia,1,26,4467.7056,96.4175,185.4
Cartethyia,1,27,4567.3984,98.525,189.52
Cartethyia,1,28,4667.2096,100.63,193.64
Cartethyia,1,29,4767.0208,102.7375,197.76
Cartethyia,1,30,4866.7136,104.845,201.88
Cartethyia,1,31,4966.5248,106.95,206.0
Cartethyia,1,32,5066.336,109.0575,210.12
Cartethyia,1,33,5166.0288,111.165,214.24
Cartethyia,1,34,5265.84,113.27,218.36
Cartethyia,1,35,5365.6512,115.3775,222.48
Cartethyia,1,36,5465.4624,117.485,226.6
Cartethyia,1,37,5565.1552,119.5925,230.72
Cartethyia,1,38,5664.9664,121.6975,234.84
Cartethyia,1,39,5764.7776,123.805,238.96
Cartethyia,1,40,5864.4704,125.9125,243.08
Cartethyia,2,40,6653.8432,144.6625,275.485
Cartethyia,2,41,6753.6544,146.7675,279.605
Cartethyia,2,42,6853.3472,148.875,283.725
Cartethyia,2,43,6953.1584,150.9825,287.845
Cartethyia,2,44,7052.9696,153.0875,291.965
Cartethyia,2,45,7152.6624,155.195,296.085
Cartethyia,2,46,7252.4736,157.3025,300.205
Cartethyia,2,47,7352.2848,159.41,304.325
Cartethyia,2,48,7452.096,161.515,308.445
Cartethyia,2,49,7551.7888,163.6225,312.565
Cartethyia,2,50,7651.6,165.73,316.685
Cartethyia,3,50,8440.9728,184.48,349.09
Cartethyia,3,51,8540.6656,186.585,353.21
Cartethyia,3,52,8640.4768,188.6925,357.33
Cartethyia,3,53,8740.288,190.8,361.45
Cartethyia,3,54,8839.9808,192.905,365.57
Cartethyia,3,55,8939.792,195.0125,369.69
Cartethyia,3,56,9039.6032,197.12,373.81
Cartethyia,3,57,9139.4144,199.2275,377.93
Cartethyia,3,58,9239.1072,201.3325,382.05
Cartethyia,3,59,9338.9184,203.44,386.17
Cartethyia,3,60,9438.7296,205.5475,390.29
Cartethyia,4,60,10227.984,224.2975,422.7
Cartethyia,4,61,10327.7952,226.4025,426.82
Cartethyia,4,62,10427.6064,228.51,430.94
Cartethyia,4,63,10527.2992,230.6175,435.06
Cartethyia,4,64,10627.1104,232.7225,439.18
Cartethyia,4,65,10726.9216,234.83,443.3
Cartethyia,4,66,10826.6144,236.9375,447.415
Cartethyia,4,67,10926.4256,239.0425,451.535
Cartethyia,4,68,11026.2368,241.15,455.655
Cartethyia,4,69,11126.048,243.2575,459.775
Cartethyia,4,70,11225.7408,245.365,463.895
Cartethyia,5,70,12015.1136,257.865,496.305
Cartethyia,5,71,12114.9248,259.97,500.425
Cartethyia,5,72,12214.6176,262.0775,504.545
Cartethyia,5,73,12314.4288,264.185,508.665
Cartethyia,5,74,12414.24,266.29,512.785
Cartethyia,5,75,12513.9328,268.3975,516.905
Cartethyia,5,76,12613.744,270.505,521.025
Cartethyia,5,77,12713.5552,272.61,525.145
Cartethyia,5,78,12813.248,274.7175,529.265
Cartethyia,5,79,12913.0592,276.825,533.385
Cartethyia,5,80,13012.8704,278.9325,537.505
Cartethyia,6,80,13802.2432,291.4325,569.91
Cartethyia,6,81,13901.936,293.5375,574.03
Cartethyia,6,82,14001.7472,295.645,578.15
Cartethyia,6,83,14101.5584,297.7525,582.27
Cartethyia,6,84,14201.2512,299.8575,586.39
Cartethyia,6,85,14301.0624,301.965,590.51
Cartethyia,6,86,14400.8736,304.0725,594.63
Cartethyia,6,87,14500.5664,306.1775,598.75
Cartethyia,6,88,14600.3776,308.285,602.87
Cartethyia,6,89,14700.1888,310.3925,606.99
Cartethyia,6,90,14800.0,312.5,611.11
