name,ascension,level,hp,atk,def
Changli,0,1,831.0,37.0,90.0
Changli,0,2,900.9702,40.1154,97.407
Changli,0,3,971.0235,43.2345,104.823
Changli,0,4,1041.0768,46.3536,112.239
Changli,0,5,1111.047,49.469,119.655
Changli,0,6,1181.1003,52.5881,127.071
Changli,0,7,1251.1536,55.7072,134.487
Changli,0,8,1321.1238,58.8226,141.903
Changli,0,9,1391.1771,61.9417,149.319
Changli,0,10,1461.2304,65.0608,156.735
Changli,0,11,1531.2006,68.1762,164.151
Changli,0,12,1601.2539,71.2953,171.567
Changli,0,13,1671.3072,74.4144,178.983
Changli,0,14,1741.3605,77.5335,186.399
Changli,0,15,1811.3307,80.6489,193.815
Changli,0,16,1881.384,83.768,201.231
Changli,0,17,1951.4373,86.8871,208.647
Changli,0,18,2021.4075,90.0025,216.063
Changli,0,19,2091.4608,93.1216,223.479
Changli,0,20,2161.5141,96.2407,230.895
Changli,1,20,2715.4587,123.9907,289.224
Changli,1,21,2785.512,127.1061,296.64
Changli,1,22,2855.5653,130.2252,304.056
Changli,1,23,2925.5355,133.3443,311.472
Changli,1,24,2995.5888,136.4634,318.888
Changli,1,25,3065.6421,139.5788,326.304
Changli,1,26,3135.6954,142.6979,333.72
Changli,1,27,3205.6656,145.817,341.136
Changli,1,28,3275.7189,148.9324,348.552
Changli,1,29,3345.7722,152.0515,355.968
Changli,1,30,3415.7424,155.1706,363.384
Changli,1,31,3485.7957,158.286,370.8
Changli,1,32,3555.849,161.4051,378.216
Changli,1,33,3625.8192,164.5242,385.632
Changli,1,34,3695.8725,167.6396,393.048
Changli,1,35,3765.9258,170.7587,400.464
Changli,1,36,3835.9791,173.8778,407.88
Changli,1,37,3905.9493,176.9969,415.296
Changli,1,38,3976.0026,180.1123,422.712
Changli,1,39,4046.0559,183.2314,430.128
Changli,1,40,4116.0261,186.3505,437.544
Changli,2,40,4670.0538,214.1005,495.873
Changli,2,41,4740.1071,217.2159,503.289
Changli,2,42,4810.0773,220.335,510.705
Changli,2,43,4880.1306,223.4541,518.121
Changli,2,44,4950.1839,226.5695,525.537
Changli,2,45,5020.1541,229.6886,532.953
Changli,2,46,5090.2074,232.8077,540.369
Changli,2,47,5160.2607,235.9268,547.785
Changli,2,48,5230.314,239.0422,555.201
Changli,2,49,5300.2842,242.1613,562.617
Changli,2,50,5370.3375,245.2804,570.033
Changli,3,50,5924.3652,273.0304,628.362
Changli,3,51,5994.3354,276.1458,635.778
Changli,3,52,6064.3887,279.2649,643.194
Changli,3,53,6134.442,282.384,650.61
Changli,3,54,6204.4122,285.4994,658.026
Changli,3,55,6274.4655,288.6185,665.442
Changli,3,56,6344.5188,291.7376,672.858
Changli,3,57,6414.5721,294.8567,680.274
Changli,3,58,6484.5423,297.9721,687.69
Changli,3,59,6554.5956,301.0912,695.106
Changli,3,60,6624.6489,304.2103,702.522
Changli,4,60,7178.5935,331.9603,760.86
Changli,4,61,7248.6468,335.0757,768.276
Changli,4,62,7318.7001,338.1948,775.692
Changli,4,63,7388.6703,341.3139,783.108
Changli,4,64,7458.7236,344.4293,790.524
Changli,4,65,7528.7769,347.5484,797.94
Changli,4,66,7598.7471,350.6675,805.347
Changli,4,67,7668.8004,353.7829,812.763
Changli,4,68,7738.8537,356.902,820.179
Changli,4,69,7808.907,360.0211,827.595
Changli,4,70,7878.8772,363.1402,835.011
Changli,5,70,8432.9049,381.6402,893.349
Changli,5,71,8502.9582,384.7556,900.765
Changli,5,72,8572.9284,387.8747,908.181
Changli,5,73,8642.9817,390.9938,915.597
Changli,5,74,8713.035,394.1092,923.013
Changli,5,75,8783.0052,397.2283,930.429
Changli,5,76,8853.0585,400.3474,937.845
Changli,5,77,8923.1118,403.4628,945.261
Changli,5,78,8993.082,406.5819,952.677
Changli,5,79,9063.1353,409.701,960.093
Changli,5,80,9133.1886,412.8201,967.509
Changli,6,80,9687.2163,431.3201,1025.838
Changli,6,81,9757.1865,434.4355,1033.254
Changli,6,82,9827.2398,437.5546,1040.67
Changli,6,83,9897.2931,440.6737,1048.086
Changli,6,84,9967.2633,443.7891,1055.502
Changli,6,85,10037.3166,446.9082,1062.918
Changli,6,86,10107.3699,450.0273,1070.334
Changli,6,87,10177.3401,453.1427,1077.75
Changli,6,88,10247.3934,456.2618,1085.166
Changli,6,89,10317.4467,459.3809,1092.582
Changli,6,90,10387.5,462.5,1099.998
