name,ascension,level,hp,atk,def
Aalto,0,1,788.0,21.0,88.0
Aalto,0,2,854.3496,22.7682,95.2424
Aalto,0,3,920.778,24.5385,102.4936
Aalto,0,4,987.2064,26.3088,109.7448
Aalto,0,5,1053.556,28.077,116.996
Aalto,0,6,1119.9844,29.8473,124.2472
Aalto,0,7,1186.4128,31.6176,131.4984
Aalto,0,8,1252.7624,33.3858,138.7496
Aalto,0,9,1319.1908,35.1561,146.0008
Aalto,0,10,1385.6192,36.9264,153.252
Aalto,0,11,1451.9688,38.6946,160.5032
Aalto,0,12,1518.3972,40.4649,167.7544
Aalto,0,13,1584.8256,42.2352,175.0056
Aalto,0,14,1651.254,44.0055,182.2568
Aalto,0,15,1717.6036,45.7737,189.508
Aalto,0,16,1784.032,47.544,196.7592
Aalto,0,17,1850.4604,49.3143,204.0104
Aalto,0,18,1916.81,51.0825,211.2616
Aalto,0,19,1983.2384,52.8528,218.5128
Aalto,0,20,2049.6668,54.6231,225.764
Aalto,1,20,2574.9476,70.3731,282.7968
Aalto,1,21,2641.376,72.1413,290.048
Aalto,1,22,2707.8044,73.9116,297.2992
Aalto,1,23,2774.154,75.6819,304.5504
Aalto,1,24,2840.5824,77.4522,311.8016
Aalto,1,25,2907.0108,79.2204,319.0528
Aalto,1,26,2973.4392,80.9907,326.304
Aalto,1,27,3039.7888,82.761,333.5552
Aalto,1,28,3106.2172,84.5292,340.8064
Aalto,1,29,3172.6456,86.2995,348.0576
Aalto,1,30,3238.9952,88.0698,355.3088
Aalto,1,31,3305.4236,89.838,362.56
Aalto,1,32,3371.852,91.6083,369.8112
Aalto,1,33,3438.2016,93.3786,377.0624
Aalto,1,34,3504.63,95.1468,384.3136
Aalto,1,35,3571.0584,96.9171,391.5648
Aalto,1,36,3637.4868,98.6874,398.816
Aalto,1,37,3703.8364,100.4577,406.0672
Aalto,1,38,3770.2648,102.2259,413.3184
Aalto,1,39,3836.6932,103.9962,420.5696
Aalto,1,40,3903.0428,105.7665,427.8208
Aalto,2,40,4428.4024,121.5165,484.8536
Aalto,2,41,4494.8308,123.2847,492.1048
