Name,Ascension,Level,Hp,Atk,Def
Chixia,0,1,727.0,24.0,78.0
Chixia,0,2,788.2134,26.0208,84.4194
Chixia,0,3,849.4995,28.044,90.8466
Chixia,0,4,910.7856,30.0672,97.2738
Chixia,0,5,971.999,32.088,103.701
Chixia,0,6,1033.2851,34.1112,110.1282
Chixia,0,7,1094.5712,36.1344,116.5554
Chixia,0,8,1155.7846,38.1552,122.9826
Chixia,0,9,1217.0707,40.1784,129.4098
Chixia,0,10,1278.3568,42.2016,135.837
Chixia,0,11,1339.5702,44.2224,142.2642
Chixia,0,12,1400.8563,46.2456,148.6914
Chixia,0,13,1462.1424,48.2688,155.1186
Chixia,0,14,1523.4285,50.292,161.5458
Chixia,0,15,1584.6419,52.3128,167.973
Chixia,0,16,1645.928,54.336,174.4002
Chixia,0,17,1707.2141,56.3592,180.8274
Chixia,0,18,1768.4275,58.38,187.2546
Chixia,0,19,1829.7136,60.4032,193.6818
Chixia,0,20,1890.9997,62.4264,200.109
Chixia,1,20,2375.6179,80.4264,250.6608
Chixia,1,21,2436.904,82.4472,257.088
Chixia,1,22,2498.1901,84.4704,263.5152
Chixia,1,23,2559.4035,86.4936,269.9424
Chixia,1,24,2620.6896,88.5168,276.3696
Chixia,1,25,2681.9757,90.5376,282.7968
Chixia,1,26,2743.2618,92.5608,289.224
Chixia,1,27,2804.4752,94.584,295.6512
Chixia,1,28,2865.7613,96.6048,302.0784
Chixia,1,29,2927.0474,98.628,308.5056
Chixia,1,30,2988.2608,100.6512,314.9328
Chixia,1,31,3049.5469,102.672,321.36
Chixia,1,32,3110.833,104.6952,327.7872
Chixia,1,33,3172.0464,106.7184,334.2144
Chixia,1,34,3233.3325,108.7392,340.6416
Chixia,1,35,3294.6186,110.7624,347.0688
Chixia,1,36,3355.9047,112.7856,353.496
Chixia,1,37,3417.1181,114.8088,359.9232
Chixia,1,38,3478.4042,116.8296,366.3504
Chixia,1,39,3539.6903,118.8528,372.7776
Chixia,1,40,3600.9037,120.876,379.2048
Chixia,2,40,4085.5946,138.876,429.7566
Chixia,2,41,4146.8807,140.8968,436.1838
Chixia,2,42,4208.0941,142.92,442.611
Chixia,2,43,4269.3802,144.9432,449.0382
Chixia,2,44,4330.6663,146.964,455.4654
Chixia,2,45,4391.8797,148.9872,461.8926
Chixia,2,46,4453.1658,151.0104,468.3198
Chixia,2,47,4514.4519,153.0336,474.747
Chixia,2,48,4575.738,155.0544,481.1742
Chixia,2,49,4636.9514,157.0776,487.6014
Chixia,2,50,4698.2375,159.1008,494.0286
Chixia,3,50,5182.9284,177.1008,544.5804
Chixia,3,51,5244.1418,179.1216,551.0076
Chixia,3,52,5305.4279,181.1448,557.4348
Chixia,3,53,5366.714,183.168,563.862
Chixia,3,54,5427.9274,185.1888,570.2892
Chixia,3,55,5489.2135,187.212,576.7164
Chixia,3,56,5550.4996,189.2352,583.1436
Chixia,3,57,5611.7857,191.2584,589.5708
Chixia,3,58,5672.9991,193.2792,595.998
Chixia,3,59,5734.2852,195.3024,602.4252
Chixia,3,60,5795.5713,197.3256,608.8524
Chixia,4,60,6280.1895,215.3256,659.412
Chixia,4,61,6341.4756,217.3464,665.8392
Chixia,4,62,6402.7617,219.3696,672.2664
Chixia,4,63,6463.9751,221.3928,678.6936
Chixia,4,64,6525.2612,223.4136,685.1208
Chixia,4,65,6586.5473,225.4368,691.548
Chixia,4,66,6647.7607,227.46,697.9674
Chixia,4,67,6709.0468,229.4808,704.3946
Chixia,4,68,6770.3329,231.504,710.8218
Chixia,4,69,6831.619,233.5272,717.249
Chixia,4,70,6892.8324,235.5504,723.6762
Chixia,5,70,7377.5233,247.5504,774.2358
Chixia,5,71,7438.8094,249.5712,780.663
Chixia,5,72,7500.0228,251.5944,787.0902
Chixia,5,73,7561.3089,253.6176,793.5174
Chixia,5,74,7622.595,255.6384,799.9446
Chixia,5,75,7683.8084,257.6616,806.3718
Chixia,5,76,7745.0945,259.6848,812.799
Chixia,5,77,7806.3806,261.7056,819.2262
Chixia,5,78,7867.594,263.7288,825.6534
Chixia,5,79,7928.8801,265.752,832.0806
Chixia,5,80,7990.1662,267.7752,838.5078
Chixia,6,80,8474.8571,279.7752,889.0596
Chixia,6,81,8536.0705,281.796,895.4868
Chixia,6,82,8597.3566,283.8192,901.914
Chixia,6,83,8658.6427,285.8424,908.3412
Chixia,6,84,8719.8561,287.8632,914.7684
Chixia,6,85,8781.1422,289.8864,921.1956
Chixia,6,86,8842.4283,291.9096,927.6228
Chixia,6,87,8903.6417,293.9304,934.05
Chixia,6,88,8964.9278,295.9536,940.4772
Chixia,6,89,9026.2139,297.9768,946.9044
Chixia,6,90,9087.5,300.0,953.3316
