Name,Ascension,Level,Hp,Atk,Def
Ciaccona,0,1,979.0,30.0,98.0
Ciaccona,0,2,1061.4318,32.526,106.0654
Ciaccona,0,3,1143.9615,35.055,114.1406
Ciaccona,0,4,1226.4912,37.584,122.2158
Ciaccona,0,5,1308.923,40.11,130.291
Ciaccona,0,6,1391.4527,42.639,138.3662
Ciaccona,0,7,1473.9824,45.168,146.4414
Ciaccona,0,8,1556.4142,47.694,154.5166
Ciaccona,0,9,1638.9439,50.223,162.5918
Ciaccona,0,10,1721.4736,52.752,170.667
Ciaccona,0,11,1803.9054,55.278,178.7422
Ciaccona,0,12,1886.4351,57.807,186.8174
Ciaccona,0,13,1968.9648,60.336,194.8926
Ciaccona,0,14,2051.4945,62.865,202.9678
Ciaccona,0,15,2133.9263,65.391,211.043
Ciaccona,0,16,2216.456,67.92,219.1182
Ciaccona,0,17,2298.9857,70.449,227.1934
Ciaccona,0,18,2381.4175,72.975,235.2686
Ciaccona,0,19,2463.9472,75.504,243.3438
Ciaccona,0,20,2546.4769,78.033,251.419
Ciaccona,1,20,3199.0783,100.533,314.9328
Ciaccona,1,21,3281.608,103.059,323.008
Ciaccona,1,22,3364.1377,105.588,331.0832
Ciaccona,1,23,3446.5695,108.117,339.1584
Ciaccona,1,24,3529.0992,110.646,347.2336
Ciaccona,1,25,3611.6289,113.172,355.3088
Ciaccona,1,26,3694.1586,115.701,363.384
Ciaccona,1,27,3776.5904,118.23,371.4592
Ciaccona,1,28,3859.1201,120.756,379.5344
Ciaccona,1,29,3941.6498,123.285,387.6096
Ciaccona,1,30,4024.0816,125.814,395.6848
Ciaccona,1,31,4106.6113,128.34,403.76
Ciaccona,1,32,4189.141,130.869,411.8352
Ciaccona,1,33,4271.5728,133.398,419.9104
Ciaccona,1,34,4354.1025,135.924,427.9856
Ciaccona,1,35,4436.6322,138.453,436.0608
Ciaccona,1,36,4519.1619,140.982,444.136
Ciaccona,1,37,4601.5937,143.511,452.2112
Ciaccona,1,38,4684.1234,146.037,460.2864
Ciaccona,1,39,4766.6531,148.566,468.3616
Ciaccona,1,40,4849.0849,151.095,476.4368
Ciaccona,2,40,5501.7842,173.595,539.9506
Ciaccona,2,41,5584.3139,176.121,548.0258
Ciaccona,2,42,5666.7457,178.65,556.101
Ciaccona,2,43,5749.2754,181.179,564.1762
Ciaccona,2,44,5831.8051,183.705,572.2514
Ciaccona,2,45,5914.2369,186.234,580.3266
Ciaccona,2,46,5996.7666,188.763,588.4018
Ciaccona,2,47,6079.2963,191.292,596.477
Ciaccona,2,48,6161.826,193.818,604.5522
Ciaccona,2,49,6244.2578,196.347,612.6274
Ciaccona,2,50,6326.7875,198.876,620.7026
Ciaccona,3,50,6979.4868,221.376,684.2164
Ciaccona,3,51,7061.9186,223.902,692.2916
Ciaccona,3,52,7144.4483,226.431,700.3668
Ciaccona,3,53,7226.978,228.96,708.442
Ciaccona,3,54,7309.4098,231.486,716.5172
Ciaccona,3,55,7391.9395,234.015,724.5924
Ciaccona,3,56,7474.4692,236.544,732.6676
Ciaccona,3,57,7556.9989,239.073,740.7428
Ciaccona,3,58,7639.4307,241.599,748.818
Ciaccona,3,59,7721.9604,244.128,756.8932
Ciaccona,3,60,7804.4901,246.657,764.9684
Ciaccona,4,60,8457.0915,269.157,828.492
Ciaccona,4,61,8539.6212,271.683,836.5672
Ciaccona,4,62,8622.1509,274.212,844.6424
Ciaccona,4,63,8704.5827,276.741,852.7176
Ciaccona,4,64,8787.1124,279.267,860.7928
Ciaccona,4,65,8869.6421,281.796,868.868
Ciaccona,4,66,8952.0739,284.325,876.9334
Ciaccona,4,67,9034.6036,286.851,885.0086
Ciaccona,4,68,9117.1333,289.38,893.0838
Ciaccona,4,69,9199.663,291.909,901.159
Ciaccona,4,70,9282.0948,294.438,909.2342
Ciaccona,5,70,9934.7941,309.438,972.7578
Ciaccona,5,71,10017.3238,311.964,980.833
Ciaccona,5,72,10099.7556,314.493,988.9082
Ciaccona,5,73,10182.2853,317.022,996.9834
Ciaccona,5,74,10264.815,319.548,1005.0586
Ciaccona,5,75,10347.2468,322.077,1013.1338
Ciaccona,5,76,10429.7765,324.606,1021.209
Ciaccona,5,77,10512.3062,327.132,1029.2842
Ciaccona,5,78,10594.738,329.661,1037.3594
Ciaccona,5,79,10677.2677,332.19,1045.4346
Ciaccona,5,80,10759.7974,334.719,1053.5098
Ciaccona,6,80,11412.4967,349.719,1117.0236
Ciaccona,6,81,11494.9285,352.245,1125.0988
Ciaccona,6,82,11577.4582,354.774,1133.174
Ciaccona,6,83,11659.9879,357.303,1141.2492
Ciaccona,6,84,11742.4197,359.829,1149.3244
Ciaccona,6,85,11824.9494,362.358,1157.3996
Ciaccona,6,86,11907.4791,364.887,1165.4748
Ciaccona,6,87,11989.9109,367.413,1173.55
Ciaccona,6,88,12072.4406,369.942,1181.6252
Ciaccona,6,89,12154.9703,372.471,1189.7004
Ciaccona,6,90,12237.5,375.0,1197.7756
