Name,Ascension,Level,Hp,Atk,Def
Danjin,0,1,755.0,21.0,94.0
Danjin,0,2,818.571,22.7682,101.7362
Danjin,0,3,882.2175,24.5385,109.4818
Danjin,0,4,945.864,26.3088,117.2274
Danjin,0,5,1009.435,28.077,124.973
Danjin,0,6,1073.0815,29.8473,132.7186
Danjin,0,7,1136.728,31.6176,140.4642
Danjin,0,8,1200.299,33.3858,148.2098
Danjin,0,9,1263.9455,35.1561,155.9554
Danjin,0,10,1327.592,36.9264,163.701
Danjin,0,11,1391.163,38.6946,171.4466
Danjin,0,12,1454.8095,40.4649,179.1922
Danjin,0,13,1518.456,42.2352,186.9378
Danjin,0,14,1582.1025,44.0055,194.6834
Danjin,0,15,1645.6735,45.7737,202.429
Danjin,0,16,1709.32,47.544,210.1746
Danjin,0,17,1772.9665,49.3143,217.9202
Danjin,0,18,1836.5375,51.0825,225.6658
Danjin,0,19,1900.184,52.8528,233.4114
Danjin,0,20,1963.8305,54.6231,241.157
Danjin,1,20,2467.1135,70.3731,302.0784
Danjin,1,21,2530.76,72.1413,309.824
Danjin,1,22,2594.4065,73.9116,317.5696
Danjin,1,23,2657.9775,75.6819,325.3152
Danjin,1,24,2721.624,77.4522,333.0608
Danjin,1,25,2785.2705,79.2204,340.8064
Danjin,1,26,2848.917,80.9907,348.552
Danjin,1,27,2912.488,82.761,356.2976
Danjin,1,28,2976.1345,84.5292,364.0432
Danjin,1,29,3039.781,86.2995,371.7888
Danjin,1,30,3103.352,88.0698,379.5344
Danjin,1,31,3166.9985,89.838,387.28
Danjin,1,32,3230.645,91.6083,395.0256
Danjin,1,33,3294.216,93.3786,402.7712
Danjin,1,34,3357.8625,95.1468,410.5168
Danjin,1,35,3421.509,96.9171,418.2624
Danjin,1,36,3485.1555,98.6874,426.008
Danjin,1,37,3548.7265,100.4577,433.7536
Danjin,1,38,3612.373,102.2259,441.4992
Danjin,1,39,3676.0195,103.9962,449.2448
Danjin,1,40,3739.5905,105.7665,456.9904
Danjin,2,40,4242.949,121.5165,517.9118
Danjin,2,41,4306.5955,123.2847,525.6574
Danjin,2,42,4370.1665,125.055,533.403
Danjin,2,43,4433.813,126.8253,541.1486
Danjin,2,44,4497.4595,128.5935,548.8942
Danjin,2,45,4561.0305,130.3638,556.6398
Danjin,2,46,4624.677,132.1341,564.3854
Danjin,2,47,4688.3235,133.9044,572.131
Danjin,2,48,4751.97,135.6726,579.8766
Danjin,2,49,4815.541,137.4429,587.6222
Danjin,2,50,4879.1875,139.2132,595.3678
Danjin,3,50,5382.546,154.9632,656.2892
Danjin,3,51,5446.117,156.7314,664.0348
Danjin,3,52,5509.7635,158.5017,671.7804
Danjin,3,53,5573.41,160.272,679.526
Danjin,3,54,5636.981,162.0402,687.2716
Danjin,3,55,5700.6275,163.8105,695.0172
Danjin,3,56,5764.274,165.5808,702.7628
Danjin,3,57,5827.9205,167.3511,710.5084
Danjin,3,58,5891.4915,169.1193,718.254
Danjin,3,59,5955.138,170.8896,725.9996
Danjin,3,60,6018.7845,172.6599,733.7452
Danjin,4,60,6522.0675,188.4099,794.676
Danjin,4,61,6585.714,190.1781,802.4216
Danjin,4,62,6649.3605,191.9484,810.1672
Danjin,4,63,6712.9315,193.7187,817.9128
Danjin,4,64,6776.578,195.4869,825.6584
Danjin,4,65,6840.2245,197.2572,833.404
Danjin,4,66,6903.7955,199.0275,841.1402
Danjin,4,67,6967.442,200.7957,848.8858
Danjin,4,68,7031.0885,202.566,856.6314
Danjin,4,69,7094.735,204.3363,864.377
Danjin,4,70,7158.306,206.1066,872.1226
Danjin,5,70,7661.6645,216.6066,933.0534
Danjin,5,71,7725.311,218.3748,940.799
Danjin,5,72,7788.882,220.1451,948.5446
Danjin,5,73,7852.5285,221.9154,956.2902
Danjin,5,74,7916.175,223.6836,964.0358
Danjin,5,75,7979.746,225.4539,971.7814
Danjin,5,76,8043.3925,227.2242,979.527
Danjin,5,77,8107.039,228.9924,987.2726
Danjin,5,78,8170.61,230.7627,995.0182
Danjin,5,79,8234.2565,232.533,1002.7638
Danjin,5,80,8297.903,234.3033,1010.5094
Danjin,6,80,8801.2615,244.8033,1071.4308
Danjin,6,81,8864.8325,246.5715,1079.1764
Danjin,6,82,8928.479,248.3418,1086.922
Danjin,6,83,8992.1255,250.1121,1094.6676
Danjin,6,84,9055.6965,251.8803,1102.4132
Danjin,6,85,9119.343,253.6506,1110.1588
Danjin,6,86,9182.9895,255.4209,1117.9044
Danjin,6,87,9246.5605,257.1891,1125.65
Danjin,6,88,9310.207,258.9594,1133.3956
Danjin,6,89,9373.8535,260.7297,1141.1412
Danjin,6,90,9437.5,262.5,1148.8868
