Name,Ascension,Level,Hp,Atk,Def
Jianxin,0,1,1129.0,27.0,92.0
Jianxin,0,2,1224.0618,29.2734,99.5716
Jianxin,0,3,1319.2365,31.5495,107.1524
Jianxin,0,4,1414.4112,33.8256,114.7332
Jianxin,0,5,1509.473,36.099,122.314
Jianxin,0,6,1604.6477,38.3751,129.8948
Jianxin,0,7,1699.8224,40.6512,137.4756
Jianxin,0,8,1794.8842,42.9246,145.0564
Jianxin,0,9,1890.0589,45.2007,152.6372
Jianxin,0,10,1985.2336,47.4768,160.218
Jianxin,0,11,2080.2954,49.7502,167.7988
Jianxin,0,12,2175.4701,52.0263,175.3796
Jianxin,0,13,2270.6448,54.3024,182.9604
Jianxin,0,14,2365.8195,56.5785,190.5412
Jianxin,0,15,2460.8813,58.8519,198.122
Jianxin,0,16,2556.056,61.128,205.7028
Jianxin,0,17,2651.2307,63.4041,213.2836
Jianxin,0,18,2746.2925,65.6775,220.8644
Jianxin,0,19,2841.4672,67.9536,228.4452
Jianxin,0,20,2936.6419,70.2297,236.026
Jianxin,1,20,3689.2333,90.4797,295.6512
Jianxin,1,21,3784.408,92.7531,303.232
Jianxin,1,22,3879.5827,95.0292,310.8128
Jianxin,1,23,3974.6445,97.3053,318.3936
Jianxin,1,24,4069.8192,99.5814,325.9744
Jianxin,1,25,4164.9939,101.8548,333.5552
Jianxin,1,26,4260.1686,104.1309,341.136
Jianxin,1,27,4355.2304,106.407,348.7168
Jianxin,1,28,4450.4051,108.6804,356.2976
Jianxin,1,29,4545.5798,110.9565,363.8784
Jianxin,1,30,4640.6416,113.2326,371.4592
Jianxin,1,31,4735.8163,115.506,379.04
Jianxin,1,32,4830.991,117.7821,386.6208
Jianxin,1,33,4926.0528,120.0582,394.2016
Jianxin,1,34,5021.2275,122.3316,401.7824
Jianxin,1,35,5116.4022,124.6077,409.3632
Jianxin,1,36,5211.5769,126.8838,416.944
Jianxin,1,37,5306.6387,129.1599,424.5248
Jianxin,1,38,5401.8134,131.4333,432.1056
Jianxin,1,39,5496.9881,133.7094,439.6864
Jianxin,1,40,5592.0499,135.9855,447.2672
Jianxin,2,40,6344.7542,156.2355,506.8924
Jianxin,2,41,6439.9289,158.5089,514.4732
Jianxin,2,42,6534.9907,160.785,522.054
Jianxin,2,43,6630.1654,163.0611,529.6348
Jianxin,2,44,6725.3401,165.3345,537.2156
Jianxin,2,45,6820.4019,167.6106,544.7964
Jianxin,2,46,6915.5766,169.8867,552.3772
Jianxin,2,47,7010.7513,172.1628,559.958
Jianxin,2,48,7105.926,174.4362,567.5388
Jianxin,2,49,7200.9878,176.7123,575.1196
Jianxin,2,50,7296.1625,178.9884,582.7004
Jianxin,3,50,8048.8668,199.2384,642.3256
Jianxin,3,51,8143.9286,201.5118,649.9064
Jianxin,3,52,8239.1033,203.7879,657.4872
Jianxin,3,53,8334.278,206.064,665.068
Jianxin,3,54,8429.3398,208.3374,672.6488
Jianxin,3,55,8524.5145,210.6135,680.2296
Jianxin,3,56,8619.6892,212.8896,687.8104
Jianxin,3,57,8714.8639,215.1657,695.3912
Jianxin,3,58,8809.9257,217.4391,702.972
Jianxin,3,59,8905.1004,219.7152,710.5528
Jianxin,3,60,9000.2751,221.9913,718.1336
Jianxin,4,60,9752.8665,242.2413,777.768
Jianxin,4,61,9848.0412,244.5147,785.3488
Jianxin,4,62,9943.2159,246.7908,792.9296
Jianxin,4,63,10038.2777,249.0669,800.5104
Jianxin,4,64,10133.4524,251.3403,808.0912
Jianxin,4,65,10228.6271,253.6164,815.672
Jianxin,4,66,10323.6889,255.8925,823.2436
Jianxin,4,67,10418.8636,258.1659,830.8244
Jianxin,4,68,10514.0383,260.442,838.4052
Jianxin,4,69,10609.213,262.7181,845.986
Jianxin,4,70,10704.2748,264.9942,853.5668
Jianxin,5,70,11456.9791,278.4942,913.2012
Jianxin,5,71,11552.1538,280.7676,920.782
Jianxin,5,72,11647.2156,283.0437,928.3628
Jianxin,5,73,11742.3903,285.3198,935.9436
Jianxin,5,74,11837.565,287.5932,943.5244
Jianxin,5,75,11932.6268,289.8693,951.1052
Jianxin,5,76,12027.8015,292.1454,958.686
Jianxin,5,77,12122.9762,294.4188,966.2668
Jianxin,5,78,12218.038,296.6949,973.8476
Jianxin,5,79,12313.2127,298.971,981.4284
Jianxin,5,80,12408.3874,301.2471,989.0092
Jianxin,6,80,13161.0917,314.7471,1048.6344
Jianxin,6,81,13256.1535,317.0205,1056.2152
Jianxin,6,82,13351.3282,319.2966,1063.796
Jianxin,6,83,13446.5029,321.5727,1071.3768
Jianxin,6,84,13541.5647,323.8461,1078.9576
Jianxin,6,85,13636.7394,326.1222,1086.5384
Jianxin,6,86,13731.9141,328.3983,1094.1192
Jianxin,6,87,13826.9759,330.6717,1101.7
Jianxin,6,88,13922.1506,332.9478,1109.2808
Jianxin,6,89,14017.3253,335.2239,1116.8616
Jianxin,6,90,14112.5,337.5,1124.4424
