Name,Ascension,Level,Hp,Atk,Def
Jiyan,0,1,839.0,35.0,97.0
Jiyan,0,2,909.6438,37.947,104.9831
Jiyan,0,3,980.3715,40.8975,112.9759
Jiyan,0,4,1051.0992,43.848,120.9687
Jiyan,0,5,1121.743,46.795,128.9615
Jiyan,0,6,1192.4707,49.7455,136.9543
Jiyan,0,7,1263.1984,52.696,144.9471
Jiyan,0,8,1333.8422,55.643,152.9399
Jiyan,0,9,1404.5699,58.5935,160.9327
Jiyan,0,10,1475.2976,61.544,168.9255
Jiyan,0,11,1545.9414,64.491,176.9183
Jiyan,0,12,1616.6691,67.4415,184.9111
Jiyan,0,13,1687.3968,70.392,192.9039
Jiyan,0,14,1758.1245,73.3425,200.8967
Jiyan,0,15,1828.7683,76.2895,208.8895
Jiyan,0,16,1899.496,79.24,216.8823
Jiyan,0,17,1970.2237,82.1905,224.8751
Jiyan,0,18,2040.8675,85.1375,232.8679
Jiyan,0,19,2111.5952,88.088,240.8607
Jiyan,0,20,2182.3229,91.0385,248.8535
Jiyan,1,20,2741.6003,117.2885,311.7192
Jiyan,1,21,2812.328,120.2355,319.712
Jiyan,1,22,2883.0557,123.186,327.7048
Jiyan,1,23,2953.6995,126.1365,335.6976
Jiyan,1,24,3024.4272,129.087,343.6904
Jiyan,1,25,3095.1549,132.034,351.6832
Jiyan,1,26,3165.8826,134.9845,359.676
Jiyan,1,27,3236.5264,137.935,367.6688
Jiyan,1,28,3307.2541,140.882,375.6616
Jiyan,1,29,3377.9818,143.8325,383.6544
Jiyan,1,30,3448.6256,146.783,391.6472
Jiyan,1,31,3519.3533,149.73,399.64
Jiyan,1,32,3590.081,152.6805,407.6328
Jiyan,1,33,3660.7248,155.631,415.6256
Jiyan,1,34,3731.4525,158.578,423.6184
Jiyan,1,35,3802.1802,161.5285,431.6112
Jiyan,1,36,3872.9079,164.479,439.604
Jiyan,1,37,3943.5517,167.4295,447.5968
Jiyan,1,38,4014.2794,170.3765,455.5896
Jiyan,1,39,4085.0071,173.327,463.5824
Jiyan,1,40,4155.6509,176.2775,471.5752
Jiyan,2,40,4715.0122,202.5275,534.4409
Jiyan,2,41,4785.7399,205.4745,542.4337
Jiyan,2,42,4856.3837,208.425,550.4265
Jiyan,2,43,4927.1114,211.3755,558.4193
Jiyan,2,44,4997.8391,214.3225,566.4121
Jiyan,2,45,5068.4829,217.273,574.4049
Jiyan,2,46,5139.2106,220.2235,582.3977
Jiyan,2,47,5209.9383,223.174,590.3905
Jiyan,2,48,5280.666,226.121,598.3833
Jiyan,2,49,5351.3098,229.0715,606.3761
Jiyan,2,50,5422.0375,232.022,614.3689
Jiyan,3,50,5981.3988,258.272,677.2346
Jiyan,3,51,6052.0426,261.219,685.2274
Jiyan,3,52,6122.7703,264.1695,693.2202
Jiyan,3,53,6193.498,267.12,701.213
Jiyan,3,54,6264.1418,270.067,709.2058
Jiyan,3,55,6334.8695,273.0175,717.1986
Jiyan,3,56,6405.5972,275.968,725.1914
Jiyan,3,57,6476.3249,278.9185,733.1842
Jiyan,3,58,6546.9687,281.8655,741.177
Jiyan,3,59,6617.6964,284.816,749.1698
Jiyan,3,60,6688.4241,287.7665,757.1626
Jiyan,4,60,7247.7015,314.0165,820.038
Jiyan,4,61,7318.4292,316.9635,828.0308
Jiyan,4,62,7389.1569,319.914,836.0236
Jiyan,4,63,7459.8007,322.8645,844.0164
Jiyan,4,64,7530.5284,325.8115,852.0092
Jiyan,4,65,7601.2561,328.762,860.002
Jiyan,4,66,7671.8999,331.7125,867.9851
Jiyan,4,67,7742.6276,334.6595,875.9779
Jiyan,4,68,7813.3553,337.61,883.9707
Jiyan,4,69,7884.083,340.5605,891.9635
Jiyan,4,70,7954.7268,343.511,899.9563
Jiyan,5,70,8514.0881,361.011,962.8317
Jiyan,5,71,8584.8158,363.958,970.8245
Jiyan,5,72,8655.4596,366.9085,978.8173
Jiyan,5,73,8726.1873,369.859,986.8101
Jiyan,5,74,8796.915,372.806,994.8029
Jiyan,5,75,8867.5588,375.7565,1002.7957
Jiyan,5,76,8938.2865,378.707,1010.7885
Jiyan,5,77,9009.0142,381.654,1018.7813
Jiyan,5,78,9079.658,384.6045,1026.7741
Jiyan,5,79,9150.3857,387.555,1034.7669
Jiyan,5,80,9221.1134,390.5055,1042.7597
Jiyan,6,80,9780.4747,408.0055,1105.6254
Jiyan,6,81,9851.1185,410.9525,1113.6182
Jiyan,6,82,9921.8462,413.903,1121.611
Jiyan,6,83,9992.5739,416.8535,1129.6038
Jiyan,6,84,10063.2177,419.8005,1137.5966
Jiyan,6,85,10133.9454,422.751,1145.5894
Jiyan,6,86,10204.6731,425.7015,1153.5822
Jiyan,6,87,10275.3169,428.6485,1161.575
Jiyan,6,88,10346.0446,431.599,1169.5678
Jiyan,6,89,10416.7723,434.5495,1177.5606
Jiyan,6,90,10487.5,437.5,1185.5534
