Name,Ascension,Level,Hp,Atk,Def
Lingyang,0,1,831.0,35.0,99.0
Lingyang,0,2,900.9702,37.947,107.1477
Lingyang,0,3,971.0235,40.8975,115.3053
Lingyang,0,4,1041.0768,43.848,123.4629
Lingyang,0,5,1111.047,46.795,131.6205
Lingyang,0,6,1181.1003,49.7455,139.7781
Lingyang,0,7,1251.1536,52.696,147.9357
Lingyang,0,8,1321.1238,55.643,156.0933
Lingyang,0,9,1391.1771,58.5935,164.2509
Lingyang,0,10,1461.2304,61.544,172.4085
Lingyang,0,11,1531.2006,64.491,180.5661
Lingyang,0,12,1601.2539,67.4415,188.7237
Lingyang,0,13,1671.3072,70.392,196.8813
Lingyang,0,14,1741.3605,73.3425,205.0389
Lingyang,0,15,1811.3307,76.2895,213.1965
Lingyang,0,16,1881.384,79.24,221.3541
Lingyang,0,17,1951.4373,82.1905,229.5117
Lingyang,0,18,2021.4075,85.1375,237.6693
Lingyang,0,19,2091.4608,88.088,245.8269
Lingyang,0,20,2161.5141,91.0385,253.9845
Lingyang,1,20,2715.4587,117.2885,318.1464
Lingyang,1,21,2785.512,120.2355,326.304
Lingyang,1,22,2855.5653,123.186,334.4616
Lingyang,1,23,2925.5355,126.1365,342.6192
Lingyang,1,24,2995.5888,129.087,350.7768
Lingyang,1,25,3065.6421,132.034,358.9344
Lingyang,1,26,3135.6954,134.9845,367.092
Lingyang,1,27,3205.6656,137.935,375.2496
Lingyang,1,28,3275.7189,140.882,383.4072
Lingyang,1,29,3345.7722,143.8325,391.5648
Lingyang,1,30,3415.7424,146.783,399.7224
Lingyang,1,31,3485.7957,149.73,407.88
Lingyang,1,32,3555.849,152.6805,416.0376
Lingyang,1,33,3625.8192,155.631,424.1952
Lingyang,1,34,3695.8725,158.578,432.3528
Lingyang,1,35,3765.9258,161.5285,440.5104
Lingyang,1,36,3835.9791,164.479,448.668
Lingyang,1,37,3905.9493,167.4295,456.8256
Lingyang,1,38,3976.0026,170.3765,464.9832
Lingyang,1,39,4046.0559,173.327,473.1408
Lingyang,1,40,4116.0261,176.2775,481.2984
Lingyang,2,40,4670.0538,202.5275,545.4603
Lingyang,2,41,4740.1071,205.4745,553.6179
Lingyang,2,42,4810.0773,208.425,561.7755
Lingyang,2,43,4880.1306,211.3755,569.9331
Lingyang,2,44,4950.1839,214.3225,578.0907
Lingyang,2,45,5020.1541,217.273,586.2483
Lingyang,2,46,5090.2074,220.2235,594.4059
Lingyang,2,47,5160.2607,223.174,602.5635
Lingyang,2,48,5230.314,226.121,610.7211
Lingyang,2,49,5300.2842,229.0715,618.8787
Lingyang,2,50,5370.3375,232.022,627.0363
Lingyang,3,50,5924.3652,258.272,691.1982
Lingyang,3,51,5994.3354,261.219,699.3558
Lingyang,3,52,6064.3887,264.1695,707.5134
Lingyang,3,53,6134.442,267.12,715.671
Lingyang,3,54,6204.4122,270.067,723.8286
Lingyang,3,55,6274.4655,273.0175,731.9862
Lingyang,3,56,6344.5188,275.968,740.1438
Lingyang,3,57,6414.5721,278.9185,748.3014
Lingyang,3,58,6484.5423,281.8655,756.459
Lingyang,3,59,6554.5956,284.816,764.6166
Lingyang,3,60,6624.6489,287.7665,772.7742
Lingyang,4,60,7178.5935,314.0165,836.946
Lingyang,4,61,7248.6468,316.9635,845.1036
Lingyang,4,62,7318.7001,319.914,853.2612
Lingyang,4,63,7388.6703,322.8645,861.4188
Lingyang,4,64,7458.7236,325.8115,869.5764
Lingyang,4,65,7528.7769,328.762,877.734
Lingyang,4,66,7598.7471,331.7125,885.8817
Lingyang,4,67,7668.8004,334.6595,894.0393
Lingyang,4,68,7738.8537,337.61,902.1969
Lingyang,4,69,7808.907,340.5605,910.3545
Lingyang,4,70,7878.8772,343.511,918.5121
Lingyang,5,70,8432.9049,361.011,982.6839
Lingyang,5,71,8502.9582,363.958,990.8415
Lingyang,5,72,8572.9284,366.9085,998.9991
Lingyang,5,73,8642.9817,369.859,1007.1567
Lingyang,5,74,8713.035,372.806,1015.3143
Lingyang,5,75,8783.0052,375.7565,1023.4719
Lingyang,5,76,8853.0585,378.707,1031.6295
Lingyang,5,77,8923.1118,381.654,1039.7871
Lingyang,5,78,8993.082,384.6045,1047.9447
Lingyang,5,79,9063.1353,387.555,1056.1023
Lingyang,5,80,9133.1886,390.5055,1064.2599
Lingyang,6,80,9687.2163,408.0055,1128.4218
Lingyang,6,81,9757.1865,410.9525,1136.5794
Lingyang,6,82,9827.2398,413.903,1144.737
Lingyang,6,83,9897.2931,416.8535,1152.8946
Lingyang,6,84,9967.2633,419.8005,1161.0522
Lingyang,6,85,10037.3166,422.751,1169.2098
Lingyang,6,86,10107.3699,425.7015,1177.3674
Lingyang,6,87,10177.3401,428.6485,1185.525
Lingyang,6,88,10247.3934,431.599,1193.6826
Lingyang,6,89,10317.4467,434.5495,1201.8402
Lingyang,6,90,10387.5,437.5,1209.9978
