Name,Ascension,Level,Hp,Atk,Def
Lupa,0,1,953.0,31.0,97.0
Lupa,0,2,1033.2426,33.6102,104.9831
Lupa,0,3,1113.5805,36.2235,112.9759
Lupa,0,4,1193.9184,38.8368,120.9687
Lupa,0,5,1274.161,41.447,128.9615
Lupa,0,6,1354.4989,44.0603,136.9543
Lupa,0,7,1434.8368,46.6736,144.9471
Lupa,0,8,1515.0794,49.2838,152.9399
Lupa,0,9,1595.4173,51.8971,160.9327
Lupa,0,10,1675.7552,54.5104,168.9255
Lupa,0,11,1755.9978,57.1206,176.9183
Lupa,0,12,1836.3357,59.7339,184.9111
Lupa,0,13,1916.6736,62.3472,192.9039
Lupa,0,14,1997.0115,64.9605,200.8967
Lupa,0,15,2077.2541,67.5707,208.8895
Lupa,0,16,2157.592,70.184,216.8823
Lupa,0,17,2237.9299,72.7973,224.8751
Lupa,0,18,2318.1725,75.4075,232.8679
Lupa,0,19,2398.5104,78.0208,240.8607
Lupa,0,20,2478.8483,80.6341,248.8535
Lupa,1,20,3114.1181,103.8841,311.7192
Lupa,1,21,3194.456,106.4943,319.712
Lupa,1,22,3274.7939,109.1076,327.7048
Lupa,1,23,3355.0365,111.7209,335.6976
Lupa,1,24,3435.3744,114.3342,343.6904
Lupa,1,25,3515.7123,116.9444,351.6832
Lupa,1,26,3596.0502,119.5577,359.676
Lupa,1,27,3676.2928,122.171,367.6688
Lupa,1,28,3756.6307,124.7812,375.6616
Lupa,1,29,3836.9686,127.3945,383.6544
Lupa,1,30,3917.2112,130.0078,391.6472
Lupa,1,31,3997.5491,132.618,399.64
Lupa,1,32,4077.887,135.2313,407.6328
Lupa,1,33,4158.1296,137.8446,415.6256
Lupa,1,34,4238.4675,140.4548,423.6184
Lupa,1,35,4318.8054,143.0681,431.6112
Lupa,1,36,4399.1433,145.6814,439.604
Lupa,1,37,4479.3859,148.2947,447.5968
Lupa,1,38,4559.7238,150.9049,455.5896
Lupa,1,39,4640.0617,153.5182,463.5824
Lupa,1,40,4720.3043,156.1315,471.5752
Lupa,2,40,5355.6694,179.3815,534.4409
Lupa,2,41,5436.0073,181.9917,542.4337
Lupa,2,42,5516.2499,184.605,550.4265
Lupa,2,43,5596.5878,187.2183,558.4193
Lupa,2,44,5676.9257,189.8285,566.4121
Lupa,2,45,5757.1683,192.4418,574.4049
Lupa,2,46,5837.5062,195.0551,582.3977
Lupa,2,47,5917.8441,197.6684,590.3905
Lupa,2,48,5998.182,200.2786,598.3833
Lupa,2,49,6078.4246,202.8919,606.3761
Lupa,2,50,6158.7625,205.5052,614.3689
Lupa,3,50,6794.1276,228.7552,677.2346
Lupa,3,51,6874.3702,231.3654,685.2274
Lupa,3,52,6954.7081,233.9787,693.2202
Lupa,3,53,7035.046,236.592,701.213
Lupa,3,54,7115.2886,239.2022,709.2058
Lupa,3,55,7195.6265,241.8155,717.1986
Lupa,3,56,7275.9644,244.4288,725.1914
Lupa,3,57,7356.3023,247.0421,733.1842
Lupa,3,58,7436.5449,249.6523,741.177
Lupa,3,59,7516.8828,252.2656,749.1698
Lupa,3,60,7597.2207,254.8789,757.1626
Lupa,4,60,8232.4905,278.1289,820.038
Lupa,4,61,8312.8284,280.7391,828.0308
Lupa,4,62,8393.1663,283.3524,836.0236
Lupa,4,63,8473.4089,285.9657,844.0164
Lupa,4,64,8553.7468,288.5759,852.0092
Lupa,4,65,8634.0847,291.1892,860.002
Lupa,4,66,8714.3273,293.8025,867.9851
Lupa,4,67,8794.6652,296.4127,875.9779
Lupa,4,68,8875.0031,299.026,883.9707
Lupa,4,69,8955.341,301.6393,891.9635
Lupa,4,70,9035.5836,304.2526,899.9563
Lupa,5,70,9670.9487,319.7526,962.8317
Lupa,5,71,9751.2866,322.3628,970.8245
Lupa,5,72,9831.5292,324.9761,978.8173
Lupa,5,73,9911.8671,327.5894,986.8101
Lupa,5,74,9992.205,330.1996,994.8029
Lupa,5,75,10072.4476,332.8129,1002.7957
Lupa,5,76,10152.7855,335.4262,1010.7885
Lupa,5,77,10233.1234,338.0364,1018.7813
Lupa,5,78,10313.366,340.6497,1026.7741
Lupa,5,79,10393.7039,343.263,1034.7669
Lupa,5,80,10474.0418,345.8763,1042.7597
Lupa,6,80,11109.4069,361.3763,1105.6254
Lupa,6,81,11189.6495,363.9865,1113.6182
Lupa,6,82,11269.9874,366.5998,1121.611
Lupa,6,83,11350.3253,369.2131,1129.6038
Lupa,6,84,11430.5679,371.8233,1137.5966
Lupa,6,85,11510.9058,374.4366,1145.5894
Lupa,6,86,11591.2437,377.0499,1153.5822
Lupa,6,87,11671.4863,379.6601,1161.575
Lupa,6,88,11751.8242,382.2734,1169.5678
Lupa,6,89,11832.1621,384.8867,1177.5606
Lupa,6,90,11912.5,387.5,1185.5534
