Name,Ascension,Level,Hp,Atk,Def
Mortefi,0,1,802.0,20.0,93.0
Mortefi,0,2,869.5284,21.684,100.6539
Mortefi,0,3,937.137,23.37,108.3171
Mortefi,0,4,1004.7456,25.056,115.9803
Mortefi,0,5,1072.274,26.74,123.6435
Mortefi,0,6,1139.8826,28.426,131.3067
Mortefi,0,7,1207.4912,30.112,138.9699
Mortefi,0,8,1275.0196,31.796,146.6331
Mortefi,0,9,1342.6282,33.482,154.2963
Mortefi,0,10,1410.2368,35.168,161.9595
Mortefi,0,11,1477.7652,36.852,169.6227
Mortefi,0,12,1545.3738,38.538,177.2859
Mortefi,0,13,1612.9824,40.224,184.9491
Mortefi,0,14,1680.591,41.91,192.6123
Mortefi,0,15,1748.1194,43.594,200.2755
Mortefi,0,16,1815.728,45.28,207.9387
Mortefi,0,17,1883.3366,46.966,215.6019
Mortefi,0,18,1950.865,48.65,223.2651
Mortefi,0,19,2018.4736,50.336,230.9283
Mortefi,0,20,2086.0822,52.022,238.5915
Mortefi,1,20,2620.6954,67.022,298.8648
Mortefi,1,21,2688.304,68.706,306.528
Mortefi,1,22,2755.9126,70.392,314.1912
Mortefi,1,23,2823.441,72.078,321.8544
Mortefi,1,24,2891.0496,73.764,329.5176
Mortefi,1,25,2958.6582,75.448,337.1808
Mortefi,1,26,3026.2668,77.134,344.844
Mortefi,1,27,3093.7952,78.82,352.5072
Mortefi,1,28,3161.4038,80.504,360.1704
Mortefi,1,29,3229.0124,82.19,367.8336
Mortefi,1,30,3296.5408,83.876,375.4968
Mortefi,1,31,3364.1494,85.56,383.16
Mortefi,1,32,3431.758,87.246,390.8232
Mortefi,1,33,3499.2864,88.932,398.4864
Mortefi,1,34,3566.895,90.616,406.1496
Mortefi,1,35,3634.5036,92.302,413.8128
Mortefi,1,36,3702.1122,93.988,421.476
Mortefi,1,37,3769.6406,95.674,429.1392
Mortefi,1,38,3837.2492,97.358,436.8024
Mortefi,1,39,3904.8578,99.044,444.4656
Mortefi,1,40,3972.3862,100.73,452.1288
Mortefi,2,40,4507.0796,115.73,512.4021
Mortefi,2,41,4574.6882,117.414,520.0653
Mortefi,2,42,4642.2166,119.1,527.7285
Mortefi,2,43,4709.8252,120.786,535.3917
Mortefi,2,44,4777.4338,122.47,543.0549
Mortefi,2,45,4844.9622,124.156,550.7181
Mortefi,2,46,4912.5708,125.842,558.3813
Mortefi,2,47,4980.1794,127.528,566.0445
Mortefi,2,48,5047.788,129.212,573.7077
Mortefi,2,49,5115.3164,130.898,581.3709
Mortefi,2,50,5182.925,132.584,589.0341
Mortefi,3,50,5717.6184,147.584,649.3074
Mortefi,3,51,5785.1468,149.268,656.9706
Mortefi,3,52,5852.7554,150.954,664.6338
Mortefi,3,53,5920.364,152.64,672.297
Mortefi,3,54,5987.8924,154.324,679.9602
Mortefi,3,55,6055.501,156.01,687.6234
Mortefi,3,56,6123.1096,157.696,695.2866
Mortefi,3,57,6190.7182,159.382,702.9498
Mortefi,3,58,6258.2466,161.066,710.613
Mortefi,3,59,6325.8552,162.752,718.2762
Mortefi,3,60,6393.4638,164.438,725.9394
Mortefi,4,60,6928.077,179.438,786.222
Mortefi,4,61,6995.6856,181.122,793.8852
Mortefi,4,62,7063.2942,182.808,801.5484
Mortefi,4,63,7130.8226,184.494,809.2116
Mortefi,4,64,7198.4312,186.178,816.8748
Mortefi,4,65,7266.0398,187.864,824.538
Mortefi,4,66,7333.5682,189.55,832.1919
Mortefi,4,67,7401.1768,191.234,839.8551
Mortefi,4,68,7468.7854,192.92,847.5183
Mortefi,4,69,7536.394,194.606,855.1815
Mortefi,4,70,7603.9224,196.292,862.8447
Mortefi,5,70,8138.6158,206.292,923.1273
Mortefi,5,71,8206.2244,207.976,930.7905
Mortefi,5,72,8273.7528,209.662,938.4537
Mortefi,5,73,8341.3614,211.348,946.1169
Mortefi,5,74,8408.97,213.032,953.7801
Mortefi,5,75,8476.4984,214.718,961.4433
Mortefi,5,76,8544.107,216.404,969.1065
Mortefi,5,77,8611.7156,218.088,976.7697
Mortefi,5,78,8679.244,219.774,984.4329
Mortefi,5,79,8746.8526,221.46,992.0961
Mortefi,5,80,8814.4612,223.146,999.7593
Mortefi,6,80,9349.1546,233.146,1060.0326
Mortefi,6,81,9416.683,234.83,1067.6958
Mortefi,6,82,9484.2916,236.516,1075.359
Mortefi,6,83,9551.9002,238.202,1083.0222
Mortefi,6,84,9619.4286,239.886,1090.6854
Mortefi,6,85,9687.0372,241.572,1098.3486
Mortefi,6,86,9754.6458,243.258,1106.0118
Mortefi,6,87,9822.1742,244.942,1113.675
Mortefi,6,88,9889.7828,246.628,1121.3382
Mortefi,6,89,9957.3914,248.314,1129.0014
Mortefi,6,90,10025.0,250.0,1136.6646
