Name,Ascension,Level,Hp,Atk,Def
Phoebe,0,1,866.0,33.0,103.0
Phoebe,0,2,938.9172,35.7786,111.4769
Phoebe,0,3,1011.921,38.5605,119.9641
Phoebe,0,4,1084.9248,41.3424,128.4513
Phoebe,0,5,1157.842,44.121,136.9385
Phoebe,0,6,1230.8458,46.9029,145.4257
Phoebe,0,7,1303.8496,49.6848,153.9129
Phoebe,0,8,1376.7668,52.4634,162.4001
Phoebe,0,9,1449.7706,55.2453,170.8873
Phoebe,0,10,1522.7744,58.0272,179.3745
Phoebe,0,11,1595.6916,60.8058,187.8617
Phoebe,0,12,1668.6954,63.5877,196.3489
Phoebe,0,13,1741.6992,66.3696,204.8361
Phoebe,0,14,1814.703,69.1515,213.3233
Phoebe,0,15,1887.6202,71.9301,221.8105
Phoebe,0,16,1960.624,74.712,230.2977
Phoebe,0,17,2033.6278,77.4939,238.7849
Phoebe,0,18,2106.545,80.2725,247.2721
Phoebe,0,19,2179.5488,83.0544,255.7593
Phoebe,0,20,2252.5526,85.8363,264.2465
Phoebe,1,20,2829.8282,110.5863,331.0008
Phoebe,1,21,2902.832,113.3649,339.488
Phoebe,1,22,2975.8358,116.1468,347.9752
Phoebe,1,23,3048.753,118.9287,356.4624
Phoebe,1,24,3121.7568,121.7106,364.9496
Phoebe,1,25,3194.7606,124.4892,373.4368
Phoebe,1,26,3267.7644,127.2711,381.924
Phoebe,1,27,3340.6816,130.053,390.4112
Phoebe,1,28,3413.6854,132.8316,398.8984
Phoebe,1,29,3486.6892,135.6135,407.3856
Phoebe,1,30,3559.6064,138.3954,415.8728
Phoebe,1,31,3632.6102,141.174,424.36
Phoebe,1,32,3705.614,143.9559,432.8472
Phoebe,1,33,3778.5312,146.7378,441.3344
Phoebe,1,34,3851.535,149.5164,449.8216
Phoebe,1,35,3924.5388,152.2983,458.3088
Phoebe,1,36,3997.5426,155.0802,466.796
Phoebe,1,37,4070.4598,157.8621,475.2832
Phoebe,1,38,4143.4636,160.6407,483.7704
Phoebe,1,39,4216.4674,163.4226,492.2576
Phoebe,1,40,4289.3846,166.2045,500.7448
Phoebe,2,40,4866.7468,190.9545,567.4991
Phoebe,2,41,4939.7506,193.7331,575.9863
Phoebe,2,42,5012.6678,196.515,584.4735
Phoebe,2,43,5085.6716,199.2969,592.9607
Phoebe,2,44,5158.6754,202.0755,601.4479
Phoebe,2,45,5231.5926,204.8574,609.9351
Phoebe,2,46,5304.5964,207.6393,618.4223
Phoebe,2,47,5377.6002,210.4212,626.9095
Phoebe,2,48,5450.604,213.1998,635.3967
Phoebe,2,49,5523.5212,215.9817,643.8839
Phoebe,2,50,5596.525,218.7636,652.3711
Phoebe,3,50,6173.8872,243.5136,719.1254
Phoebe,3,51,6246.8044,246.2922,727.6126
Phoebe,3,52,6319.8082,249.0741,736.0998
Phoebe,3,53,6392.812,251.856,744.587
Phoebe,3,54,6465.7292,254.6346,753.0742
Phoebe,3,55,6538.733,257.4165,761.5614
Phoebe,3,56,6611.7368,260.1984,770.0486
Phoebe,3,57,6684.7406,262.9803,778.5358
Phoebe,3,58,6757.6578,265.7589,787.023
Phoebe,3,59,6830.6616,268.5408,795.5102
Phoebe,3,60,6903.6654,271.3227,803.9974
Phoebe,4,60,7480.941,296.0727,870.762
Phoebe,4,61,7553.9448,298.8513,879.2492
Phoebe,4,62,7626.9486,301.6332,887.7364
Phoebe,4,63,7699.8658,304.4151,896.2236
Phoebe,4,64,7772.8696,307.1937,904.7108
Phoebe,4,65,7845.8734,309.9756,913.198
Phoebe,4,66,7918.7906,312.7575,921.6749
Phoebe,4,67,7991.7944,315.5361,930.1621
Phoebe,4,68,8064.7982,318.318,938.6493
Phoebe,4,69,8137.802,321.0999,947.1365
Phoebe,4,70,8210.7192,323.8818,955.6237
Phoebe,5,70,8788.0814,340.3818,1022.3883
Phoebe,5,71,8861.0852,343.1604,1030.8755
Phoebe,5,72,8934.0024,345.9423,1039.3627
Phoebe,5,73,9007.0062,348.7242,1047.8499
Phoebe,5,74,9080.01,351.5028,1056.3371
Phoebe,5,75,9152.9272,354.2847,1064.8243
Phoebe,5,76,9225.931,357.0666,1073.3115
Phoebe,5,77,9298.9348,359.8452,1081.7987
Phoebe,5,78,9371.852,362.6271,1090.2859
Phoebe,5,79,9444.8558,365.409,1098.7731
Phoebe,5,80,9517.8596,368.1909,1107.2603
Phoebe,6,80,10095.2218,384.6909,1174.0146
Phoebe,6,81,10168.139,387.4695,1182.5018
Phoebe,6,82,10241.1428,390.2514,1190.989
Phoebe,6,83,10314.1466,393.0333,1199.4762
Phoebe,6,84,10387.0638,395.8119,1207.9634
Phoebe,6,85,10460.0676,398.5938,1216.4506
Phoebe,6,86,10533.0714,401.3757,1224.9378
Phoebe,6,87,10605.9886,404.1543,1233.425
Phoebe,6,88,10678.9924,406.9362,1241.9122
Phoebe,6,89,10751.9962,409.7181,1250.3994
Phoebe,6,90,10825.0,412.5,1258.8866
