Name,Ascension,Level,Hp,Atk,Def
Roccia,0,1,980.0,30.0,98.0
Roccia,0,2,1062.516,32.526,106.0654
Roccia,0,3,1145.13,35.055,114.1406
Roccia,0,4,1227.744,37.584,122.2158
Roccia,0,5,1310.26,40.11,130.291
Roccia,0,6,1392.874,42.639,138.3662
Roccia,0,7,1475.488,45.168,146.4414
Roccia,0,8,1558.004,47.694,154.5166
Roccia,0,9,1640.618,50.223,162.5918
Roccia,0,10,1723.232,52.752,170.667
Roccia,0,11,1805.748,55.278,178.7422
Roccia,0,12,1888.362,57.807,186.8174
Roccia,0,13,1970.976,60.336,194.8926
Roccia,0,14,2053.59,62.865,202.9678
Roccia,0,15,2136.106,65.391,211.043
Roccia,0,16,2218.72,67.92,219.1182
Roccia,0,17,2301.334,70.449,227.1934
Roccia,0,18,2383.85,72.975,235.2686
Roccia,0,19,2466.464,75.504,243.3438
Roccia,0,20,2549.078,78.033,251.419
Roccia,1,20,3202.346,100.533,314.9328
Roccia,1,21,3284.96,103.059,323.008
Roccia,1,22,3367.574,105.588,331.0832
Roccia,1,23,3450.09,108.117,339.1584
Roccia,1,24,3532.704,110.646,347.2336
Roccia,1,25,3615.318,113.172,355.3088
Roccia,1,26,3697.932,115.701,363.384
Roccia,1,27,3780.448,118.23,371.4592
Roccia,1,28,3863.062,120.756,379.5344
Roccia,1,29,3945.676,123.285,387.6096
Roccia,1,30,4028.192,125.814,395.6848
Roccia,1,31,4110.806,128.34,403.76
Roccia,1,32,4193.42,130.869,411.8352
Roccia,1,33,4275.936,133.398,419.9104
Roccia,1,34,4358.55,135.924,427.9856
Roccia,1,35,4441.164,138.453,436.0608
Roccia,1,36,4523.778,140.982,444.136
Roccia,1,37,4606.294,143.511,452.2112
Roccia,1,38,4688.908,146.037,460.2864
Roccia,1,39,4771.522,148.566,468.3616
Roccia,1,40,4854.038,151.095,476.4368
Roccia,2,40,5507.404,173.595,539.9506
Roccia,2,41,5590.018,176.121,548.0258
Roccia,2,42,5672.534,178.65,556.101
Roccia,2,43,5755.148,181.179,564.1762
Roccia,2,44,5837.762,183.705,572.2514
Roccia,2,45,5920.278,186.234,580.3266
Roccia,2,46,6002.892,188.763,588.4018
Roccia,2,47,6085.506,191.292,596.477
Roccia,2,48,6168.12,193.818,604.5522
Roccia,2,49,6250.636,196.347,612.6274
Roccia,2,50,6333.25,198.876,620.7026
Roccia,3,50,6986.616,221.376,684.2164
Roccia,3,51,7069.132,223.902,692.2916
Roccia,3,52,7151.746,226.431,700.3668
Roccia,3,53,7234.36,228.96,708.442
Roccia,3,54,7316.876,231.486,716.5172
Roccia,3,55,7399.49,234.015,724.5924
Roccia,3,56,7482.104,236.544,732.6676
Roccia,3,57,7564.718,239.073,740.7428
Roccia,3,58,7647.234,241.599,748.818
Roccia,3,59,7729.848,244.128,756.8932
Roccia,3,60,7812.462,246.657,764.9684
Roccia,4,60,8465.73,269.157,828.492
Roccia,4,61,8548.344,271.683,836.5672
Roccia,4,62,8630.958,274.212,844.6424
Roccia,4,63,8713.474,276.741,852.7176
Roccia,4,64,8796.088,279.267,860.7928
Roccia,4,65,8878.702,281.796,868.868
Roccia,4,66,8961.218,284.325,876.9334
Roccia,4,67,9043.832,286.851,885.0086
Roccia,4,68,9126.446,289.38,893.0838
Roccia,4,69,9209.06,291.909,901.159
Roccia,4,70,9291.576,294.438,909.2342
Roccia,5,70,9944.942,309.438,972.7578
Roccia,5,71,10027.556,311.964,980.833
Roccia,5,72,10110.072,314.493,988.9082
Roccia,5,73,10192.686,317.022,996.9834
Roccia,5,74,10275.3,319.548,1005.0586
Roccia,5,75,10357.816,322.077,1013.1338
Roccia,5,76,10440.43,324.606,1021.209
Roccia,5,77,10523.044,327.132,1029.2842
Roccia,5,78,10605.56,329.661,1037.3594
Roccia,5,79,10688.174,332.19,1045.4346
Roccia,5,80,10770.788,334.719,1053.5098
Roccia,6,80,11424.154,349.719,1117.0236
Roccia,6,81,11506.67,352.245,1125.0988
Roccia,6,82,11589.284,354.774,1133.174
Roccia,6,83,11671.898,357.303,1141.2492
Roccia,6,84,11754.414,359.829,1149.3244
Roccia,6,85,11837.028,362.358,1157.3996
Roccia,6,86,11919.642,364.887,1165.4748
Roccia,6,87,12002.158,367.413,1173.55
Roccia,6,88,12084.772,369.942,1181.6252
Roccia,6,89,12167.386,372.471,1189.7004
Roccia,6,90,12250.0,375.0,1197.7756
