Name,Ascension,Level,Hp,Atk,Def
Sanhua,0,1,805.0,22.0,77.0
Sanhua,0,2,872.781,23.8524,83.3371
Sanhua,0,3,940.6425,25.707,89.6819
Sanhua,0,4,1008.504,27.5616,96.0267
Sanhua,0,5,1076.285,29.414,102.3715
Sanhua,0,6,1144.1465,31.2686,108.7163
Sanhua,0,7,1212.008,33.1232,115.0611
Sanhua,0,8,1279.789,34.9756,121.4059
Sanhua,0,9,1347.6505,36.8302,127.7507
Sanhua,0,10,1415.512,38.6848,134.0955
Sanhua,0,11,1483.293,40.5372,140.4403
Sanhua,0,12,1551.1545,42.3918,146.7851
Sanhua,0,13,1619.016,44.2464,153.1299
Sanhua,0,14,1686.8775,46.101,159.4747
Sanhua,0,15,1754.6585,47.9534,165.8195
Sanhua,0,16,1822.52,49.808,172.1643
Sanhua,0,17,1890.3815,51.6626,178.5091
Sanhua,0,18,1958.1625,53.515,184.8539
Sanhua,0,19,2026.024,55.3696,191.1987
Sanhua,0,20,2093.8855,57.2242,197.5435
Sanhua,1,20,2630.4985,73.7242,247.4472
Sanhua,1,21,2698.36,75.5766,253.792
Sanhua,1,22,2766.2215,77.4312,260.1368
Sanhua,1,23,2834.0025,79.2858,266.4816
Sanhua,1,24,2901.864,81.1404,272.8264
Sanhua,1,25,2969.7255,82.9928,279.1712
Sanhua,1,26,3037.587,84.8474,285.516
Sanhua,1,27,3105.368,86.702,291.8608
Sanhua,1,28,3173.2295,88.5544,298.2056
Sanhua,1,29,3241.091,90.409,304.5504
Sanhua,1,30,3308.872,92.2636,310.8952
Sanhua,1,31,3376.7335,94.116,317.24
Sanhua,1,32,3444.595,95.9706,323.5848
Sanhua,1,33,3512.376,97.8252,329.9296
Sanhua,1,34,3580.2375,99.6776,336.2744
Sanhua,1,35,3648.099,101.5322,342.6192
Sanhua,1,36,3715.9605,103.3868,348.964
Sanhua,1,37,3783.7415,105.2414,355.3088
Sanhua,1,38,3851.603,107.0938,361.6536
Sanhua,1,39,3919.4645,108.9484,367.9984
Sanhua,1,40,3987.2455,110.803,374.3432
Sanhua,2,40,4523.939,127.303,424.2469
Sanhua,2,41,4591.8005,129.1554,430.5917
Sanhua,2,42,4659.5815,131.01,436.9365
Sanhua,2,43,4727.443,132.8646,443.2813
Sanhua,2,44,4795.3045,134.717,449.6261
Sanhua,2,45,4863.0855,136.5716,455.9709
Sanhua,2,46,4930.947,138.4262,462.3157
Sanhua,2,47,4998.8085,140.2808,468.6605
Sanhua,2,48,5066.67,142.1332,475.0053
Sanhua,2,49,5134.451,143.9878,481.3501
Sanhua,2,50,5202.3125,145.8424,487.6949
Sanhua,3,50,5739.006,162.3424,537.5986
Sanhua,3,51,5806.787,164.1948,543.9434
Sanhua,3,52,5874.6485,166.0494,550.2882
Sanhua,3,53,5942.51,167.904,556.633
Sanhua,3,54,6010.291,169.7564,562.9778
Sanhua,3,55,6078.1525,171.611,569.3226
Sanhua,3,56,6146.014,173.4656,575.6674
Sanhua,3,57,6213.8755,175.3202,582.0122
Sanhua,3,58,6281.6565,177.1726,588.357
Sanhua,3,59,6349.518,179.0272,594.7018
Sanhua,3,60,6417.3795,180.8818,601.0466
Sanhua,4,60,6953.9925,197.3818,650.958
Sanhua,4,61,7021.854,199.2342,657.3028
Sanhua,4,62,7089.7155,201.0888,663.6476
Sanhua,4,63,7157.4965,202.9434,669.9924
Sanhua,4,64,7225.358,204.7958,676.3372
Sanhua,4,65,7293.2195,206.6504,682.682
Sanhua,4,66,7361.0005,208.505,689.0191
Sanhua,4,67,7428.862,210.3574,695.3639
Sanhua,4,68,7496.7235,212.212,701.7087
Sanhua,4,69,7564.585,214.0666,708.0535
Sanhua,4,70,7632.366,215.9212,714.3983
Sanhua,5,70,8169.0595,226.9212,764.3097
Sanhua,5,71,8236.921,228.7736,770.6545
Sanhua,5,72,8304.702,230.6282,776.9993
Sanhua,5,73,8372.5635,232.4828,783.3441
Sanhua,5,74,8440.425,234.3352,789.6889
Sanhua,5,75,8508.206,236.1898,796.0337
Sanhua,5,76,8576.0675,238.0444,802.3785
Sanhua,5,77,8643.929,239.8968,808.7233
Sanhua,5,78,8711.71,241.7514,815.0681
Sanhua,5,79,8779.5715,243.606,821.4129
Sanhua,5,80,8847.433,245.4606,827.7577
Sanhua,6,80,9384.1265,256.4606,877.6614
Sanhua,6,81,9451.9075,258.313,884.0062
Sanhua,6,82,9519.769,260.1676,890.351
Sanhua,6,83,9587.6305,262.0222,896.6958
Sanhua,6,84,9655.4115,263.8746,903.0406
Sanhua,6,85,9723.273,265.7292,909.3854
Sanhua,6,86,9791.1345,267.5838,915.7302
Sanhua,6,87,9858.9155,269.4362,922.075
Sanhua,6,88,9926.777,271.2908,928.4198
Sanhua,6,89,9994.6385,273.1454,934.7646
Sanhua,6,90,10062.5,275.0,941.1094
